lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
gullat,gulle,V;PRS;IND;1;DU,0.0003,0.0004425925925925,k uː l l e
gullat,gulan,V;PRS;IND;1;SG,0.0002,0.0004425925925925,k uː l a n
gullat,gulažan,V;POT;1;SG,0.0,0.0004425925925925,k u l a t͡ʃ a n
gullat,gulai,V;PST;IND;3;SG,0.0007,0.0004425925925925,k u l a j
gullat,gulalit,V;COND;2;SG;LGSPEC,0.0,0.0004425925925925,k u l a l i h t
gullat,gulaidet,V;PST;IND;2;PL,0.0,0.0004425925925925,k u l a jː t e h t
gullat,gullat,V;PRS;IND;1;PL,0.0032,0.0004425925925925,k u l l a h t
gullat,gulažetne,V;POT;1;DU,0.0,0.0004425925925925,k u l a t͡ʃ e h t n e
gullat,gulloset,V;IMP;3;PL,0.0,0.0004425925925925,k u l l o s e h t
gullat,gulaše,V;COND;3;PL,0.0,0.0004425925925925,k u l a ʃ e
gullat,gulašeigga,V;COND;3;DU,0.0,0.0004425925925925,k u l a ʃ e jː k k a
gullat,gulaleiddet,V;COND;2;PL;LGSPEC,0.0,0.0004425925925925,k u l a l e jː t t e h t
gullat,gula,V;IMP;2;SG,0.0009,0.0004425925925925,k uː l a
gullat,gulaime,V;PST;IND;1;DU,0.0,0.0004425925925925,k u l a j m e
gullat,gulalii,V;COND;3;SG;LGSPEC,0.0,0.0004425925925925,k u l a l i j
gullat,gul'li,V;IMP;2;DU,0.0,0.0004425925925925,k u lː l iː
gullat,gulašit,V;COND;2;SG,0.0,0.0004425925925925,k u l a ʃ i h t
gullat,gullet,V;IMP;2;PL,0.0042,0.0004425925925925,k uː l l e h t
gullat,gulažit,V;POT;1;PL,0.0,0.0004425925925925,k u l a t͡ʃ i h t
gullat,gulaleimme,V;COND;1;DU;LGSPEC,0.0,0.0004425925925925,k u l a l e j m m e
gullat,gulle,V;PST;IND;3;PL,0.0003,0.0004425925925925,k uː l l e
gullat,gulale,V;COND;3;PL;LGSPEC,0.0,0.0004425925925925,k u l a l e
gullat,gullaba,V;PRS;IND;3;DU,0.0,0.0004425925925925,k u l l a p a
gullat,gullá,V;PRS;IND;3;SG,0.0048,0.0004425925925925,k u lː l aː
gullat,gulažeaba,V;POT;3;DU,0.0,0.0004425925925925,k u l a t͡ʃ e̯ a p a
gullat,gulašeidde,V;COND;2;DU,0.0,0.0004425925925925,k u l a ʃ e jː t t e
gullat,gul'lu,V;IMP;1;DU,0.0,0.0004425925925925,k u lː l uː
gullat,gulaža,V;POT;3;SG,0.0,0.0004425925925925,k u l a t͡ʃ a
gullat,gulašeiddet,V;COND;2;PL,0.0,0.0004425925925925,k u l a ʃ e jː t t e h t
gullat,gulaide,V;PST;IND;2;DU,0.0,0.0004425925925925,k u l a j t e
gullat,gullot,V;IMP;1;PL,0.0003,0.0004425925925925,k u l l o h t
gullat,gullon,V;IMP;1;SG,0.0001,0.0004425925925925,k u l l o n
gullat,gulašin,V;COND;1;SG,0.0,0.0004425925925925,k u l a ʃ iː n
gullat,gullet,V;PRS;IND;3;PL,0.0042,0.0004425925925925,k uː l l e h t
gullat,gulažit,V;POT;3;PL,0.0,0.0004425925925925,k u l a t͡ʃ i h t
gullat,gulaleigga,V;COND;3;DU;LGSPEC,0.0,0.0004425925925925,k u l a l e jː k k a
gullat,gulaleidde,V;COND;2;DU;LGSPEC,0.0,0.0004425925925925,k u l a l e jː t t e
gullat,gulat,V;PRS;IND;2;SG,0.0002,0.0004425925925925,k u l a h t
gullat,gulašeimme,V;COND;1;DU,0.0,0.0004425925925925,k u l a ʃ e j m m e
gullat,gulaiga,V;PST;IND;3;DU,0.0,0.0004425925925925,k u l a jː k a
gullat,gullabeahtti,V;PRS;IND;2;DU,0.0,0.0004425925925925,k u l l a p e a̯ hː t iː
gullat,gulašeimmet,V;COND;1;PL,0.0,0.0004425925925925,k u l a ʃ e j m m e h t
gullat,gulaimet,V;PST;IND;1;PL,0.0,0.0004425925925925,k u l a j m e h t
gullat,gullen,V;PST;IND;1;SG,0.0001,0.0004425925925925,k uː l l e n
gullat,gulalin,V;COND;1;SG;LGSPEC,0.0,0.0004425925925925,k u l a l iː n
gullat,gulaleimmet,V;COND;1;PL;LGSPEC,0.0,0.0004425925925925,k u l a l e j m m e h t
gullat,gullos,V;IMP;3;SG,0.0,0.0004425925925925,k u l l o s
