lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
అంటించు,అంటించాము,V;1;PL;PST,0.0,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ aː m u
అంటించు,అంటించారు,V;3;MASC;PL;PST,2e-05,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ aː ɾ u
అంటించు,అంటించాడు,V;3;MASC;SG;PST,3.3333333333333333e-06,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ aː ɖ u
అంటించు,అంటించావు,V;2;SG;PST,0.0,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ aː ʋ u
అంటించు,అంటించారు,V;2;PL;PST,2e-05,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ aː ɾ u
అంటించు,అంటించారు,V;3;FEM;PL;PST,2e-05,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ aː ɾ u
అంటించు,అంటించింది,V;3;FEM;SG;PST,3.3333333333333333e-06,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ i n̪ d̪ i
అంటించు,అంటించాను,V;1;SG;PST,0.0,8.333333333333334e-06,a ɳ ʈ i ɲ t͡ɕ aː n u
అందించు,అందించాము,V;1;PL;PST,6.666666666666667e-06,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ aː m u
అందించు,అందించారు,V;3;MASC;PL;PST,0.0006333333333333,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ aː ɾ u
అందించు,అందించాడు,V;3;MASC;SG;PST,0.0002766666666666,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ aː ɖ u
అందించు,అందించావు,V;2;SG;PST,3.3333333333333333e-06,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ aː ʋ u
అందించు,అందించారు,V;2;PL;PST,0.0006333333333333,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ aː ɾ u
అందించు,అందించారు,V;3;FEM;PL;PST,0.0006333333333333,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ aː ɾ u
అందించు,అందించింది,V;3;FEM;SG;PST,0.0002033333333333,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ i n̪ d̪ i
అందించు,అందించాను,V;1;SG;PST,6.666666666666667e-06,0.0002995833333333,a n̪ d̪ i ɲ t͡ɕ aː n u
అందుకొను,అందుకొన్నాము,V;1;PL;PST,0.0,7.916666666666667e-06,a n̪ d̪ u k o nː aː m u
అందుకొను,అందుకొన్నారు,V;3;MASC;PL;PST,1.6666666666666667e-05,7.916666666666667e-06,a n̪ d̪ u k o nː aː ɾ u
