lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
tanggap,tanggap,"V;NFIN
",0.0002333333333333,0.0006571428571428,t a ŋ ɡ a p
tanggap,tumanggap,"V;PFV;AGFOC
",0.0014666666666666,0.0006571428571428,t u m a ŋ ɡ a p
tanggap,tumatanggap,"V;IPFV;AGFOC
",0.0004666666666666,0.0006571428571428,t u m a t a ŋ ɡ a p
tanggap,tatanggap,"V;AGFOC;LGSPEC1
",0.0004333333333333,0.0006571428571428,t a t a ŋ ɡ a p
tanggap,tinanggap,"V;PFV;PFOC
",0.0012,0.0006571428571428,t i n a ŋ ɡ a p
tanggap,tinatanggap,"V;IPFV;PFOC
",0.0002666666666666,0.0006571428571428,t i n a t a ŋ ɡ a p
tanggap,tatanggapin,"V;PFOC;LGSPEC1
",0.0005333333333333,0.0006571428571428,t a t a ŋ ɡ a p i n
kuha,kuha,"V;NFIN
",0.0004666666666666,0.0004547619047619,k u h a ʔ
kuha,kumuha,"V;PFV;AGFOC
",0.001,0.0004547619047619,k u m u h a ʔ
kuha,kumukuha,"V;IPFV;AGFOC
",0.0002333333333333,0.0004547619047619,k u m u k u h a ʔ
kuha,kukuha,"V;AGFOC;LGSPEC1
",0.0004333333333333,0.0004547619047619,k u k u h a ʔ
kuha,kinuha,"V;PFV;PFOC
",0.0006666666666666,0.0004547619047619,k i n u h a ʔ
kuha,kinukuha,"V;IPFV;PFOC
",0.0001666666666666,0.0004547619047619,k i n u k u h a ʔ
kuha,kukuhain,"V;PFOC;LGSPEC1
",0.0,0.0004547619047619,k u k u h a ʔ i n
dagdag,dagdag,"V;NFIN
",0.0067333333333333,0.0010238095238095,d a ɡ d a ɡ
dagdag,nagdagdag,"V;PFV;AGFOC
",0.0001,0.0010238095238095,n a ɡ d a ɡ d a ɡ
dagdag,nagdaragdag,"V;IPFV;AGFOC
",0.0,0.0010238095238095,n a ɡ d a ɾ a ɡ d a ɡ
dagdag,magdaragdag,"V;AGFOC;LGSPEC1
",3.3333333333333335e-05,0.0010238095238095,m a ɡ d a ɾ a ɡ d a ɡ
dagdag,dinagdagan,"V;PFV;PFOC
",0.0002666666666666,0.0010238095238095,d i n a ɡ d a ɡ a n
dagdag,dinaragdagan,"V;IPFV;PFOC
",0.0,0.0010238095238095,d i n a ɾ a ɡ d a ɡ a n
