lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
achmaq,échiwatattuq,"V;PROG;PL;1;PST
",0.0,0.0,e t͡ʃ i w ɑ t ɑ tː u q
achmaq,échiwatattim,"V;PROG;SG;1;PST
",0.0,0.0,e t͡ʃ i w ɑ t ɑ tː i m
achmaq,échiwatattinglar,"V;PROG;PL;2;PST
",0.0,0.0,e t͡ʃ i w ɑ t ɑ t t i n ɡ l ɑ r
achmaq,échiwatatting,"V;PROG;SG;2;INFM;PST
",0.0,0.0,e t͡ʃ i w ɑ t ɑ t i n
achmaq,échiwatattingiz,"V;PROG;FRML;SG;2;PST
",0.0,0.0,e t͡ʃ i w ɑ t ɑ t t i n ɡ i θ
achmaq,échiwatatti,"V;PROG;PL;3;PST
",0.0,0.0,e t͡ʃ i w ɑ t ɑ tː i
achmaq,échiwatatti,"V;PROG;SG;3;PST
",0.0,0.0,e t͡ʃ i w ɑ t ɑ tː i
achmaq,achtuq,"V;PL;1;PST
",0.0,0.0,ɑ t͡ʃ t u q
achmaq,achmiduq,"V;PL;1;NEG;PST
",0.0,0.0,ɑ t͡ʃ m i d u q
achmaq,achtim,"V;SG;1;PST
",0.0,0.0,ɑ t i m
achmaq,achmidim,"V;SG;1;NEG;PST
",0.0,0.0,ɑ t͡ʃ m i d i m
achmaq,achtinglar,"V;PL;2;PST
",0.0,0.0,ɑ t i n ɡ l ɑ r
achmaq,achmidinglar,"V;PL;2;NEG;PST
",0.0,0.0,ɑ t͡ʃ m i d i n ɡ l ɑ r
achmaq,achting,"V;SG;2;INFM;PST
",0.0,0.0,ɑ t i n
achmaq,achtingiz,"V;FRML;SG;2;PST
",0.0,0.0,ɑ t i n ɡ i θ
achmaq,achmidingiz,"V;FRML;SG;2;NEG;PST
",0.0,0.0,ɑ t͡ʃ m i d i n ɡ i θ
achmaq,achmiding,"V;SG;2;NEG;INFM;PST
",0.0,0.0,ɑ t͡ʃ m i d i ŋ
achmaq,achti,"V;PL;3;PST
",0.0,0.0,ɑ t͡ʃ t i
achmaq,achmidi,"V;PL;3;NEG;PST
",0.0,0.0,ɑ t͡ʃ m i d i
achmaq,achti,"V;SG;3;PST
",0.0,0.0,ɑ t͡ʃ t i
achmaq,achmidi,"V;SG;3;NEG;PST
",0.0,0.0,ɑ t͡ʃ m i d i
achmaq,achattuq,"V;IPFV;PL;1;PST
",0.0,0.0,ɑ t͡ʃ ɑ tː u q
achmaq,achattim,"V;IPFV;SG;1;PST
",0.0,0.0,ɑ t͡ʃ ɑ tː i m
achmaq,achattinglar,"V;IPFV;PL;2;PST
",0.0,0.0,ɑ t͡ʃ ɑ t i n ɡ l ɑ r
achmaq,achatting,"V;IPFV;SG;2;INFM;PST
",0.0,0.0,ɑ t͡ʃ ɑ t i ŋ
achmaq,achattingiz,"V;IPFV;FRML;SG;2;PST
",0.0,0.0,ɑ t͡ʃ ɑ t t i n ɡ i θ
achmaq,achatti,"V;IPFV;PL;3;PST
",0.0,0.0,ɑ t͡ʃ ɑ tː i
achmaq,achatti,"V;IPFV;SG;3;PST
",0.0,0.0,ɑ t͡ʃ ɑ tː i
achmaq,achmaqchiduq,"V;INTEN;PL;1;PST
",0.0,0.0,ɑ t͡ʃ m ɑ q t͡ʃ i d u q
achmaq,achmaqchidim,"V;INTEN;SG;1;PST
",0.0,0.0,ɑ t͡ʃ m ɑ q t͡ʃ i d i m
achmaq,achmaqchidinglar,"V;INTEN;PL;2;PST
",0.0,0.0,ɑ t͡ʃ m ɑ q t͡ʃ i d i n ɡ l ɑ r
achmaq,achmaqchiding,"V;INTEN;SG;2;INFM;PST
",0.0,0.0,ɑ t͡ʃ m ɑ q t͡ʃ i d i ŋ
achmaq,achmaqchidingiz,"V;FRML;INTEN;SG;2;PST
",0.0,0.0,ɑ t͡ʃ m ɑ q t͡ʃ i d i n ɡ i θ
achmaq,achmaqchidi,"V;INTEN;PL;3;PST
",0.0,0.0,ɑ t͡ʃ m ɑ q t͡ʃ i d i
