lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form
אַרבעטן,אַרבעטן,V;NFIN,0.0002666666666666,0.0004571428571428,a ʁ b ɛ t n̩
אַרבעטן,אַרבעט,V;FIN;IMP;2;SG,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעטן,V;FIN;PRES;3;PL,0.0002666666666666,0.0004571428571428,a ʁ b ɛ t n̩
אַרבעטן,אַרבעט,V;FIN;IMP;2;PL,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעט,V;FIN;PRES;2;PL,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעט,V;FIN;PRES;1;SG,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעטן,V;FIN;PRES;1;PL,0.0002666666666666,0.0004571428571428,a ʁ b ɛ t n̩
אַרבעטן,אַרבעטן,V;NFIN,0.0002666666666666,0.0004571428571428,a ʁ b ɛ t n̩
אַרבעטן,אַרבעט,V;FIN;IMP;2;SG,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעטן,V;FIN;PRES;3;PL,0.0002666666666666,0.0004571428571428,a ʁ b ɛ t n̩
אַרבעטן,אַרבעט,V;FIN;IMP;2;PL,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעט,V;FIN;PRES;2;PL,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעט,V;FIN;PRES;1;SG,0.0006,0.0004571428571428,a ʁ b ə t
אַרבעטן,אַרבעטן,V;FIN;PRES;1;PL,0.0002666666666666,0.0004571428571428,a ʁ b ɛ t n̩
באַקומען,באַקומען,V;NFIN,0.0007333333333333,0.0003428571428571,b a k ʊ m ə n
באַקומען,באַקום,V;FIN;IMP;2;SG,0.0,0.0003428571428571,b a k ʊ m
באַקומען,באַקומען,V;FIN;PRES;3;PL,0.0007333333333333,0.0003428571428571,b a k ʊ m ə n
באַקומען,באַקומט,V;FIN;IMP;2;PL,0.0001,0.0003428571428571,b a k ʊ m t
באַקומען,באַקומט,V;FIN;PRES;2;PL,0.0001,0.0003428571428571,b a k ʊ m t
באַקומען,באַקום,V;FIN;PRES;1;SG,0.0,0.0003428571428571,b a k ʊ m
באַקומען,באַקומען,V;FIN;PRES;1;PL,0.0007333333333333,0.0003428571428571,b a k ʊ m ə n
בויען,בויען,V;NFIN,0.003,0.001447619047619,b ɔ ɪ̯ ə n
בויען,בוי,V;FIN;IMP;2;SG,6.666666666666667e-05,0.001447619047619,b ɔ ɪ̯
בויען,בויען,V;FIN;PRES;3;PL,0.003,0.001447619047619,b ɔ ɪ̯ ə n
בויען,בויט,V;FIN;IMP;2;PL,0.0005,0.001447619047619,b ɔ ɪ̯ t
בויען,בויט,V;FIN;PRES;2;PL,0.0005,0.001447619047619,b ɔ ɪ̯ t
בויען,בוי,V;FIN;PRES;1;SG,6.666666666666667e-05,0.001447619047619,b ɔ ɪ̯
בויען,בויען,V;FIN;PRES;1;PL,0.003,0.001447619047619,b ɔ ɪ̯ ə n
בייגן,בייגן,V;NFIN,0.0005,0.0002428571428571,b ɛ ɪ̯ ɡ n̩
בייגן,בייג,V;FIN;IMP;2;SG,0.0,0.0002428571428571,b ɛ ɪ̯ ɡ
בייגן,בייגן,V;FIN;PRES;3;PL,0.0005,0.0002428571428571,b ɛ ɪ̯ ɡ n̩
בייגן,בייגט,V;FIN;IMP;2;PL,0.0001,0.0002428571428571,b ɛ ɪ̯ ɡ t
בייגן,בייגט,V;FIN;PRES;2;PL,0.0001,0.0002428571428571,b ɛ ɪ̯ ɡ t
בייגן,בייג,V;FIN;PRES;1;SG,0.0,0.0002428571428571,b ɛ ɪ̯ ɡ
בייגן,בייגן,V;FIN;PRES;1;PL,0.0005,0.0002428571428571,b ɛ ɪ̯ ɡ n̩
בילן,בילן,V;NFIN,3.3333333333333335e-05,0.000195238095238,b ɪ ɫ n̩
בילן,ביל,V;FIN;IMP;2;SG,0.0006333333333333,0.000195238095238,b ɪ ɫ
בילן,בילן,V;FIN;PRES;3;PL,3.3333333333333335e-05,0.000195238095238,b ɪ ɫ n̩
בילן,בילט,V;FIN;IMP;2;PL,0.0,0.000195238095238,b ɪ ɫ t
בילן,בילט,V;FIN;PRES;2;PL,0.0,0.000195238095238,b ɪ ɫ t
בילן,ביל,V;FIN;PRES;1;SG,0.0006333333333333,0.000195238095238,b ɪ ɫ
בילן,בילן,V;FIN;PRES;1;PL,3.3333333333333335e-05,0.000195238095238,b ɪ ɫ n̩
בעטן,בעטן,V;NFIN,0.0009333333333333,0.0009142857142857,b ɛ t n̩
בעטן,בעט,V;FIN;IMP;2;SG,0.0009,0.0009142857142857,b ɛ t
בעטן,בעטן,V;FIN;PRES;3;PL,0.0009333333333333,0.0009142857142857,b ɛ t n̩
בעטן,בעט,V;FIN;IMP;2;PL,0.0009,0.0009142857142857,b ɛ t
בעטן,בעט,V;FIN;PRES;2;PL,0.0009,0.0009142857142857,b ɛ t
בעטן,בעט,V;FIN;PRES;1;SG,0.0009,0.0009142857142857,b ɛ t
בעטן,בעטן,V;FIN;PRES;1;PL,0.0009333333333333,0.0009142857142857,b ɛ t n̩
