lemma,form,paradigm_slot
نَصَح,نَصحَوا,"V;PFV;PL;3
"
نَصَح,يِنصَحُون,"V;IPFV;PL;3
"
نَصَح,يِنصَح,"V;IPFV;MASC;SG;3
"
نَصَح,نَصَحتَوا,"V;PFV;PL;2
"
نَصَح,نَصحَت,"V;PFV;FEM;SG;3
"
نَصَح,نَصَحتِي,"V;PFV;FEM;SG;2
"
نَصَح,نَصَح,"V;PFV;MASC;SG;3
"
نَصَح,تِنصَح,"V;IPFV;FEM;SG;3
"
نَصَح,تِنصَح,"V;IPFV;MASC;SG;2
"
نَصَح,تِنصَحُون,"V;IPFV;PL;2
"
نَصَح,نَصَحت,"V;PFV;SG;1
"x
نَصَح,اَنصَح,"V;IPFV;SG;1
"
نَصَح,نِصحِي,"V;FEM;IMP;SG;2
"
نَصَح,تِنصَحِين,"V;IPFV;FEM;SG;2
"
نَصَح,نِنصَح,"V;IPFV;PL;1
"
نَصَح,اِنصَح,"V;MASC;IMP;SG;2
"
نَصَح,نَصَحت,"V;PFV;MASC;SG;2
"
نَصَح,نِصحَوا,"V;IMP;PL;2
"
نَصَح,نَصَحنا,"V;PFV;PL;1
"
قَرا,تِقرِين,"V;IPFV;FEM;SG;2
"
قَرا,اِقرَوا,"V;IMP;PL;2
"
قَرا,يِقرُون,"V;IPFV;PL;3
"
قَرا,قَرَيتَوا,"V;PFV;PL;2
"
قَرا,تِقرِي,"V;IPFV;FEM;SG;3
"
قَرا,اِقرِي,"V;FEM;IMP;SG;2
"
قَرا,نِقرِي,"V;IPFV;PL;1
"
قَرا,قَرَوا,"V;PFV;PL;3
"
قَرا,اِقرِي,"V;MASC;IMP;SG;2
"
قَرا,قَرَيتِي,"V;PFV;FEM;SG;2
"
قَرا,تِقرِي,"V;IPFV;MASC;SG;2
"
قَرا,قَرَينا,"V;PFV;PL;1
"
قَرا,قَرَيت,"V;PFV;MASC;SG;2
"
قَرا,قَرَيت,"V;PFV;SG;1
"
قَرا,تِقرُون,"V;IPFV;PL;2
"
قَرا,قَرَت,"V;PFV;FEM;SG;3
"
قَرا,يِقرِي,"V;IPFV;MASC;SG;3
"
قَرا,قَرا,"V;PFV;MASC;SG;3
"
قَرا,اَقرِي,"V;IPFV;SG;1
"
كان,اَكُون,"V;IPFV;SG;1
"
كان,تكُونُون,"V;IPFV;PL;2
"
كان,نكُون,"V;IPFV;PL;1
"
كان,تكُونِين,"V;IPFV;FEM;SG;2
"
كان,كُونِي,"V;FEM;IMP;SG;2
"
كان,تكُون,"V;IPFV;MASC;SG;2
"
كان,كُون,"V;MASC;IMP;SG;2
"
كان,كِنَّا,"V;PFV;PL;1
"
كان,يكُونُون,"V;IPFV;PL;3
"
كان,كِنت,"V;PFV;MASC;SG;2
"
كان,كُونَوا,"V;IMP;PL;2
"
كان,كِنت,"V;PFV;SG;1
"
كان,كانَوا,"V;PFV;PL;3
"
كان,كِنتِي,"V;PFV;FEM;SG;2
"
كان,كِنتَوا,"V;PFV;PL;2
"
كان,يكُون,"V;IPFV;MASC;SG;3
"
كان,تكُون,"V;IPFV;FEM;SG;3
"
كان,كان,"V;PFV;MASC;SG;3
"
كان,كانَت,"V;PFV;FEM;SG;3
"
حَبّ,حَبَّوا,"V;PFV;PL;3
"
حَبّ,حَبَّينا,"V;PFV;PL;1
"
حَبّ,حَبَّيت,"V;PFV;MASC;SG;2
"
حَبّ,حَبَّيت,"V;PFV;SG;1
"
حَبّ,تحِبِّين,"V;IPFV;FEM;SG;2
"
حَبّ,حِبّ,"V;MASC;IMP;SG;2
"
حَبّ,تحِبّ,"V;IPFV;FEM;SG;3
"
حَبّ,اَحِبّ,"V;IPFV;SG;1
"
حَبّ,حَبّ,"V;PFV;MASC;SG;3
"
حَبّ,حِبَّوا,"V;IMP;PL;2
"
حَبّ,حَبَّيتِي,"V;PFV;FEM;SG;2
"
حَبّ,حَبَّت,"V;PFV;FEM;SG;3
"
حَبّ,يحِبُّون,"V;IPFV;PL;3
"
حَبّ,تحِبّ,"V;IPFV;MASC;SG;2
"
حَبّ,تحِبُّون,"V;IPFV;PL;2
"
حَبّ,حَبَّيتَوا,"V;PFV;PL;2
"
حَبّ,حِبِّي,"V;FEM;IMP;SG;2
"
حَبّ,نحِبّ,"V;IPFV;PL;1
"
حَبّ,يحِبّ,"V;IPFV;MASC;SG;3
"
تِمَتَّع,اتمتع,"V;IPFV;PL;1
"
تِمَتَّع,تتمتع,"V;IPFV;FEM;SG;3
"
خَلَّى,خَلَّيتَوا,"V;PFV;PL;2
"
خَلَّى,خَلَّوا,"V;IMP;PL;2
"
خَلَّى,يخَلِّي,"V;IPFV;MASC;SG;3
"
خَلَّى,خَلَّيت,"V;PFV;SG;1
"
خَلَّى,خَلَّى,"V;PFV;MASC;SG;3
"
خَلَّى,تخَلِّي,"V;IPFV;MASC;SG;2
"
خَلَّى,يخَلُّون,"V;IPFV;PL;3
"
خَلَّى,تخَلُّون,"V;IPFV;PL;2
"
خَلَّى,نخَلِّي,"V;IPFV;PL;1
"
خَلَّى,تخَلِّي,"V;IPFV;FEM;SG;3
"
خَلَّى,اَخَلِّي,"V;IPFV;SG;1
"
خَلَّى,خَلِّي,"V;MASC;IMP;SG;2
"
خَلَّى,خَلَّوا,"V;PFV;PL;3
"
خَلَّى,خَلَّت,"V;PFV;FEM;SG;3
"
خَلَّى,خَلَّيتِي,"V;PFV;FEM;SG;2
"
خَلَّى,خَلَّيت,"V;PFV;MASC;SG;2
"
خَلَّى,خَلِّي,"V;FEM;IMP;SG;2
"
خَلَّى,تخَلِّين,"V;IPFV;FEM;SG;2
"
خَلَّى,خَلَّينا,"V;PFV;PL;1
"
شاف,يشُوفُون,"V;IPFV;PL;3
"
شاف,شِفت,"V;PFV;MASC;SG;2
"
شاف,شُوفَوا,"V;IMP;PL;2
"
شاف,يشُوف,"V;IPFV;MASC;SG;3
"
شاف,شُوف,"V;MASC;IMP;SG;2
"
شاف,تشُوفِين,"V;IPFV;FEM;SG;2
"
شاف,شِفت,"V;PFV;SG;1
"
شاف,شِفنا,"V;PFV;PL;1
"
شاف,تشُوفُون,"V;IPFV;PL;2
"
شاف,شافَوا,"V;PFV;PL;3
"
شاف,شافَت,"V;PFV;FEM;SG;3
"
شاف,اَشُوف,"V;IPFV;SG;1
"
شاف,تشُوف,"V;IPFV;MASC;SG;2
"
شاف,شِفتَوا,"V;PFV;PL;2
"
شاف,شُوفِي,"V;FEM;IMP;SG;2
"
شاف,تشُوف,"V;IPFV;FEM;SG;3
"
شاف,شِفتِي,"V;PFV;FEM;SG;2
"
شاف,نشُوف,"V;IPFV;PL;1
"
شاف,شاف,"V;PFV;MASC;SG;3
"
تِخَبَّل,تخبلت,"V;PFV;FEM;SG;3
"
تِخَبَّل,تخبلت,"V;PFV;MASC;SG;2
"
تِخَبَّل,يتخبلن,"V;IPFV;FEM;PL;3
"
تِخَبَّل,تتخبلين,"V;IPFV;FEM;SG;2
"
تِخَبَّل,تخبلن,"V;PFV;FEM;PL;3
"
تِخَبَّل,يتخبل,"V;IPFV;MASC;SG;3
"
تِخَبَّل,تخبلنا,"V;PFV;PL;1
"
تِخَبَّل,اتخبل,"V;IPFV;PL;1
"
تِخَبَّل,تخبلت,"V;PFV;SG;1
"
عَنَى,عَنَى,"V;PFV;MASC;SG;3
"
عَنَى,تِعنُون,"V;IPFV;PL;2
"
عَنَى,نِعنِي,"V;IPFV;PL;1
"
عَنَى,اِعنِي,"V;MASC;IMP;SG;2
"
عَنَى,تِعنِي,"V;IPFV;MASC;SG;2
"
عَنَى,عَنَيتَوا,"V;PFV;PL;2
"
عَنَى,عَنَيتِي,"V;PFV;FEM;SG;2
"
عَنَى,يِعنِي,"V;IPFV;MASC;SG;3
"
عَنَى,اِعنِي,"V;FEM;IMP;SG;2
"
عَنَى,عَنَت,"V;PFV;FEM;SG;3
"
عَنَى,عَنَيت,"V;PFV;MASC;SG;2
"
عَنَى,يِعنُون,"V;IPFV;PL;3
"
عَنَى,عَنَينا,"V;PFV;PL;1
"
عَنَى,عَنَيت,"V;PFV;SG;1
"
عَنَى,تِعنِي,"V;IPFV;FEM;SG;3
"
عَنَى,اِعنَوا,"V;IMP;PL;2
"
عَنَى,عَنَوا,"V;PFV;PL;3
"
عَنَى,اَعنِي,"V;IPFV;SG;1
"
عَنَى,تِعنِين,"V;IPFV;FEM;SG;2
"
اِعتَبَر,تِعتِبِر,"V;IPFV;MASC;SG;2
"
اِعتَبَر,تِعتِبرِين,"V;IPFV;FEM;SG;2
"
اِعتَبَر,يِعتِبرُون,"V;IPFV;PL;3
"
اِعتَبَر,يِعتِبِر,"V;IPFV;MASC;SG;3
"
اِعتَبَر,تِعتِبرُون,"V;IPFV;PL;2
"
اِعتَبَر,اِعتَبَرتِي,"V;PFV;FEM;SG;2
"
اِعتَبَر,اِعتِبِرِي,"V;FEM;IMP;SG;2
"
اِعتَبَر,اِعتَبَرَوا,"V;PFV;PL;3
"
اِعتَبَر,اِعتَبَرت,"V;PFV;SG;1
"
اِعتَبَر,نِعتِبِر,"V;IPFV;PL;1
"
اِعتَبَر,اِعتَبَرَت,"V;PFV;FEM;SG;3
"
اِعتَبَر,اِعتِبِر,"V;MASC;IMP;SG;2
"
اِعتَبَر,اِعتَبَر,"V;PFV;MASC;SG;3
"
اِعتَبَر,اِعتَبَرت,"V;PFV;MASC;SG;2
"
اِعتَبَر,اِعتِبِرَوا,"V;IMP;PL;2
"
اِعتَبَر,اِعتَبَرتَوا,"V;PFV;PL;2
"
اِعتَبَر,اَعتِبِر,"V;IPFV;SG;1
"
اِعتَبَر,اِعتَبَرنا,"V;PFV;PL;1
"
اِعتَبَر,تِعتِبِر,"V;IPFV;FEM;SG;3
"
