lemma,form,paradigm_slot,form_freq,lemma_freq
a,a,V;INF,0.0011833333333333333,0.0011833333333333333
a,a,V;PRS,0.0011833333333333333,0.0011833333333333333
aai,aai,V;INF,6.666666666666667e-06,6.666666666666667e-06
aai,aai,V;PRS,6.666666666666667e-06,6.666666666666667e-06
aanbak,aanbak,V;INF,0.0,0.0
aanbak,aanbak,V;PRS,0.0,0.0
aanbel,aanbel,V;INF,0.0,0.0
aanbel,aanbel,V;PRS,0.0,0.0
aanbeland,aanbeland,V;INF,0.0,0.0
aanbeland,aanbeland,V;PRS,0.0,0.0
aanbelang,aanbelang,V;INF,0.0,0.0
aanbelang,aanbelang,V;PRS,0.0,0.0
aanbestee,aanbestee,V;INF,0.0,0.0
aanbestee,aanbestee,V;PRS,0.0,0.0
aanbetref,aanbetref,V;INF,8.666666666666667e-05,8.666666666666667e-05
aanbetref,aanbetref,V;PRS,8.666666666666667e-05,8.666666666666667e-05
aanbeur,aanbeur,V;INF,0.0,0.0
aanbeur,aanbeur,V;PRS,0.0,0.0
aanbeveel,aanbeveel,V;INF,0.0008033333333333333,0.0008033333333333333
aanbeveel,aanbeveel,V;PRS,0.0008033333333333333,0.0008033333333333333
aanbeweeg,aanbeweeg,V;INF,4e-05,4e-05
aanbeweeg,aanbeweeg,V;PRS,4e-05,4e-05
aanbid,aanbid,V;INF,0.0005133333333333333,0.0005133333333333333
aanbid,aanbid,V;PRS,0.0005133333333333333,0.0005133333333333333
aanbie,aanbie,V;INF,0.0,0.0
aanbie,aanbie,V;PRS,0.0,0.0
aanbied,aanbied,V;INF,0.0008566666666666667,0.0008566666666666667
aanbied,aanbied,V;PRS,0.0008566666666666667,0.0008566666666666667
aanbieë,aanbieë,V;INF,0.0,0.0
aanbieë,aanbieë,V;PRS,0.0,0.0
aanbind,aanbind,V;INF,0.0,0.0
aanbind,aanbind,V;PRS,0.0,0.0
aanblaas,aanblaas,V;INF,2e-05,2e-05
aanblaas,aanblaas,V;PRS,2e-05,2e-05
aanblik,aanblik,V;INF,0.0,0.0
aanblik,aanblik,V;PRS,0.0,0.0
aanbly,aanbly,V;INF,4e-05,4e-05
aanbly,aanbly,V;PRS,4e-05,4e-05
aanboor,aanboor,V;INF,0.0,0.0
aanboor,aanboor,V;PRS,0.0,0.0
aanbou,aanbou,V;INF,2.3333333333333332e-05,2.3333333333333332e-05
aanbou,aanbou,V;PRS,2.3333333333333332e-05,2.3333333333333332e-05
aanbrand,aanbrand,V;INF,2.3333333333333332e-05,2.3333333333333332e-05
aanbrand,aanbrand,V;PRS,2.3333333333333332e-05,2.3333333333333332e-05
aanbreek,aanbreek,V;INF,0.00017,0.00017
aanbreek,aanbreek,V;PRS,0.00017,0.00017
aanbrei,aanbrei,V;INF,0.0,0.0
aanbrei,aanbrei,V;PRS,0.0,0.0
aanbring,aanbring,V;INF,9.666666666666667e-05,9.666666666666667e-05
aanbring,aanbring,V;PRS,9.666666666666667e-05,9.666666666666667e-05
aandien,aandien,V;INF,0.0,0.0
aandien,aandien,V;PRS,0.0,0.0
aandig,aandig,V;INF,0.0,0.0
aandig,aandig,V;PRS,0.0,0.0
aandik,aandik,V;INF,3.3333333333333333e-06,3.3333333333333333e-06
aandik,aandik,V;PRS,3.3333333333333333e-06,3.3333333333333333e-06
aandoen,aandoen,V;INF,0.00014333333333333334,0.00014333333333333334
aandoen,aandoen,V;PRS,0.00014333333333333334,0.00014333333333333334
aandra,aandra,V;INF,4.3333333333333334e-05,4.3333333333333334e-05
aandra,aandra,V;PRS,4.3333333333333334e-05,4.3333333333333334e-05
aandraag,aandraag,V;INF,0.0,0.0
aandraag,aandraag,V;PRS,0.0,0.0
aandraai,aandraai,V;INF,1.6666666666666667e-05,1.6666666666666667e-05
aandraai,aandraai,V;PRS,1.6666666666666667e-05,1.6666666666666667e-05
aandrae,aandrae,V;INF,0.0,0.0
aandrae,aandrae,V;PRS,0.0,0.0
aandraf,aandraf,V;INF,3.3333333333333333e-06,3.3333333333333333e-06
aandraf,aandraf,V;PRS,3.3333333333333333e-06,3.3333333333333333e-06
aandrawwe,aandrawwe,V;INF,0.0,0.0
aandrawwe,aandrawwe,V;PRS,0.0,0.0
aandrentel,aandrentel,V;INF,0.0,0.0
aandrentel,aandrentel,V;PRS,0.0,0.0
aandring,aandring,V;INF,0.00016666666666666666,0.00016666666666666666
aandring,aandring,V;PRS,0.00016666666666666666,0.00016666666666666666
aandruk,aandruk,V;INF,6.666666666666667e-06,6.666666666666667e-06
aandruk,aandruk,V;PRS,6.666666666666667e-06,6.666666666666667e-06
aandryf,aandryf,V;INF,2.3333333333333332e-05,2.3333333333333332e-05
aandryf,aandryf,V;PRS,2.3333333333333332e-05,2.3333333333333332e-05
aandrywe,aandrywe,V;INF,0.0,0.0
aandrywe,aandrywe,V;PRS,0.0,0.0
aandui,aandui,V;INF,0.0004766666666666667,0.0004766666666666667
aandui,aandui,V;PRS,0.0004766666666666667,0.0004766666666666667
aanduie,aanduie,V;INF,0.0,0.0
aanduie,aanduie,V;PRS,0.0,0.0
aandurf,aandurf,V;INF,0.00013666666666666666,0.00013666666666666666
aandurf,aandurf,V;PRS,0.00013666666666666666,0.00013666666666666666
aandurwe,aandurwe,V;INF,0.0,0.0
aandurwe,aandurwe,V;PRS,0.0,0.0
aaneenbrei,aaneenbrei,V;INF,0.0,0.0
aaneenbrei,aaneenbrei,V;PRS,0.0,0.0
aaneenflans,aaneenflans,V;INF,0.0,0.0
aaneenflans,aaneenflans,V;PRS,0.0,0.0
aaneengroei,aaneengroei,V;INF,0.0,0.0
aaneengroei,aaneengroei,V;PRS,0.0,0.0
aaneenheg,aaneenheg,V;INF,0.0,0.0
aaneenheg,aaneenheg,V;PRS,0.0,0.0
aaneenknoop,aaneenknoop,V;INF,0.0,0.0
aaneenknoop,aaneenknoop,V;PRS,0.0,0.0
aaneenkoppel,aaneenkoppel,V;INF,0.0,0.0
aaneenkoppel,aaneenkoppel,V;PRS,0.0,0.0
aaneenlas,aaneenlas,V;INF,0.0,0.0
aaneenlas,aaneenlas,V;PRS,0.0,0.0
aaneenlym,aaneenlym,V;INF,0.0,0.0
aaneenlym,aaneenlym,V;PRS,0.0,0.0
aaneenryg,aaneenryg,V;INF,0.0,0.0
aaneenryg,aaneenryg,V;PRS,0.0,0.0
aaneenskakel,aaneenskakel,V;INF,0.0,0.0
aaneenskakel,aaneenskakel,V;PRS,0.0,0.0
aaneenskryf,aaneenskryf,V;INF,0.0,0.0
aaneenskryf,aaneenskryf,V;PRS,0.0,0.0
aaneenskrywe,aaneenskrywe,V;INF,0.0,0.0
aaneenskrywe,aaneenskrywe,V;PRS,0.0,0.0
aaneensluit,aaneensluit,V;INF,0.0,0.0
aaneensluit,aaneensluit,V;PRS,0.0,0.0
aaneensmee,aaneensmee,V;INF,0.0,0.0
aaneensmee,aaneensmee,V;PRS,0.0,0.0
aaneensweis,aaneensweis,V;INF,0.0,0.0
aaneensweis,aaneensweis,V;PRS,0.0,0.0
aaneenvleg,aaneenvleg,V;INF,0.0,0.0
aaneenvleg,aaneenvleg,V;PRS,0.0,0.0
aanerd,aanerd,V;INF,0.0,0.0
aanerd,aanerd,V;PRS,0.0,0.0
aanfladder,aanfladder,V;INF,0.0,0.0
aanfladder,aanfladder,V;PRS,0.0,0.0
aanfok,aanfok,V;INF,0.0,0.0
aanfok,aanfok,V;PRS,0.0,0.0
aangaan,aangaan,V;INF,0.00112,0.00112
aangaan,aangaan,V;PRS,0.00112,0.00112
aangaap,aangaap,V;INF,3.3333333333333333e-06,3.3333333333333333e-06
aangaap,aangaap,V;PRS,3.3333333333333333e-06,3.3333333333333333e-06
aangee,aangee,V;INF,0.00012666666666666666,0.00012666666666666666
aangee,aangee,V;PRS,0.00012666666666666666,0.00012666666666666666
aangespe,aangespe,V;INF,0.0,0.0
aangespe,aangespe,V;PRS,0.0,0.0
aangesper,aangesper,V;INF,0.0,0.0
aangesper,aangesper,V;PRS,0.0,0.0
aantyg,aangetyg,V;INF,0.0,0.0
aantyg,aangetyg,V;PRS,0.0,0.0
aangluur,aangluur,V;INF,6.666666666666667e-06,6.666666666666667e-06
aangluur,aangluur,V;PRS,6.666666666666667e-06,6.666666666666667e-06
aangord,aangord,V;INF,3.3333333333333333e-06,3.3333333333333333e-06
aangord,aangord,V;PRS,3.3333333333333333e-06,3.3333333333333333e-06
