lemma,form,paradigm_slot
ɸaː,ɸaijaja,"V;TOP;PST"
ɸaː,ˈɸaija,"V;PST"
ɸaː,ɸaiːjaː,"V;PST"
ɸaː,ɸaija,"V;PST"
ɸaː,ɸaija,"V;TOP"
ɸaː,ɸaːjaːjaː,"V;TOP;PST"
ɸaː,ɸaːjaː,"V;ABS"
ɸaː,ɸaːjaː,"V;PST"
ɸaː,ɸaɪja,"V;PST"
ɸaː,ɸaːlɪdɪsɪ,"V;PFV;MED;SIMMA"
ɸaː,ɸaːlɛmɛːnaː,"V;1;FUT"
ɸaː,ɸalɛ,"V;SIMMA"
ɸaː,ɸaːlɪːmɛːnaːtaːnɪː,"V;TEL;IPFV;MED;1;FUT"
ɸaː,ˈɸaːlɪ,"V;SIMMA"
ɸaː,ɸaːlɪ,"V;SIMMA"
ɸaː,ɸaːsɪː,"V;AC3P"
aːbuːnu,aˈbunja,"V;PST"
aːbuːnu,ˈaːbunuˈɸɛja,"V;PRF"
aːbuːnu,aˈbunutaˈbija,"V;TEL;TOP"
ɡadaː,ɡadaːla,"V;PST"
ɸaːda,ɸaːdɪbiː,"V;IMP;FUT"
ɸaːda,ɸaːdɪmɛːnaːjaː,"V;TOP;FUT"
ɸaːdɪ,aˈdɪɾɛli,"V;PROG;SIMMA"
ɸadɪ,ˈɸadɪli,"V;SIMMA"
ɸaːdɪ,ˈɸaːdɪlɪ,"V;SIMMA"
aːdɪ,ˈaːdɪmɛɪ,"V;2+3;FUT"
ɡadaː,gadabɛdaluga,"V;INTR"
ɡadaː,gaːdaːlɛtaːboː,"V;IMP;NEG"
aːdi,aːdija,"V;TOP"
aːdi,adija,"V;TOP"
aːɡɛ,aːgɛmɛna,"V;1;FUT"
aːɡɛ,ɛaːdɪmɛna,"V;1;FUT"
aːɡɛlɛ,aɡlɪsɪ,"V;PFV;MED"
aːɡɛlɛ,aːɡɾɪsɪ,"V;PFV;MED"
aːgɪlɛː,aːgɪlɛːkɛː,"V;ITER"
alɪ,alɪki,"V;PROG"
ɸalɪ,ɸaːlɪmɛːnaː,"V;PURP"
ɸalɪ,ɸalɪta,"V;TEL"
ɸalɪ,ɸaːlɪtɪmɛi,"V;TEL;2+3;FUT"
ɡaːlɛ,ˈgajaˈlabɪˈno,"V;TOP"
ɡaːlɛ,gaːjaː,"V;PST"
ɡaːlɛ,gaːjɛːlaː,"V;PROG"
ɡaːlɛ,gajɛliːː,"V;SIMMA"
ɡaːlɛ,gajɛ,"V;LOC"
ɡaːlɛ,gaːlimɛɪ,"V;IRR"
ɡaːlɛ,gaːli,"V;SIMMA"
ɡaːlɛ,gaːlɪkɪː,"V;PROG;SIMMA"
ɡaːlɛ,ˈgalɪmɛɪ,"V;2+3;SIMMA;FUT"
ɡaːlɛ,ˈgaːlɪˈmɛɪ,"V;IRR;SIMMA"
ɡaːlɛ,gaːlɪmɛɪ,"V;IRR;SIMMA"
ɡaːlɛ,gaː ɪlɪ,"V;SIMMA"
ɡaːlɛ,galɪ,"V;SIMMA"
aːli,adɪdɪ,"V;DS"
aːli,ɸaːjaː,"V;PST"
aːli,ˈaliˈaːbo,"V;INF"
aːli,ˈaliɛb,"V;IMP;FUT"
aːli,aːliːjaː,"V;TOP"
aːli,aːlijɛbsɪnaː,"V;DUR;OBLIG"
aːli,aːlijɛːmi,"V;LOC+APPRX"
aːli,aːlijɛːsiː,"V;PFV;MED"
aːli,ˈaliˈjɪsɪ,"V;PFV;MED"
aːli,aːlimaː,"V;IMP"
aːli,aːlimɛnaːtaː,"V;TEL;PURP"
aːli,aːlimɛːnaː,"V;FUT"
aːli,aːlimɛnaː,"V;FUT"
aːli,aːliːmɛːnaː,"V;PURP"
aːli,aːliːmɛnaː,"V;PURP"
aːli,aːlimɛːnaː,"V;PURP"
aːli,aːlimɛniː,"V;PURP"
