lemma,form,paradigm_slot
bisa,bisa,"V;NFIN"
bisa,bisa,"V;HAB;PRS"
bisa,mmbisa,"V;HAB;NEG;PRS"
bisa,kɔbisa,"V;PRS;LGSPEC1"
bisa,nnkɔbisa,"V;NEG;PRS;LGSPEC1"
bisa,rebisa,"V;HAB+PROG;PRS"
bisa,remmbisa,"V;HAB+PROG;NEG;PRS"
bisa,rebɛbisa,"V;PROG;PRS+IMMED"
bisa,remmbɛbisa,"V;PROG;NEG;PRS+IMMED"
bisa,rekɔbisa,"V;PROG;PRS;LGSPEC1"
bisa,rennkɔbisa,"V;PROG;NEG;PRS;LGSPEC1"
bisa,abisa,"V;HAB+PRF;PRS"
bisa,mmbisaee,"V;HAB+PRF;NEG;PRS"
bisa,abɛbisa,"V;PRF;PRS+IMMED"
bisa,mmbɛbisaee,"V;PRF;NEG;PRS+IMMED"
bisa,akɔbisa,"V;PRF;PRS;LGSPEC1"
bisa,nnkɔbisaee,"V;PRF;NEG;PRS;LGSPEC1"
bisa,mbisa,"V;SBJV;PRS"
bisa,mma mmbisa,"V;SBJV;NEG;PRS"
bisa,bisa,"V;IMP;PRS"
bisa,mma mmbisa,"V;IMP;NEG;PRS"
bisa,bisaee,"V;HAB;PST"
bisa,ammbisa,"V;HAB;NEG;PST"
bisa,bɛbisaee,"V;PST+IMMED"
bisa,ammbɛbisa,"V;NEG;PST+IMMED"
bisa,kɔbisaee,"V;PST;LGSPEC1"
bisa,ammkɔbisa,"V;NEG;PST;LGSPEC1"
bisa,nna rebisa,"V;HAB+PROG;PST"
bisa,nna remmbisa,"V;HAB+PROG;NEG;PST"
bisa,nna rebɛbisa,"V;PROG;PST+IMMED"
bisa,nna remmbɛbisa,"V;PROG;NEG;PST+IMMED"
bisa,nna rekɔbisa,"V;PROG;PST;LGSPEC1"
bisa,nna rennkɔbisa,"V;PROG;NEG;PST;LGSPEC1"
bisa,nna abisa,"V;HAB+PRF;PST"
bisa,nna mmbisaee,"V;HAB+PRF;NEG;PST"
bisa,nna abɛbisa,"V;PRF;PST+IMMED"
bisa,nna mmbɛbisaee,"V;PRF;NEG;PST+IMMED"
bisa,nna akɔbisa,"V;PRF;PST;LGSPEC1"
bisa,nna nnkɔbisaee,"V;PRF;NEG;PST;LGSPEC1"
bisa,bɛbisa,"V;HAB;FUT"
bisa,remmbisa,"V;HAB;NEG;FUT"
guare,guare,"V;NFIN"
guare,guare,"V;HAB;PRS"
guare,nnguare,"V;HAB;NEG;PRS"
guare,kɔguare,"V;PRS;LGSPEC1"
guare,nnkɔguare,"V;NEG;PRS;LGSPEC1"
guare,reguare,"V;HAB+PROG;PRS"
guare,rennguare,"V;HAB+PROG;NEG;PRS"
guare,rebɛguare,"V;PROG;PRS+IMMED"
