lemma,form,paradigm_slot
a'chenkateñets,a'chenkateñets,"V;NFIN"
achenkateñets,achenkateñets,"V;NFIN"
a'chenkateñets,a'chenkateñet,"V;NO3P;FIN;REAL"
achenkateñets,a'chenkateñet,"V;NO3P;FIN;REAL"
achenkateñets,a'chenkateñ,"V;NO3;FIN;REAL"
a'chenkateñets,chenkateñ,"V;NO3;FIN;REAL"
a'chenkateñets,na'chenkateñ,"V;NO1;FIN;REAL"
achenkateñets,na'chenkateñ,"V;NO1;FIN;REAL"
a'chenkateñets,pha'chenkateñ,"V;NO2;FIN;REAL"
achenkateñets,pha'chenkateñ,"V;NO2;FIN;REAL"
achenkateñets,sa'chenkateñ,"V;NO2P;FIN;REAL"
a'chenkateñets,sechenkateñ,"V;NO2P;FIN;REAL"
achenkateñets,ya'chenkateñ,"V;NO1P;FIN;REAL"
a'chenkateñets,yechenkateñ,"V;NO1P;FIN;REAL"
a'kesheñets,a'keshena,"V;NO3;FIN;REAL"
a'kesheñets,a'kesheñets,"V;NFIN"
a'kesheñets,a'keshenet,"V;NO3P;FIN;REAL"
a'kesheñets,na'keshena,"V;NO1;FIN;REAL"
a'kesheñets,pha'keshena,"V;NO2;FIN;REAL"
a'kesheñets,sa'keshena,"V;NO2P;FIN;REAL"
a'kesheñets,ya'keshena,"V;NO1P;FIN;REAL"
a'keshphateñets,a'keshphateñets,"V;NFIN"
akeshphateñets,akeshphateñets,"V;NFIN"
a'keshphateñets,keshpena,"V;NO2;FIN;REAL"
akeshphateñets,keshpena,"V;NO3;FIN;REAL"
a'keshphateñets,keshpenet,"V;NO2P;FIN;REAL"
akeshphateñets,kesshpenet,"V;NO3P;FIN;REAL"
akeshphateñets,nekeshpena,"V;NO1;FIN;REAL"
a'keshphateñets,pekeshpena,"V;NO1;FIN;REAL"
akeshphateñets,pekeshpena,"V;NO2;FIN;REAL"
a'keshphateñets,sekeshpena,"V;NO1P;FIN;REAL"
akeshphateñets,sekeshpena,"V;NO2P;FIN;REAL"
akeshphateñets,yekeshpena,"V;NO1P;FIN;REAL"
a'keshphateñets,yekeshpena,"V;NO3;FIN;REAL"
a'koshna'teñets,a'koshe'tenet,"V;NO3P;FIN;REAL"
a'koshna'teñets,a'koshe'ten,"V;NO3;FIN;REAL"
a'koshna'teñets,a'koshna'teñets,"V;NFIN"
a'koshna'teñets,nakoshe'ten,"V;NO1;FIN;REAL"
a'koshna'teñets,pha'koshe'ten,"V;NO2;FIN;REAL"
a'koshna'teñets,sa'koshe'ten,"V;NO2P;FIN;REAL"
a'koshna'teñets,ya'koshe'ten,"V;NO1P;FIN;REAL"
