lemma,form,paradigm_slot
ofersāwan,ofersāwan,V;NFIN
ofersāwan,ofersāwenne,V;NFIN
ofersāwan,ofersāwe,V;IND;SG;1;PRS
ofersāwan,ofersēow,V;IND;SG;1;PST
ofersāwan,ofersǣwst,V;IND;SG;2;PRS
ofersāwan,ofersēowe,V;IND;SG;2;PST
ofersāwan,ofersǣwþ,V;IND;SG;3;PRS
ofersāwan,ofersēow,V;IND;SG;3;PST
ofersāwan,ofersāwaþ,V;IND;PL;PRS
ofersāwan,ofersēowon,V;IND;PL;PST
ofersāwan,ofersāwe,V;SBJV;SG;PRS
ofersāwan,ofersēowe,V;SBJV;SG;PST
ofersāwan,ofersāwen,V;SBJV;PL;PRS
ofersāwan,ofersēowen,V;SBJV;PL;PST
ofersāwan,ofersāw,V;IMP;SG
ofersāwan,ofersāwaþ,V;IMP;PL
slītan,slītan,V;NFIN
slītan,slītenne,V;NFIN
slītan,slīte,V;IND;SG;1;PRS
slītan,slāt,V;IND;SG;1;PST
slītan,slītst,V;IND;SG;2;PRS
slītan,slite,V;IND;SG;2;PST
slītan,slītt,V;IND;SG;3;PRS
slītan,slīt,V;IND;SG;3;PRS
slītan,slāt,V;IND;SG;3;PST
slītan,slītaþ,V;IND;PL;PRS
slītan,sliton,V;IND;PL;PST
slītan,slīte,V;SBJV;SG;PRS
slītan,slite,V;SBJV;SG;PST
slītan,slīten,V;SBJV;PL;PRS
slītan,sliten,V;SBJV;PL;PST
slītan,slīt,V;IMP;SG
slītan,slītaþ,V;IMP;PL
wiþblāwan,wiþblāwan,V;NFIN
wiþblāwan,wiþblāwenne,V;NFIN
wiþblāwan,wiþblāwe,V;IND;SG;1;PRS
wiþblāwan,wiþblēow,V;IND;SG;1;PST
wiþblāwan,wiþblǣwst,V;IND;SG;2;PRS
wiþblāwan,wiþblēowe,V;IND;SG;2;PST
wiþblāwan,wiþblǣwþ,V;IND;SG;3;PRS
wiþblāwan,wiþblēow,V;IND;SG;3;PST
wiþblāwan,wiþblāwaþ,V;IND;PL;PRS
wiþblāwan,wiþblēowon,V;IND;PL;PST
wiþblāwan,wiþblāwe,V;SBJV;SG;PRS
wiþblāwan,wiþblēowe,V;SBJV;SG;PST
wiþblāwan,wiþblāwen,V;SBJV;PL;PRS
wiþblāwan,wiþblēowen,V;SBJV;PL;PST
wiþblāwan,wiþblāw,V;IMP;SG
wiþblāwan,wiþblāwaþ,V;IMP;PL
brecan,brecan,V;NFIN
brecan,brecenne,V;NFIN
