lemma,form,paradigm_slot,form_freq,lemma_freq
كان,اَكُون,"V;IPFV;SG;1
",0.0,0.004876875
كان,تِكُون,"V;IPFV;MASC;SG;2
",0.0,0.004876875
كان,تِكُون,"V;IPFV;FEM;SG;3
",0.0,0.004876875
كان,تِكُونُوا,"V;IPFV;MASC;PL;2
",0.0,0.004876875
كان,تِكُونِي,"V;IPFV;FEM;SG;2
",0.0,0.004876875
كان,كان,"V;PFV;MASC;SG;3
",0.07803,0.004876875
كان,كانُوا,"V;PFV;MASC;PL;3
",0.0,0.004876875
كان,كانِت,"V;PFV;FEM;SG;3
",0.0,0.004876875
كان,كُنت,"V;PFV;SG;1
",0.0,0.004876875
كان,كُنت,"V;PFV;MASC;SG;2
",0.0,0.004876875
كان,كُنتُوا,"V;PFV;MASC;PL;2
",0.0,0.004876875
كان,كُنتِي,"V;PFV;FEM;SG;2
",0.0,0.004876875
كان,كُنّا,"V;PFV;PL;1
",0.0,0.004876875
كان,نِكُون,"V;IPFV;PL;1
",0.0,0.004876875
كان,يِكُون,"V;IPFV;MASC;SG;3
",0.0,0.004876875
كان,يِكُونُوا,"V;IPFV;MASC;PL;3
",0.0,0.004876875
شاف,اَشُوف,"V;IPFV;SG;1
",0.0,1.7894736842105264e-05
شاف,تِشُوف,"V;IPFV;MASC;SG;2
",0.0,1.7894736842105264e-05
شاف,تِشُوف,"V;IPFV;FEM;SG;3
",0.0,1.7894736842105264e-05
شاف,تِشُوفُوا,"V;IPFV;MASC;PL;2
",0.0,1.7894736842105264e-05
شاف,تِشُوفِي,"V;IPFV;FEM;SG;2
",0.0,1.7894736842105264e-05
شاف,شاف,"V;PFV;MASC;SG;3
",0.00034,1.7894736842105264e-05
شاف,شافُوا,"V;PFV;MASC;PL;3
",0.0,1.7894736842105264e-05
شاف,شافِت,"V;PFV;FEM;SG;3
",0.0,1.7894736842105264e-05
شاف,شُفت,"V;PFV;SG;1
",0.0,1.7894736842105264e-05
شاف,شُفت,"V;PFV;MASC;SG;2
",0.0,1.7894736842105264e-05
شاف,شُفتُوا,"V;PFV;MASC;PL;2
",0.0,1.7894736842105264e-05
شاف,شُفتِي,"V;PFV;FEM;SG;2
",0.0,1.7894736842105264e-05
شاف,شُفنا,"V;PFV;PL;1
",0.0,1.7894736842105264e-05
شاف,شُوف,"V;MASC;IMP;SG;2
",0.0,1.7894736842105264e-05
شاف,شُوفُوا,"V;MASC;IMP;PL;2
",0.0,1.7894736842105264e-05
شاف,شُوفِي,"V;FEM;IMP;SG;2
",0.0,1.7894736842105264e-05
شاف,نِشُوف,"V;IPFV;PL;1
",0.0,1.7894736842105264e-05
شاف,يِشُوف,"V;IPFV;MASC;SG;3
",0.0,1.7894736842105264e-05
شاف,يِشُوفُوا,"V;IPFV;MASC;PL;3
",0.0,1.7894736842105264e-05
سِمِع,اَسْمَع,"V;IPFV;SG;1
",0.0,0.0
سِمِع,اِسْمَع,"V;MASC;IMP;SG;2
",0.0,0.0
سِمِع,اِسْمَعُوا,"V;MASC;IMP;PL;2
",0.0,0.0
سِمِع,اِسْمَعِي,"V;FEM;IMP;SG;2
",0.0,0.0
سِمِع,تِسْمَع,"V;IPFV;MASC;SG;2
",0.0,0.0
سِمِع,تِسْمَع,"V;IPFV;FEM;SG;3
",0.0,0.0
سِمِع,تِسْمَعُوا,"V;IPFV;MASC;PL;2
",0.0,0.0
سِمِع,تِسْمَعِي,"V;IPFV;FEM;SG;2
",0.0,0.0
سِمِع,سِمِع,"V;PFV;MASC;SG;3
",0.0,0.0
سِمِع,سِمِعت,"V;PFV;SG;1
",0.0,0.0
سِمِع,سِمِعت,"V;PFV;MASC;SG;2
",0.0,0.0
سِمِع,سِمِعتُوا,"V;PFV;MASC;PL;2
",0.0,0.0
سِمِع,سِمِعتِي,"V;PFV;FEM;SG;2
",0.0,0.0
سِمِع,سِمِعنا,"V;PFV;PL;1
",0.0,0.0
سِمِع,سِمْعُوا,"V;PFV;MASC;PL;3
",0.0,0.0
سِمِع,سِمْعِت,"V;PFV;FEM;SG;3
",0.0,0.0
سِمِع,نِسْمَع,"V;IPFV;PL;1
",0.0,0.0
سِمِع,يِسْمَع,"V;IPFV;MASC;SG;3
",0.0,0.0
سِمِع,يِسْمَعُوا,"V;IPFV;MASC;PL;3
",0.0,0.0
عَرَف,اَعْرَف,"V;IPFV;SG;1
",0.0,0.0
عَرَف,اِعْرَف,"V;MASC;IMP;SG;2
",0.0,0.0
عَرَف,اِعْرَفُوا,"V;MASC;IMP;PL;2
",0.0,0.0
عَرَف,اِعْرَفِي,"V;FEM;IMP;SG;2
",0.0,0.0
عَرَف,تِعْرَف,"V;IPFV;MASC;SG;2
",0.0,0.0
عَرَف,تِعْرَف,"V;IPFV;FEM;SG;3
",0.0,0.0
عَرَف,تِعْرَفُوا,"V;IPFV;MASC;PL;2
",0.0,0.0
عَرَف,تِعْرَفِي,"V;IPFV;FEM;SG;2
",0.0,0.0
عَرَف,عَرَف,"V;PFV;MASC;SG;3
",0.0,0.0
عَرَف,نِعْرَف,"V;IPFV;PL;1
",0.0,0.0
عَرَف,يِعْرَف,"V;IPFV;MASC;SG;3
",0.0,0.0
عَرَف,يِعْرَفُوا,"V;IPFV;MASC;PL;3
",0.0,0.0
اِحْتار,اِحْتار,"V;MASC;IMP;SG;2
",0.0,0.0
اِحْتار,اِحْتار,"V;PFV;MASC;SG;3
",0.0,0.0
سَأَل,اَسْأَل,"V;IPFV;SG;1
",0.0,0.0
سَأَل,اِسْأَلُ,"V;MASC;IMP;SG;2
",0.0,0.0
سَأَل,اِسْأَلُوا,"V;MASC;IMP;PL;2
",0.0,0.0
سَأَل,اِسْأَلِي,"V;FEM;IMP;SG;2
",0.0,0.0
سَأَل,تِسْأَل,"V;IPFV;MASC;SG;2
",0.0,0.0
سَأَل,تِسْأَل,"V;IPFV;FEM;SG;3
",0.0,0.0
سَأَل,تِسْأَلُوا,"V;IPFV;MASC;PL;2
",0.0,0.0
سَأَل,تِسْأَلِي,"V;IPFV;FEM;SG;2
",0.0,0.0
سَأَل,سَأَلت,"V;PFV;SG;1
",0.0,0.0
سَأَل,سَأَلت,"V;PFV;MASC;SG;2
",0.0,0.0
سَأَل,سَأَلتُوا,"V;PFV;MASC;PL;2
",0.0,0.0
سَأَل,سَأَلتِي,"V;PFV;FEM;SG;2
",0.0,0.0
سَأَل,سَأَلنا,"V;PFV;PL;1
",0.0,0.0
سَأَل,سَأَلُ,"V;PFV;MASC;SG;3
",0.0,0.0
سَأَل,سَأَلُوا,"V;PFV;MASC;PL;3
",0.0,0.0
سَأَل,سَأَلِت,"V;PFV;FEM;SG;3
",0.0,0.0
