lemma,form,paradigm_slot,form_freq,lemma_freq
ağlamaq,ağlayacağam,V;1;SG;FUT,0.0,1.0888888888888888e-05
ağlamaq,ağlayıram,V;1;SG;PRS;PROG,1.1e-05,1.0888888888888888e-05
ağlamaq,ağlayırsan,V;2;SG;PRS;PROG,7e-06,1.0888888888888888e-05
ağlamaq,ağlayacaqsan,V;2;SG;FUT,0.0,1.0888888888888888e-05
ağlamaq,ağlayacaq,V;3;SG;FUT,9e-06,1.0888888888888888e-05
ağlamaq,ağlayırlar,V;3;PL;PRS;PROG,6e-06,1.0888888888888888e-05
ağlamaq,ağlayacaqlar,V;3;PL;FUT,1e-06,1.0888888888888888e-05
ağlamaq,ağladılar,V;3;PL;PST,2e-06,1.0888888888888888e-05
ağlamaq,ağladı,V;3;SG;PST,4.5e-05,1.0888888888888888e-05
ağlamaq,ağladım,V;1;SG;PST,1.9e-05,1.0888888888888888e-05
ağlamaq,ağladın,V;2;SG;PST,0.0,1.0888888888888888e-05
ağlamaq,ağlayacağıq,V;1;PL;FUT,1e-06,1.0888888888888888e-05
ağlamaq,ağladıq,V;1;PL;PST,1e-06,1.0888888888888888e-05
ağlamaq,ağlayırıq,V;1;PL;PRS;PROG,2e-06,1.0888888888888888e-05
ağlamaq,ağlayır,V;3;SG;PRS;PROG,9.1e-05,1.0888888888888888e-05
ağlamaq,ağladınız,V;2;PL;PST,1e-06,1.0888888888888888e-05
ağlamaq,ağlayırsınız,V;2;PL;PRS;PROG,0.0,1.0888888888888888e-05
ağlamaq,ağlayacaqsınız,V;2;PL;FUT,0.0,1.0888888888888888e-05
gülmək,güldü,V;3;SG;PST,5.4e-05,1.738888888888889e-05
gülmək,güləcək,V;3;SG;FUT,1.3e-05,1.738888888888889e-05
gülmək,güləcəyəm,V;1;SG;FUT,0.0,1.738888888888889e-05
gülmək,gülürəm,V;1;SG;PRS;PROG,1e-05,1.738888888888889e-05
gülmək,gülürsən,V;2;SG;PRS;PROG,7e-06,1.738888888888889e-05
gülmək,güləcəksən,V;2;SG;FUT,1e-06,1.738888888888889e-05
gülmək,gülürlər,V;3;PL;PRS;PROG,1.9e-05,1.738888888888889e-05
gülmək,güləcəklər,V;3;PL;FUT,5e-06,1.738888888888889e-05
gülmək,güldülər,V;3;PL;PST,9e-06,1.738888888888889e-05
gülmək,güləcəyik,V;1;PL;FUT,1e-06,1.738888888888889e-05
gülmək,güləcəksiniz,V;2;PL;FUT,0.0,1.738888888888889e-05
gülmək,güldük,V;1;PL;PST,5e-06,1.738888888888889e-05
gülmək,gülürük,V;1;PL;PRS;PROG,8e-06,1.738888888888889e-05
gülmək,güldüm,V;1;SG;PST,2.2e-05,1.738888888888889e-05
gülmək,güldün,V;2;SG;PST,0.0,1.738888888888889e-05
gülmək,gülür,V;3;SG;PRS;PROG,0.000152,1.738888888888889e-05
gülmək,güldünüz,V;2;PL;PST,1e-06,1.738888888888889e-05
gülmək,gülürsünüz,V;2;PL;PRS;PROG,6e-06,1.738888888888889e-05
içmək,içdi,V;3;SG;PST,3.6e-05,1.2777777777777779e-05
içmək,içəcək,V;3;SG;FUT,1.1e-05,1.2777777777777779e-05
içmək,içəcəyəm,V;1;SG;FUT,0.0,1.2777777777777779e-05
içmək,içirəm,V;1;SG;PRS;PROG,2.7e-05,1.2777777777777779e-05
içmək,içirsən,V;2;SG;PRS;PROG,5e-06,1.2777777777777779e-05
içmək,içəcəksən,V;2;SG;FUT,1e-06,1.2777777777777779e-05
içmək,içirlər,V;3;PL;PRS;PROG,3e-05,1.2777777777777779e-05
içmək,içəcəklər,V;3;PL;FUT,1e-06,1.2777777777777779e-05
içmək,içdilər,V;3;PL;PST,9e-06,1.2777777777777779e-05
içmək,içəcəyik,V;1;PL;FUT,1e-06,1.2777777777777779e-05
içmək,içdik,V;1;PL;PST,1.3e-05,1.2777777777777779e-05
içmək,içirik,V;1;PL;PRS;PROG,1e-05,1.2777777777777779e-05
içmək,içdim,V;1;SG;PST,9e-06,1.2777777777777779e-05
içmək,içdin,V;2;SG;PST,2e-06,1.2777777777777779e-05
içmək,içir,V;3;SG;PRS;PROG,7.3e-05,1.2777777777777779e-05
içmək,içdiniz,V;2;PL;PST,0.0,1.2777777777777779e-05
içmək,içirsiniz,V;2;PL;PRS;PROG,1e-06,1.2777777777777779e-05
içmək,içəcəksiniz,V;2;PL;FUT,1e-06,1.2777777777777779e-05
oturmaq,oturacağam,V;1;SG;FUT,2e-06,2.1166666666666665e-05
oturmaq,otururam,V;1;SG;PRS;PROG,1.2e-05,2.1166666666666665e-05
oturmaq,oturursan,V;2;SG;PRS;PROG,9e-06,2.1166666666666665e-05
oturmaq,oturacaqsan,V;2;SG;FUT,1e-06,2.1166666666666665e-05
oturmaq,oturacaq,V;3;SG;FUT,5.1e-05,2.1166666666666665e-05
