lemma,form,paradigm_slot,form_freq,lemma_freq
аб'явіць,аб'яві́це,V;IMP;2;PL,0.0,0.0
аб'явіць,аб'яві́лі,V;PST;PL,0.0,0.0
аб'явіць,аб'яві́,V;IMP;2;SG,0.0,0.0
аб'явіць,аб'я́вім,V;FUT;1;PL,0.0,0.0
аб'явіць,аб'яві́ла,V;PST;SG;FEM,0.0,0.0
аб'явіць,аб'яві́ла,V;PST;SG;NEUT,0.0,0.0
аб'явіць,аб'я́віце,V;FUT;2;PL,0.0,0.0
аб'явіць,аб'яві́ў,V;PST;SG;MASC,0.0,0.0
аб'явіць,аб'я́віш,V;FUT;2;SG,0.0,0.0
аб'явіць,аб'я́вяць,V;FUT;3;PL,0.0,0.0
аб'явіць,аб'яўлю́,V;FUT;1;SG,0.0,0.0
аб'явіць,аб'я́віць,V;FUT;3;SG,0.0,0.0
аб'яўляць,аб’яўля́йце,V;IMP;2;PL,0.0,0.0
аб'яўляць,аб’яўля́лі,V;PST;PL,0.0,0.0
аб'яўляць,аб’яўля́й,V;IMP;2;SG,0.0,0.0
аб'яўляць,бу́дзем аб’яўля́ць,V;FUT;1;PL,0.0,0.0
аб'яўляць,аб’яўля́е,V;PRS;3;SG,0.0,0.0
аб'яўляць,аб’яўля́ем,V;PRS;1;PL,0.0,0.0
аб'яўляць,аб’яўля́еш,V;PRS;2;SG,0.0,0.0
аб'яўляць,аб’яўля́ла,V;PST;SG;FEM,0.0,0.0
аб'яўляць,аб’яўля́ла,V;PST;SG;NEUT,0.0,0.0
аб'яўляць,бу́дзеце аб’яўля́ць,V;FUT;2;PL,0.0,0.0
аб'яўляць,аб’яўля́ў,V;PST;SG;MASC,0.0,0.0
аб'яўляць,бу́дзеш аб’яўля́ць,V;FUT;2;SG,0.0,0.0
аб'яўляць,аб’яўля́юць,V;PRS;3;PL,0.0,0.0
аб'яўляць,аб’яўля́ю,V;PRS;1;SG,0.0,0.0
аб'яўляць,бу́дуць аб’яўля́ць,V;FUT;3;PL,0.0,0.0
аб'яўляць,бу́ду аб’яўля́ць,V;FUT;1;SG,0.0,0.0
аб'яўляць,бу́дзе аб’яўля́ць,V;FUT;3;SG,0.0,0.0
аб'яўляць,аб’яўля́еце,V;PRS;2;PL,0.0,0.0
абараняць,абараня́йце,V;IMP;2;PL,0.0,0.0
абараняць,абараня́лі,V;PST;PL,0.0,0.0
абараняць,абараня́й,V;IMP;2;SG,0.0,0.0
абараняць,бу́дзем абараня́ць,V;FUT;1;PL,0.0,0.0
абараняць,абараня́е,V;PRS;3;SG,0.0,0.0
абараняць,абараня́ем,V;PRS;1;PL,0.0,0.0
абараняць,абараня́еш,V;PRS;2;SG,0.0,0.0
абараняць,абараня́ла,V;PST;SG;FEM,0.0,0.0
абараняць,абараня́ла,V;PST;SG;NEUT,0.0,0.0
абараняць,бу́дзеце абараня́ць,V;FUT;2;PL,0.0,0.0
абараняць,абараня́ў,V;PST;SG;MASC,0.0,0.0
абараняць,бу́дзеш абараня́ць,V;FUT;2;SG,0.0,0.0
абараняць,абараня́юць,V;PRS;3;PL,0.0,0.0
абараняць,абараня́ю,V;PRS;1;SG,0.0,0.0
абараняць,бу́дуць абараня́ць,V;FUT;3;PL,0.0,0.0
абараняць,бу́ду абараня́ць,V;FUT;1;SG,0.0,0.0
абараняць,бу́дзе абараня́ць,V;FUT;3;SG,0.0,0.0
абараняць,абараня́еце,V;PRS;2;PL,0.0,0.0
абараніць,абарані́це,V;IMP;2;PL,0.0,0.0
абараніць,абарані́лі,V;PST;PL,0.0,0.0
абараніць,абарані́,V;IMP;2;SG,0.0,0.0
абараніць,абаро́нім,V;FUT;1;PL,0.0,0.0
абараніць,абарані́ла,V;PST;SG;FEM,0.0,0.0
абараніць,абарані́ла,V;PST;SG;NEUT,0.0,0.0
абараніць,абаро́ніце,V;FUT;2;PL,0.0,0.0
абараніць,абарані́ў,V;PST;SG;MASC,0.0,0.0
абараніць,абаро́ніш,V;FUT;2;SG,0.0,0.0
абараніць,абаро́няць,V;FUT;3;PL,0.0,0.0
абараніць,абараню́,V;FUT;1;SG,0.0,0.0
абараніць,абаро́ніць,V;FUT;3;SG,0.0,0.0
абарачацца,абарача́йся,V;IMP;2;SG,0.0,0.0
абарачацца,абарача́лася,V;PST;SG;NEUT,0.0,0.0
абарачацца,абарача́йцеся,V;IMP;2;PL,0.0,0.0
абарачацца,бу́дзе абарача́цца,V;FUT;3;SG,0.0,0.0
абарачацца,абарача́ліся,V;PST;PL,0.0,0.0
абарачацца,абарача́ешся,V;PRS;2;SG,0.0,0.0
абарачацца,абарача́ецца,V;PRS;3;SG,0.0,0.0
абарачацца,абарача́юся,V;PRS;1;SG,0.0,0.0
абарачацца,абарача́юцца,V;PRS;3;PL,0.0,0.0
абарачацца,абарача́ўся,V;PST;SG;MASC,0.0,0.0
абарачацца,абарача́лася,V;PST;SG;FEM,0.0,0.0
абарачацца,бу́дзем абарача́цца,V;FUT;1;PL,0.0,0.0
абарачацца,бу́ду абарача́цца,V;FUT;1;SG,0.0,0.0
абарачацца,абарача́ецеся,V;PRS;2;PL,0.0,0.0
абарачацца,бу́дзеце абарача́цца,V;FUT;2;PL,0.0,0.0
абарачацца,бу́дуць абарача́цца,V;FUT;3;PL,0.0,0.0
абарачацца,бу́дзеш абарача́цца,V;FUT;2;SG,0.0,0.0
абарачацца,абарача́емся,V;PRS;1;PL,0.0,0.0
абвозіць,абво́зьце,V;IMP;2;PL,0.0,0.0
абвозіць,абво́зі́лі,V;PST;PL,0.0,0.0
