lemma,form,paradigm_slot,form_freq,lemma_freq
অনুবাদ করা,অনুবাদ করলো,V;2;PST;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করেছি,V;1;PRS;PRF,0.0,0.0
অনুবাদ করা,অনুবাদ করছিলো,V;2;PST;PROG;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করছিস,V;2;PRS;PROG;LGSPEC1,0.0,0.0
অনুবাদ করা,অনুবাদ করলে,V;3;PST;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করতেকরতে,V;V.PTCP;PROG,0.0,0.0
অনুবাদ করা,অনুবাদ করলেন,V;3;PST;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করেছেন,V;3;PRS;PRF;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করবে,V;3;FUT;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করলি,V;2;PST;LGSPEC1,0.0,0.0
অনুবাদ করা,অনুবাদ করেকরে,V;V.PTCP;HAB,0.0,0.0
অনুবাদ করা,অনুবাদ করেছিলেন,V;3;PST;PRF;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করো,V;3;PRS;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করেছিস,V;2;PRS;PRF;LGSPEC1,0.0,0.0
অনুবাদ করা,অনুবাদ করছিলেন,V;3;PST;PROG;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করছেন,V;3;PRS;PROG;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করতে,V;3;PST;HAB;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করবি,V;2;FUT;LGSPEC1,0.0,0.0
অনুবাদ করা,অনুবাদ করছিলাম,V;1;PST;PROG,0.0,0.0
অনুবাদ করা,অনুবাদ করছি,V;1;PRS;PROG,0.0,0.0
অনুবাদ করা,অনুবাদ করেছিলো,V;2;PST;PRF;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করে,V;V.PTCP;PRF,0.0,0.0
অনুবাদ করা,অনুবাদ করতে,V;V.NFIN,0.0,0.0
অনুবাদ করা,অনুবাদ করেছো,V;3;PRS;PRF;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করবেন,V;3;FUT;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করছে,V;2;PRS;PROG;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করে,V;2;PRS;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করতো,V;2;PST;HAB;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করেছিলে,V;3;PST;PRF;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করবো,V;1;FUT,0.0,0.0
অনুবাদ করা,অনুবাদ করতিস,V;2;PST;HAB;LGSPEC1,0.0,0.0
অনুবাদ করা,অনুবাদ করি,V;1;PRS,0.0,0.0
অনুবাদ করা,অনুবাদ করছিলি,V;2;PST;PROG;LGSPEC1,0.0,0.0
অনুবাদ করা,অনুবাদ করবে,V;2;FUT;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করা,V;V.MSDR,0.0,0.0
অনুবাদ করা,অনুবাদ করলাম,V;1;PST,0.0,0.0
অনুবাদ করা,অনুবাদ করেন,V;3;PRS;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করতেন,V;3;PST;HAB;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করেছিলি,V;2;PST;PRF;LGSPEC1,0.0,0.0
অনুবাদ করা,অনুবাদ করলে,V;V.PTCP;COND,0.0,0.0
অনুবাদ করা,অনুবাদ করছো,V;3;PRS;PROG;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করতাম,V;1;PST;HAB,0.0,0.0
অনুবাদ করা,অনুবাদ করেছে,V;2;PRS;PRF;POL,0.0,0.0
অনুবাদ করা,অনুবাদ করছিলে,V;3;PST;PROG;INFM,0.0,0.0
অনুবাদ করা,অনুবাদ করেছিলাম,V;1;PST;PRF,0.0,0.0
অনুবাদ করা,অনুবাদ করিস,V;2;PRS;LGSPEC1,0.0,0.0
অনুভব করা,অনুভব করলো,V;2;PST;POL,0.0,0.0
অনুভব করা,অনুভব করেছি,V;1;PRS;PRF,0.0,0.0
