lemma,form,paradigm_slot
अखर,अखरती,"V;PFV;MASC;SG;PST"
अर्रा,अर्राई,"V;PFV;FEM;SG;INFM;PST"
अंदाज,अंदाजौ,"V;MASC;SG"
आ,आ,"V;PFV;MASC;SG;INFM;PRS"
आ,आइकैं,"V;PFV;MASC;SG;FORM;PRS;LGSPEC1"
आ,आइबौ,"V;PFV;SG;INFM;PRS"
आ,आई,"V;3;PFV;FEM;SG;INFM;PST"
आ,आए,"V;3;PFV;MASC;PL;FORM;PST"
आ,आओ,"V;PROG;SG;INFM;PST"
आ,आऔ,"V;PROG;SG;FORM;PRS"
आ,आती,"V;PFV;FEM;SG;INFM;PST"
आ,आय,"V;PFV;MASC;SG;PST"
आ,आयकैं,"V;PFV;MASC;SG;FORM;PRS;LGSPEC2"
आ,आयबे,"V;PROG;MASC;PL;PRS"
आ,आयीं,"V;3;PFV;FEM;SG;FORM;PST"
आ,आयौ,"V;PROG;MASC;SG;INFM;PRS"
आ,आवै,"V;2;PROG;MASC;SG;INFM;PRS"
आ,आइंगे,"V;3;PROSP;MASC;SG;FORM;FUT"
आ,आऊँ,"V;1;PFV;MASC;SG;PRS"
आकर्षित,आकर्षित,"V;PROG;FEM;SG;PRS"
आयोजन,आयोजन,"V;SG"
आश्रित,आश्रित,"V;SG"
आसीन,आसीन,"V;PL"
उग्रता,उग्रता,"V;SG"
उछरि,उछरिबे,"V;PROG;MASC;PL;PRS"
उठ,उठबे,"V;HAB;MASC;PL;PRS"
उठ,उठाकें,"V;HAB;MASC;SG;FORM;PRS"
उठ,उठाय,"V;HAB;FEM;SG;PRS"
उठ,उठी,"V;HAB;FEM;SG;PST"
उठ,उठे,"V;HAB;MASC;SG;FORM;PST"
उठत,उठितेई,"V;HAB;MASC;PL;PST"
उड़,उड़ामिंगे,"V;PROSP;MASC;PL;FORM;FUT"
उड़,उड़ाबे,"V;PROG;MASC;PL;PRS"
उडेर,उडेर,"V;MASC;SG"
उतर,उतरैं,"V;PROG;FEM;PL;FORM;PRS"
उतर,उतार,"V;MASC;SG;PRS"
उतर,उतारी,"V;PFV;FEM;SG;INFM;PST"
उतर,उतरे,"V;PFV;MASC;PL;FORM;PST"
उभर,उभरन,"V;PROG;MASC;SG;PRS"
उलझ,उलझत,"V;MASC;SG"
उलट,उलटते,"V;PFV;MASC;PL;FORM;PST"
कर,कर,"V;PROG;MASC;SG;PRS;LGSPEC1"
कर,करि,"V;PROG;MASC;SG;PRS;LGSPEC2"
कर,कै,"V;PROG;MASC;SG;PRS;LGSPEC3"
कर,कें,"V;PROG;MASC;SG;PRS;LGSPEC4"
कर,कैं,"V;PROG;MASC;SG;PRS;LGSPEC5"
कर,करकें,"V;PFV;SG;FORM;PST;LGSPEC1"
कर,करकै,"V;PFV;SG;INFM;PST;LGSPEC1"
कर,करते,"V;3;PFV;MASC;FORM;PST"
कर,करतौ,"V;PROSP;MASC;SG;INFM;FUT"
कर,करनी,"V;PROG;FEM;SG;PRS "
कर,करबे,"V;PROG;MASC;SG;FORM;PRS;LGSPEC1"
कर,करया,"V;2;PROG;MASC;SG;INFM;PRS"
कर,करवाये,"V;PFV;MASC;PL;FORM;PST"
कर,करानी,"V;PFV;FEM;SG;FORM;PST"
कर,कराय,"V;MASC;SG;PRS"
कर,करायौ,"V;PFV;MASC;SG;PST"
कर,करिकें,"V;PFV;SG;FORM;PST;LGSPEC2"
कर,करिकै,"V;PFV;SG;INFM;PST;LGSPEC2"
कर,करिबे,"V;PROG;MASC;SG;FORM;PRS;LGSPEC2"
कर,करिबौ,"V;HAB;MASC;SG;INFM;PRS"
कर,करिंगे,"V;PROSP;MASC;SG;FORM;FUT"
कर,करी,"V;PFV;FEM;SG;INFM;PST"
कर,करे,"V;PFV;MASC;PL;PST"
कर,करें,"V;PROG;MASC;PL;FORM;PRS"
कर,करै,"V;PROG;MASC;SG;INFM;PRS"
कर,करौ,"V;3;PROG;MASC;SG;FORM;PRS"
कर,कियौ,"V;PFV;MASC;SG;PRS"
कराह,कराहतौ,"V;PROG;MASC;SG;PRS"
कह,कह,"V;HAB;MASC;SG;PRS;LGSPEC1"
कह,कहकै,"V;HAB;MASC;SG;INFM;PST"
कह,कहती,"V;HAB;FEM;SG;INFM;PRS"
कह,कहते,"V;HAB;MASC;PL;FORM;PST"
कह,कहनी,"V;HAB;FEM;SG;PST"
कह,कहनौ,"V;HAB;MASC;SG;INFM;PRS"
कह,कहबे,"V;HAB;MASC;PL;FORM;PRS;LGSPEC1"
कह,कहि,"V;HAB;MASC;SG;PRS;LGSPEC2"
कह,कहिबे,"V;HAB;MASC;PL;FORM;PRS;LGSPEC2"
कह,कही,"V;HAB;FEM;SG;INFM;PST"
कह,कहीं,"V;HAB;FEM;PL;FORM;PST"
कह,कहै,"V;2;HAB;SG;INFM;PRS"
कह,कहैं,"V;2;HAB;MASC;SG;FORM;PRS"
कह,कहयौ,"V;HAB;MASC;SG;PST;LGSEPC1"
कह,कह्यौ,"V;HAB;MASC;SG;PST;LGSEPC2"
काटछांट,काटछांट,"V;MASC;SG"
काम,काम,"V;MASC;SG"
का,कीनी,"V;PROG;FEM;SG;PRS"
