lemma,form,paradigm_slot
агтак,гэнагтоԓен,V;INV;PST;PFV;SG;3
айкоԓятԓьын,айкоԓятԓьын,V;SG;ABS
амыԓӄыкваԓьын,амыԓӄыкваԓьын,V;SG;ABS
гитэк,мытрэгитэӈын,V;IND;FUT;ARGER1P;ARGAB3S    
гитэк,тыгитэгъэн,V;IND;PRS;ARGER1S;ARGAB3S 
гитэк,тыгитэнэт,V;IND;PST;PFV;ARGER1S;ARGAB3P
гыръоӈавыръэнутэт,гыръоӈавыръэнутэт,V;PL;ABS
ивкэ,ивкэ,V;OPT
ивык,ивнин,V;IND;PST;ARGER3S;ARBEB1S
ивык,ивнинэт,V;IND;PST;ARGER3S;ARBEB1P
итык,итык,V;NFIN
итык,титгъэк,V;IND;PST;PFV;1;SG
йъок,мытйъогъан,V;IND;PST;PFV;ARGER1P;ARBAB1S
йъок,мытрайъоӈын,V;IND;FUT;ARGER1P;ARBAB3S
йъок,йъонэн,V;IND;PST;PFV;ARGER3S;ARBAB3S
йыток,йытонэн,V;IND;PST;PFV;ARGER3S;ARBAB3S
йыԓӄэтык,тыйыԓӄэтгъэк,V;IND;PST;PFV;SG;1
каӈэтваԓьын,каӈэтваԓьын,V;SG;ABS
каԓеткогыргын,каԓеткогыргын,V;SG;ABS;ITER
каԓеткоран,каԓеткорак,V;ESS;ITER
каԓеткоран,каԓеткорагты,V;DAT;ITER
кэԓиныгйивэтыԓьын,кэԓиныгйивэтыԓьын,V;SG;ABS
маравчетык,гамаравԓенат,V;IND;PST;PFV;3;PL
мытнэрэтъэн,мытнэрэтъэн,V;IND;PFV;PST;PL;3
паак,гапаайгым,V;IND;PST;PFV;SG;1
панрэватык,гапанрэватԓен,V;IND;PST;PFV;SG;3
пинтыӄэтык,гэпинтыӄэтԓин,V;IND;PST;PFV;SG;3
пэԓятык,нымачпэԓятъан,V;IND;PRS;PFV;SG;3
раԓек,мыраԓегъак,V;SBJV;PFV;1;SG
раԓечетык,мыраԓечетгъак,V;SBJV;PFV;1;SG
ривԓык,мынривԓынэт,V;SBJV;ARGER1P;ARGAB3S 
ринтык,тынинтыгъэн,V;IND;PST;PFV;ARGER1S;ARBAB3S
руԓтык,гэнруԓтэтԓин,V;IND;PST;PFV;SG;3
ръыԓик,мынъыԓигъэн,V;SBJV;PFV;ARGER1S;ARGAB3S 
рывык,гэнвыԓин,V;IND;PFV;SG;3
рывэтгавык,нынвэтгаваннэн,V;IND;PRS;ARGER3S;ARGAB3S  
рыпыткынтэвык,гэнпыткынтэвԓин,V;IND;PST;PFV;SG;3
рырынгиивык,мытынрынгиивын,V;IND;PST;PFV;ARGER1P;ARGAB3S  
рытриԓык,рытриԓнин,V;IND;PST;PFV;ARGER3S;ARGAB3S  
рытчык,мытытчыгъэн,V;IND;PST;PFV;ARGER1P;ARGAB3S
рытымӈэвык,мытынтымӈэвын,V;IND;PST;ARGER3S;ARGAB3S 
рэмкичик,гэрэмкичиԓин,V;IND;PST;PFV;SG;3
тараӈык,гаԓгэтаранԓен,V;IND;PST;PFV;SG;3
тивык,тивыркынин,V;IND;PRS;IPFV;ARGER3S;ARGAB3S 
тэйкык,гэтэйкыԓин,V;PFV;PST;SG;3
тэйкык,мытэйкыгъэн,V;SBJV;ARGER1S;ARGAB3S
тэйкык,тэйкынин,V;IND;PST;ARGER3S;ARGAB3S
тэнкэвӈык,ӄытэнкэвӈыгын,V;SBJV;ARGER2S;ARGAB3S
тэнӈыткук,гэтэнӈыткуԓин,V;IND;PFV;ITER;SG;3
тэнӈыткук,нытэнӈыткуӄин,V;STAT;ITER;SG;3
тэԓпык,гэтэԓпыԓин,V;IND;PST;PFV;SG;3
чичевык,мычичевнэт,V;ARGER1S;ARGAB3P
ывинтык,гывинтэтигыт,V;IND;PST;PFV;SG;2
эймэвык,гэймэвԓин,V;IND;PST;PFV;SG;3
эйпык,нэйпыгъэн,V;IND;PFV;PST;ARGER3P;ARGAB3S
эквэтык,гэквэтԓин,V;PFV
энаръэк,энаръэнэнат,V;IND;PFV;PST;ARGER3S;ARGAB3P
энаръэк,энаръэнат,V;IND;PFV;PST;ARGER3S;ARGAB3P    
ёпатык,тъёпатын,V;IND;PFV;PST;ARGER1S;ARGAB3S
ӄырирык,тыԓӄырэрыӈӈонат,V;IND;ARGER1S;ARGAB3P
ӄытык,мыԓӄытык,V;SBJV;1;SG
ӄытык,гэԓӄытԓин,V;IND;PST;PFV;SG;3
ԓьук,гэԓьуԓин,V;IND;PFV;SG;3
ԓьук,тыԓьунэт,V;IND;PRF;ARGER1S;ARGAB3P           
ԓьук,ԓьунин,V;IND;ARGER3S;ARGAB3S                           
ԓьук,тыԓьугъэн,V;IND;PRF;ARGER1S;ARGAB3S
ԓьук,нэԓьунэт,V;IND;PST;ARGER3P;ARGAB3P   
ԓьук,мытԓьунэт,V;IND;PST;ARGER1P;ARGAB3P      
