lemma,form,paradigm_slot
gizlemek,gizley,V;PRS;3;SG
gizlemek,gizle,V;IMP;2;SG
gizlemek,gizlegen,V;V.PTCP
gizlemek,gizlemek,V;NFIN
gizlemek,gizledi,V;PST;3;SG
iytemek,iytey,V;PRS;3;SG
iytemek,iyte,V;IMP;2;SG
iytemek,iytegen,V;V.PTCP
iytemek,iytemek,V;NFIN
iytemek,iytedi,V;PST;3;SG
kirişmek,kirişe,V;PRS;3;SG
kirişmek,kiriş,V;IMP;2;SG
kirişmek,kirişken,V;V.PTCP
kirişmek,kirişmek,V;NFIN
kirişmek,kirişti,V;PST;3;SG
alşaymaq,alşaymaq,V;NFIN
alşaymaq,alşaya,V;PRS;3;SG
alşaymaq,alşaydı,V;PST;3;SG
alşaymaq,alşayğan,V;V.PTCP
alşaymaq,alşay,V;IMP;2;SG
muqayt olmaq,muqayt olmaq,V;NFIN
muqayt olmaq,muqayt ola,V;PRS;3;SG
muqayt olmaq,muqayt oldı,V;PST;3;SG
muqayt olmaq,muqayt olğan,V;V.PTCP
muqayt olmaq,muqayt ol,V;IMP;2;SG
onğarmaq,onğarmaq,V;NFIN
onğarmaq,onğara,V;PRS;3;SG
onğarmaq,onğardı,V;PST;3;SG
onğarmaq,onğarğan,V;V.PTCP
onğarmaq,onğar,V;IMP;2;SG
qabınmaq,qabınmaq,V;NFIN
qabınmaq,qabına,V;PRS;3;SG
qabınmaq,qabındı,V;PST;3;SG
qabınmaq,qabınğan,V;V.PTCP
qabınmaq,qabın,V;IMP;2;SG
qapatmaq,qapata,V;PRS;3;SG
qapatmaq,qapat,V;IMP;2;SG
qapatmaq,qapatqan,V;V.PTCP
qapatmaq,qapatmaq,V;NFIN
qapatmaq,qapatdı,V;PST;3;SG
qaramaq,qaray,V;PRS;3;SG
qaramaq,qara,V;IMP;2;SG
qaramaq,qarağan,V;V.PTCP
qaramaq,qaramaq,V;NFIN
qaramaq,qaradı,V;PST;3;SG
qartaymaq,qartaymaq,V;NFIN
qartaymaq,qartaya,V;PRS;3;SG
qartaymaq,qartaydı,V;PST;3;SG
qartaymaq,qartayğan,V;V.PTCP
qartaymaq,qartay,V;IMP;2;SG
saylamaq,saylay,V;PRS;3;SG
saylamaq,sayla,V;IMP;2;SG
saylamaq,saylağan,V;V.PTCP
saylamaq,saylamaq,V;NFIN
saylamaq,sayladı,V;PST;3;SG
sağınmaq,sağınmaq,V;NFIN
sağınmaq,sağına,V;PRS;3;SG
sağınmaq,sağındı,V;PST;3;SG
sağınmaq,sağınğan,V;V.PTCP
sağınmaq,sağın,V;IMP;2;SG
sebelemek,sebeley,V;PRS;3;SG
sebelemek,sebele,V;IMP;2;SG
sebelemek,sebelegen,V;V.PTCP
sebelemek,sebelemek,V;NFIN
sebelemek,sebeledi,V;PST;3;SG
sevmek,seve,V;PRS;3;SG
sevmek,sev,V;IMP;2;SG
sevmek,sevgen,V;V.PTCP
sevmek,sevmek,V;NFIN
sevmek,sevdi,V;PST;3;SG
süymek,süye,V;PRS;3;SG
süymek,süy,V;IMP;2;SG
süymek,süygen,V;V.PTCP
süymek,süymek,V;NFIN
süymek,süydi,V;PST;3;SG
tepmek,tepe,V;PRS;3;SG
tepmek,tep,V;IMP;2;SG
tepmek,tepken,V;V.PTCP
tepmek,tepmek,V;NFIN
tepmek,tepti,V;PST;3;SG
aruv bolmaq,aruv bolmaq,V;NFIN
aruv bolmaq,aruv bola,V;PRS;3;SG
aruv bolmaq,aruv boldı,V;PST;3;SG
aruv bolmaq,aruv bolğan,V;V.PTCP
aruv bolmaq,aruv bol,V;IMP;2;SG
toramaq,toray,V;PRS;3;SG
toramaq,tora,V;IMP;2;SG
toramaq,torağan,V;V.PTCP
toramaq,toramaq,V;NFIN
toramaq,toradı,V;PST;3;SG
uyalmaq,uyalmaq,V;NFIN
uyalmaq,uyala,V;PRS;3;SG
uyalmaq,uyaldı,V;PST;3;SG
uyalmaq,uyalğan,V;V.PTCP
uyalmaq,uyal,V;IMP;2;SG
vatmaq,vata,V;PRS;3;SG
vatmaq,vat,V;IMP;2;SG
vatmaq,vatqan,V;V.PTCP
vatmaq,vatmaq,V;NFIN
vatmaq,vatdı,V;PST;3;SG
yoqlamaq,yoqlay,V;PRS;3;SG
yoqlamaq,yoqla,V;IMP;2;SG
yoqlamaq,yoqlağan,V;V.PTCP
yoqlamaq,yoqlamaq,V;NFIN
yoqlamaq,yoqladı,V;PST;3;SG
öpmek,öpe,V;PRS;3;SG
öpmek,öp,V;IMP;2;SG
öpmek,öpken,V;V.PTCP
öpmek,öpmek,V;NFIN
öpmek,öpti,V;PST;3;SG
ıslamaq,ıslay,V;PRS;3;SG
ıslamaq,ısla,V;IMP;2;SG
ıslamaq,ıslağan,V;V.PTCP
ıslamaq,ıslamaq,V;NFIN
ıslamaq,ısladı,V;PST;3;SG
şeklemek,şekley,V;PRS;3;SG
şeklemek,şekle,V;IMP;2;SG
şeklemek,şeklegen,V;V.PTCP
şeklemek,şeklemek,V;NFIN
şeklemek,şekledi,V;PST;3;SG
şertmek,şerte,V;PRS;3;SG
şertmek,şert,V;IMP;2;SG
şertmek,şertken,V;V.PTCP
şertmek,şertmek,V;NFIN
şertmek,şertti,V;PST;3;SG
şeşmek,şeşe,V;PRS;3;SG
şeşmek,şeş,V;IMP;2;SG
şeşmek,şeşken,V;V.PTCP
şeşmek,şeşmek,V;NFIN
şeşmek,şeşti,V;PST;3;SG
avdarmaq,avdarmaq,V;NFIN
avdarmaq,avdara,V;PRS;3;SG
avdarmaq,avdardı,V;PST;3;SG
avdarmaq,avdarğan,V;V.PTCP
avdarmaq,avdar,V;IMP;2;SG
avurmaq,avurmaq,V;NFIN
avurmaq,avura,V;PRS;3;SG
avurmaq,avurdı,V;PST;3;SG
avurmaq,avurğan,V;V.PTCP
avurmaq,avur,V;IMP;2;SG
ağlamaq,ağlay,V;PRS;3;SG
ağlamaq,ağla,V;IMP;2;SG
ağlamaq,ağlağan,V;V.PTCP
ağlamaq,ağlamaq,V;NFIN
ağlamaq,ağladı,V;PST;3;SG
aşımaq,aşıy,V;PRS;3;SG
aşımaq,aşı,V;IMP;2;SG
aşımaq,aşığan,V;V.PTCP
aşımaq,aşımaq,V;NFIN
aşımaq,aşıdı,V;PST;3;SG
aşıtmaq,aşıta,V;PRS;3;SG
aşıtmaq,aşıt,V;IMP;2;SG
aşıtmaq,aşıtqan,V;V.PTCP
aşıtmaq,aşıtmaq,V;NFIN
aşıtmaq,aşıtdı,V;PST;3;SG
bavını tapmaq,bavını tapa,V;PRS;3;SG
bavını tapmaq,bavını tap,V;IMP;2;SG
bavını tapmaq,bavını tapqan,V;V.PTCP
bavını tapmaq,bavını tapmaq,V;NFIN
bavını tapmaq,bavını tapdı,V;PST;3;SG
begitmek,begite,V;PRS;3;SG
begitmek,begit,V;IMP;2;SG
begitmek,begitken,V;V.PTCP
begitmek,begitmek,V;NFIN
begitmek,begitti,V;PST;3;SG
bolmaq,bolmaq,V;NFIN
bolmaq,bola,V;PRS;3;SG
bolmaq,boldı,V;PST;3;SG
bolmaq,bolğan,V;V.PTCP
bolmaq,bol,V;IMP;2;SG
cabışmaq,cabışa,V;PRS;3;SG
cabışmaq,cabış,V;IMP;2;SG
cabışmaq,cabışqan,V;V.PTCP
cabışmaq,cabışmaq,V;NFIN
cabışmaq,cabışdı,V;PST;3;SG
calbarmaq,calbarmaq,V;NFIN
calbarmaq,calbara,V;PRS;3;SG
calbarmaq,calbardı,V;PST;3;SG
calbarmaq,calbarğan,V;V.PTCP
calbarmaq,calbar,V;IMP;2;SG
camanlamaq,camanlay,V;PRS;3;SG
camanlamaq,camanla,V;IMP;2;SG
camanlamaq,camanlağan,V;V.PTCP
camanlamaq,camanlamaq,V;NFIN
camanlamaq,camanladı,V;PST;3;SG
canmaq,canmaq,V;NFIN
canmaq,cana,V;PRS;3;SG
canmaq,candı,V;PST;3;SG
canmaq,canğan,V;V.PTCP
canmaq,can,V;IMP;2;SG
cantaymaq,cantaymaq,V;NFIN
cantaymaq,cantaya,V;PRS;3;SG
cantaymaq,cantaydı,V;PST;3;SG
cantaymaq,cantayğan,V;V.PTCP
cantaymaq,cantay,V;IMP;2;SG
capmaq,capa,V;PRS;3;SG
capmaq,cap,V;IMP;2;SG
capmaq,capqan,V;V.PTCP
capmaq,capmaq,V;NFIN
capmaq,capdı,V;PST;3;SG
catmaq,cata,V;PRS;3;SG
catmaq,cat,V;IMP;2;SG
catmaq,catqan,V;V.PTCP
catmaq,catmaq,V;NFIN
catmaq,catdı,V;PST;3;SG
cavmaq,cavmaq,V;NFIN
cavmaq,cava,V;PRS;3;SG
cavmaq,cavdı,V;PST;3;SG
cavmaq,cavğan,V;V.PTCP
cavmaq,cav,V;IMP;2;SG
caşırmaq,caşırmaq,V;NFIN
caşırmaq,caşıra,V;PRS;3;SG
caşırmaq,caşırdı,V;PST;3;SG
caşırmaq,caşırğan,V;V.PTCP
caşırmaq,caşır,V;IMP;2;SG
cibermek,cibere,V;PRS;3;SG
cibermek,ciber,V;IMP;2;SG
cibermek,cibergen,V;V.PTCP
cibermek,cibermek,V;NFIN
cibermek,ciberdi,V;PST;3;SG
ciyrenmek,ciyrene,V;PRS;3;SG
ciyrenmek,ciyren,V;IMP;2;SG
ciyrenmek,ciyrengen,V;V.PTCP
ciyrenmek,ciyrenmek,V;NFIN
ciyrenmek,ciyrendi,V;PST;3;SG
coqlamaq,coqlay,V;PRS;3;SG
coqlamaq,coqla,V;IMP;2;SG
coqlamaq,coqlağan,V;V.PTCP
coqlamaq,coqlamaq,V;NFIN
coqlamaq,coqladı,V;PST;3;SG
cuqmaq,cuqa,V;PRS;3;SG
cuqmaq,cuq,V;IMP;2;SG
cuqmaq,cuqqan,V;V.PTCP
cuqmaq,cuqmaq,V;NFIN
cuqmaq,cuqdı,V;PST;3;SG
cuvmaq,cuvmaq,V;NFIN
cuvmaq,cuva,V;PRS;3;SG
cuvmaq,cuvdı,V;PST;3;SG
cuvmaq,cuvğan,V;V.PTCP
cuvmaq,cuv,V;IMP;2;SG
cuvunmaq,cuvunmaq,V;NFIN
cuvunmaq,cuvuna,V;PRS;3;SG
cuvunmaq,cuvundı,V;PST;3;SG
cuvunmaq,cuvunğan,V;V.PTCP
cuvunmaq,cuvun,V;IMP;2;SG
cuvurmaq,cuvurmaq,V;NFIN
cuvurmaq,cuvura,V;PRS;3;SG
cuvurmaq,cuvurdı,V;PST;3;SG
cuvurmaq,cuvurğan,V;V.PTCP
cuvurmaq,cuvur,V;IMP;2;SG
cürmek,cüre,V;PRS;3;SG
cürmek,cür,V;IMP;2;SG
cürmek,cürgen,V;V.PTCP
cürmek,cürmek,V;NFIN
cürmek,cürdi,V;PST;3;SG
cılamaq,cılay,V;PRS;3;SG
cılamaq,cıla,V;IMP;2;SG
cılamaq,cılağan,V;V.PTCP
cılamaq,cılamaq,V;NFIN
cılamaq,cıladı,V;PST;3;SG
cıltıramaq,cıltıray,V;PRS;3;SG
cıltıramaq,cıltıra,V;IMP;2;SG
cıltıramaq,cıltırağan,V;V.PTCP
cıltıramaq,cıltıramaq,V;NFIN
cıltıramaq,cıltıradı,V;PST;3;SG
cılınmaq,cılınmaq,V;NFIN
cılınmaq,cılına,V;PRS;3;SG
cılınmaq,cılındı,V;PST;3;SG
cılınmaq,cılınğan,V;V.PTCP
cılınmaq,cılın,V;IMP;2;SG
cılıtmaq,cılıta,V;PRS;3;SG
cılıtmaq,cılıt,V;IMP;2;SG
cılıtmaq,cılıtqan,V;V.PTCP
cılıtmaq,cılıtmaq,V;NFIN
cılıtmaq,cılıtdı,V;PST;3;SG
cılışmaq,cılışa,V;PRS;3;SG
cılışmaq,cılış,V;IMP;2;SG
cılışmaq,cılışqan,V;V.PTCP
cılışmaq,cılışmaq,V;NFIN
cılışmaq,cılışdı,V;PST;3;SG
cımşamaq,cımşamaq,V;NFIN
cımşamaq,cımşaa,V;PRS;3;SG
cımşamaq,cımşadı,V;PST;3;SG
cımşamaq,cımşağan,V;V.PTCP
cımşamaq,cımşa,V;IMP;2;SG
cıqmaq,cıqa,V;PRS;3;SG
cıqmaq,cıq,V;IMP;2;SG
cıqmaq,cıqqan,V;V.PTCP
cıqmaq,cıqmaq,V;NFIN
cıqmaq,cıqdı,V;PST;3;SG
cırtmaq,cırta,V;PRS;3;SG
cırtmaq,cırt,V;IMP;2;SG
cırtmaq,cırtqan,V;V.PTCP
cırtmaq,cırtmaq,V;NFIN
cırtmaq,cırtdı,V;PST;3;SG
cıynamaq,cıynay,V;PRS;3;SG
cıynamaq,cıyna,V;IMP;2;SG
cıynamaq,cıynağan,V;V.PTCP
cıynamaq,cıynamaq,V;NFIN
cıynamaq,cıynadı,V;PST;3;SG
cığılmaq,cığılmaq,V;NFIN
cığılmaq,cığıla,V;PRS;3;SG
cığılmaq,cığıldı,V;PST;3;SG
cığılmaq,cığılğan,V;V.PTCP
cığılmaq,cığıl,V;IMP;2;SG
egeşmek,egeşe,V;PRS;3;SG
egeşmek,egeş,V;IMP;2;SG
egeşmek,egeşken,V;V.PTCP
