lemma,form,paradigm_slot,form_freq,lemma_freq
achosi,achosai fo,V;COL;3;SG;IND;IPFV,0.0,0.0
achosi,achosais i,V;COL;1;SG;IND;PST,0.0,0.0
achosi,achosaist ti,V;COL;2;SG;IND;PST,0.0,0.0
achosi,achosa i,V;COL;1;SG;IND;PRS,0.0,0.0
achosi,achosan nhw,V;COL;3;PL;IND;PRS,0.0,0.0
achosi,achosa,V;COL;2;SG;IMP,0.0,0.0
achosi,achosech chi,V;COL;2;PL;IND;IPFV,0.0,0.0
achosi,achosen nhw,V;COL;3;PL;IND;IPFV,0.0,0.0
achosi,achosen ni,V;COL;1;PL;IND;IPFV,0.0,0.0
achosi,achoset ti,V;COL;2;SG;IND;IPFV,0.0,0.0
achosi,achosi di,V;COL;2;SG;IND;PRS,0.0,0.0
achosi,achosith o,V;COL;3;SG;IND;PRS,0.0,0.0
achosi,achosoch chi,V;COL;2;PL;IND;PST,0.0,0.0
achosi,achosodd o,V;COL;3;SG;IND;PST,0.0,0.0
achosi,achoson nhw,V;COL;3;PL;IND;PST,0.0,0.0
achosi,achoson ni,V;COL;1;PL;IND;PST,0.0,0.0
achosi,achoswch chi,V;COL;2;PL;IND;PRS,0.0,0.0
achosi,achoswch,V;COL;2;PL;IMP,0.0,0.0
achosi,achoswn i,V;COL;1;SG;IND;IPFV,0.0,0.0
achosi,achoswn ni,V;COL;1;PL;IND;PRS,0.0,0.0
addo,addawaf,V;LIT;1;SG;IND;PRS,0.0,1.3492063492063494e-05
addo,addawai fo,V;COL;3;SG;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawais i,V;COL;1;SG;IND;PST,0.0,1.3492063492063494e-05
addo,addawaist ti,V;COL;2;SG;IND;PST,0.0,1.3492063492063494e-05
addo,addawa i,V;COL;1;SG;IND;PRS,0.0,1.3492063492063494e-05
addo,addawai,V;LIT;3;SG;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawan nhw,V;COL;3;PL;IND;PRS,0.0,1.3492063492063494e-05
addo,addawant,V;LIT;3;PL;IND;PRS,0.0,1.3492063492063494e-05
addo,addawa,V;COL;2;SG;IMP,0.0,1.3492063492063494e-05
addo,addawa,V;LIT;3;SG;IND;PRS,0.0,1.3492063492063494e-05
addo,addawch chi,V;COL;2;PL;IND;PRS,0.0,1.3492063492063494e-05
addo,addawch,V;COL;2;PL;IMP,0.0,1.3492063492063494e-05
addo,addawech chi,V;COL;2;PL;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawech,V;LIT;2;PL;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawedig,V;V.PTCP,0.0,1.3492063492063494e-05
addo,addawed,V;LIT;3;SG;IMP,0.0,1.3492063492063494e-05
addo,addawem,V;LIT;1;PL;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawen nhw,V;COL;3;PL;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawen ni,V;COL;1;PL;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawent,V;LIT;3;PL;IMP,0.0,1.3492063492063494e-05
addo,addawent,V;LIT;3;PL;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawer,V;LIT;4;IMP,0.0,1.3492063492063494e-05
addo,addawer,V;LIT;4;SBJV,0.0,1.3492063492063494e-05
addo,addawet ti,V;COL;2;SG;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawi di,V;COL;2;SG;IND;PRS,0.0,1.3492063492063494e-05
addo,addawith o,V;COL;3;SG;IND;PRS,0.0,1.3492063492063494e-05
addo,addawit,V;LIT;2;SG;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawn i,V;COL;1;SG;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawn ni,V;COL;1;PL;IND;PRS,0.0,1.3492063492063494e-05
addo,addawn,V;LIT;1;PL;IMP,0.0,1.3492063492063494e-05
addo,addawn,V;LIT;1;PL;IND;PRS,0.0,1.3492063492063494e-05
addo,addawn,V;LIT;1;SG;IND;IPFV,0.0,1.3492063492063494e-05
addo,addawoch chi,V;COL;2;PL;IND;PST,0.0,1.3492063492063494e-05
addo,addawoch,V;LIT;2;PL;SBJV,0.0,1.3492063492063494e-05
addo,addawodd o,V;COL;3;SG;IND;PST,0.0,1.3492063492063494e-05
addo,addawodd,V;LIT;3;SG;IND;PST,8e-05,1.3492063492063494e-05
addo,addawom,V;LIT;1;PL;SBJV,0.0,1.3492063492063494e-05
addo,addawon nhw,V;COL;3;PL;IND;PST,0.0,1.3492063492063494e-05
addo,addawon ni,V;COL;1;PL;IND;PST,0.0,1.3492063492063494e-05
addo,addawont,V;LIT;3;PL;SBJV,0.0,1.3492063492063494e-05
addo,addawo,V;LIT;3;SG;SBJV,0.0,1.3492063492063494e-05
addo,addawsai,V;LIT;3;SG;IND;PST;PFV,0.0,1.3492063492063494e-05
addo,addawsant,V;LIT;3;PL;IND;PST,0.0,1.3492063492063494e-05
addo,addawsech,V;LIT;2;PL;IND;PST;PFV,0.0,1.3492063492063494e-05
addo,addawsem,V;LIT;1;PL;IND;PST;PFV,0.0,1.3492063492063494e-05
addo,addawsent,V;LIT;3;PL;IND;PST;PFV,0.0,1.3492063492063494e-05
addo,addawsid,V;LIT;4;IND;PST;PFV,0.0,1.3492063492063494e-05
addo,addawsit,V;LIT;2;SG;IND;PST;PFV,0.0,1.3492063492063494e-05
addo,addawsoch,V;LIT;2;PL;IND;PST,0.0,1.3492063492063494e-05
addo,addawsom,V;LIT;1;PL;IND;PST,0.0,1.3492063492063494e-05
addo,addawswn,V;LIT;1;SG;IND;PST;PFV,0.0,1.3492063492063494e-05
addo,addaw,V;LIT;2;SG;IMP,0.0,1.3492063492063494e-05
addo,addawyd,V;LIT;4;IND;PST,5e-05,1.3492063492063494e-05
addo,addawyf,V;LIT;1;SG;SBJV,0.0,1.3492063492063494e-05
addo,addewaist,V;LIT;2;SG;IND;PST,0.0,1.3492063492063494e-05
addo,addewais,V;LIT;1;SG;IND;PST,0.0,1.3492063492063494e-05
addo,addewch,V;LIT;2;PL;IMP,0.0,1.3492063492063494e-05
addo,addewch,V;LIT;2;PL;IND;PRS,0.0,1.3492063492063494e-05
addo,addewech,V;LIT;2;SG;SBJV,0.0,1.3492063492063494e-05
addo,addewid,V;LIT;4;IND;IPFV,0.0003,1.3492063492063494e-05
addo,addewir,V;LIT;4;IND;PRS,0.0,1.3492063492063494e-05
addo,addewi,V;LIT;2;SG;IND;PRS,0.0,1.3492063492063494e-05
addo,addo,V;V.MSDR,0.00042,1.3492063492063494e-05
addysgu,addysgaf,V;LIT;1;SG;IND;PRS,0.0,1.9365079365079363e-05
addysgu,addysgai fo,V;COL;3;SG;IND;IPFV,0.0,1.9365079365079363e-05
addysgu,addysgais i,V;COL;1;SG;IND;PST,0.0,1.9365079365079363e-05
addysgu,addysgaist ti,V;COL;2;SG;IND;PST,0.0,1.9365079365079363e-05
addysgu,addysgaist,V;LIT;2;SG;IND;PST,0.0,1.9365079365079363e-05
addysgu,addysgais,V;LIT;1;SG;IND;PST,0.0,1.9365079365079363e-05
addysgu,addysga i,V;COL;1;SG;IND;PRS,0.0,1.9365079365079363e-05
