lemma,form,paradigm_slot,form_freq,lemma_freq
abdicere,abdiceredes,V;PASS;IND;PST,0.0,1.3333333333333332e-06
abdicere,abdicerede,V;ACT;IND;PST,6e-06,1.3333333333333332e-06
abdicere,abdicerer,V;ACT;IND;PRS,1e-06,1.3333333333333332e-06
abdicere,abdiceres,V;PASS;IND;PRS,0.0,1.3333333333333332e-06
abdicere,abdicere,V;ACT;NFIN,1e-06,1.3333333333333332e-06
abdicere,abdicer,V;ACT;IMP,0.0,1.3333333333333332e-06
accelerere,accelereredes,V;PASS;IND;PST,0.0,8.166666666666666e-06
accelerere,accelererede,V;ACT;IND;PST,9e-06,8.166666666666666e-06
accelerere,accelererer,V;ACT;IND;PRS,7e-06,8.166666666666666e-06
accelerere,accelereres,V;PASS;IND;PRS,6e-06,8.166666666666666e-06
accelerere,accelerere,V;ACT;NFIN,2.6e-05,8.166666666666666e-06
accelerere,accelerer,V;ACT;IMP,1e-06,8.166666666666666e-06
addere,adderedes,V;PASS;IND;PST,0.0,6.666666666666666e-07
addere,adderede,V;ACT;IND;PST,1e-06,6.666666666666666e-07
addere,adderer,V;ACT;IND;PRS,0.0,6.666666666666666e-07
addere,adderes,V;PASS;IND;PRS,1e-06,6.666666666666666e-07
addere,addere,V;ACT;NFIN,2e-06,6.666666666666666e-07
addere,adder,V;ACT;IMP,0.0,6.666666666666666e-07
ægte,ægtedes,V;PASS;IND;PST,0.0,0.0001488333333333333
ægte,ægtede,V;ACT;IND;PST,7e-06,0.0001488333333333333
ægte,ægter,V;ACT;IND;PRS,1.8e-05,0.0001488333333333333
ægte,ægtes,V;PASS;IND;PRS,0.0,0.0001488333333333333
ægte,ægte,V;ACT;NFIN,0.000865,0.0001488333333333333
ægte,ægt,V;ACT;IMP,3e-06,0.0001488333333333333
ælte,æltedes,V;PASS;IND;PST,0.0,1.716666666666667e-05
ælte,æltede,V;ACT;IND;PST,6e-06,1.716666666666667e-05
ælte,ælter,V;ACT;IND;PRS,1e-05,1.716666666666667e-05
ælte,æltes,V;PASS;IND;PRS,3.4e-05,1.716666666666667e-05
ælte,ælte,V;ACT;NFIN,2.5e-05,1.716666666666667e-05
ælte,ælt,V;ACT;IMP,2.8e-05,1.716666666666667e-05
ændre,ændredes,V;PASS;IND;PST,2.4e-05,0.0005498333333333333
ændre,ændrede,V;ACT;IND;PST,0.000411,0.0005498333333333333
ændre,ændrer,V;ACT;IND;PRS,0.000647,0.0005498333333333333
ændre,ændres,V;PASS;IND;PRS,0.000654,0.0005498333333333333
ændre,ændre,V;ACT;NFIN,0.001563,0.0005498333333333333
ændre,ændr,V;ACT;IMP,0.0,0.0005498333333333333
afsløre,afsløredes,V;PASS;IND;PST,2e-06,0.00010233333333333335
afsløre,afslørede,V;ACT;IND;PST,0.000104,0.00010233333333333335
afsløre,afslører,V;ACT;IND;PRS,0.000267,0.00010233333333333335
afsløre,afsløres,V;PASS;IND;PRS,5.9e-05,0.00010233333333333335
afsløre,afsløre,V;ACT;NFIN,0.000181,0.00010233333333333335
afsløre,afslør,V;ACT;IMP,1e-06,0.00010233333333333335
ankre,ankredes,V;PASS;IND;PST,0.0,3.1666666666666667e-06
ankre,ankrede,V;ACT;IND;PST,2e-06,3.1666666666666667e-06
ankre,ankrer,V;ACT;IND;PRS,1e-06,3.1666666666666667e-06
ankre,ankres,V;PASS;IND;PRS,0.0,3.1666666666666667e-06
ankre,ankre,V;ACT;NFIN,1.6e-05,3.1666666666666667e-06
ankre,ankr,V;ACT;IMP,0.0,3.1666666666666667e-06
annihilere,annihileredes,V;PASS;IND;PST,0.0,1.6666666666666665e-07
annihilere,annihilerede,V;ACT;IND;PST,0.0,1.6666666666666665e-07
annihilere,annihilerer,V;ACT;IND;PRS,1e-06,1.6666666666666665e-07
annihilere,annihileres,V;PASS;IND;PRS,0.0,1.6666666666666665e-07
annihilere,annihilere,V;ACT;NFIN,0.0,1.6666666666666665e-07
annihilere,annihiler,V;ACT;IMP,0.0,1.6666666666666665e-07
anonymisere,anonymiseredes,V;PASS;IND;PST,0.0,2.333333333333333e-06
anonymisere,anonymiserede,V;ACT;IND;PST,1.1e-05,2.333333333333333e-06
anonymisere,anonymiserer,V;ACT;IND;PRS,0.0,2.333333333333333e-06
anonymisere,anonymiseres,V;PASS;IND;PRS,3e-06,2.333333333333333e-06
anonymisere,anonymisere,V;ACT;NFIN,0.0,2.333333333333333e-06
anonymisere,anonymiser,V;ACT;IMP,0.0,2.333333333333333e-06
argumentere,argumenteredes,V;PASS;IND;PST,0.0,6.516666666666666e-05
argumentere,argumenterede,V;ACT;IND;PST,2e-05,6.516666666666666e-05
argumentere,argumenterer,V;ACT;IND;PRS,5.4e-05,6.516666666666666e-05
argumentere,argumenteres,V;PASS;IND;PRS,1.5e-05,6.516666666666666e-05
