lemma,form,paradigm_slot,form_freq,lemma_freq
běžaś,běžachmej,V;PST;1;DU,0.0,6.666666666666667e-05
běžaś,běžachmy,V;PST;1;PL,0.0,6.666666666666667e-05
běžaś,běžachu,V;PST;3;PL,0.0,6.666666666666667e-05
běžaś,běžach,V;PST;1;SG,0.0,6.666666666666667e-05
běžaś,běžašćo,V;PST;2;PL,0.0,6.666666666666667e-05
běžaś,běžašo,V;PST;2;SG,0.0,6.666666666666667e-05
běžaś,běžašo,V;PST;3;SG,0.0,6.666666666666667e-05
běžaś,běžaštej,V;PST;2;DU,0.0,6.666666666666667e-05
běžaś,běžaštej,V;PST;3;DU,0.0,6.666666666666667e-05
běžaś,běžćo,V;IMP;2;PL,0.0,6.666666666666667e-05
běžaś,běže,V;PRS;3;PL,0.0002,6.666666666666667e-05
běžaś,běžtej,V;IMP;2;DU,0.0,6.666666666666667e-05
běžaś,běž,V;IMP;2;SG,0.0,6.666666666666667e-05
běžaś,běžymej,V;PRS;1;DU,0.0,6.666666666666667e-05
běžaś,běžym,V;PRS;1;SG,0.0,6.666666666666667e-05
běžaś,běžymy,V;PRS;1;PL,0.0,6.666666666666667e-05
běžaś,běžyśo,V;PRS;2;PL,0.0,6.666666666666667e-05
běžaś,běžyš,V;PRS;2;SG,0.0,6.666666666666667e-05
běžaś,běžytej,V;PRS;2;DU,0.0,6.666666666666667e-05
běžaś,běžytej,V;PRS;3;DU,0.0,6.666666666666667e-05
běžaś,běžy,V;PRS;3;SG,0.0012,6.666666666666667e-05
biś,bijachmej,V;PST;1;DU,0.0,0.0
biś,bijachmy,V;PST;1;PL,0.0,0.0
biś,bijachu,V;PST;3;PL,0.0,0.0
biś,bijach,V;PST;1;SG,0.0,0.0
biś,bijašćo,V;PST;2;PL,0.0,0.0
biś,bijašo,V;PST;2;SG,0.0,0.0
biś,bijašo,V;PST;3;SG,0.0,0.0
biś,bijaštej,V;PST;2;DU,0.0,0.0
biś,bijaštej,V;PST;3;DU,0.0,0.0
biś,bijomej,V;PRS;1;DU,0.0,0.0
biś,bijomy,V;PRS;1;PL,0.0,0.0
biś,bijośo,V;PRS;2;PL,0.0,0.0
biś,bijoš,V;PRS;2;SG,0.0,0.0
biś,bijotej,V;PRS;2;DU,0.0,0.0
biś,bijotej,V;PRS;3;DU,0.0,0.0
biś,bijo,V;PRS;3;SG,0.0,0.0
biś,bijśo,V;IMP;2;PL,0.0,0.0
biś,bijtej,V;IMP;2;DU,0.0,0.0
biś,biju,V;PRS;1;SG,0.0,0.0
biś,biju,V;PRS;3;PL,0.0,0.0
biś,bij,V;IMP;2;SG,0.0,0.0
bluwaś,bluwachmej,V;PST;1;DU,0.0,0.0
bluwaś,bluwachmy,V;PST;1;PL,0.0,0.0
bluwaś,bluwachu,V;PST;3;PL,0.0,0.0
bluwaś,bluwach,V;PST;1;SG,0.0,0.0
bluwaś,bluwajśo,V;IMP;2;PL,0.0,0.0
bluwaś,bluwajtej,V;IMP;2;DU,0.0,0.0
bluwaś,bluwaju,V;PRS;3;PL,0.0,0.0
bluwaś,bluwaj,V;IMP;2;SG,0.0,0.0
bluwaś,bluwamej,V;PRS;1;DU,0.0,0.0
bluwaś,bluwam,V;PRS;1;SG,0.0,0.0
bluwaś,bluwamy,V;PRS;1;PL,0.0,0.0
bluwaś,bluwašćo,V;PST;2;PL,0.0,0.0
bluwaś,bluwaśo,V;PRS;2;PL,0.0,0.0
bluwaś,bluwašo,V;PST;2;SG,0.0,0.0
bluwaś,bluwašo,V;PST;3;SG,0.0,0.0
bluwaś,bluwaštej,V;PST;2;DU,0.0,0.0
bluwaś,bluwaštej,V;PST;3;DU,0.0,0.0
bluwaś,bluwaš,V;PRS;2;SG,0.0,0.0
bluwaś,bluwatej,V;PRS;2;DU,0.0,0.0
bluwaś,bluwatej,V;PRS;3;DU,0.0,0.0
bluwaś,bluwa,V;PRS;3;SG,0.0,0.0
bójaś,bójachmej,V;PST;1;DU,0.0,0.0
bójaś,bójachmy,V;PST;1;PL,0.0,0.0
bójaś,bójachu,V;PST;3;PL,0.0,0.0
bójaś,bójach,V;PST;1;SG,0.0,0.0
bójaś,bójašćo,V;PST;2;PL,0.0,0.0
bójaś,bójašo,V;PST;2;SG,0.0,0.0
bójaś,bójašo,V;PST;3;SG,0.0,0.0
bójaś,bójaštej,V;PST;2;DU,0.0,0.0
bójaś,bójaštej,V;PST;3;DU,0.0,0.0
bójaś,bóje,V;PRS;3;PL,0.0,0.0
bójaś,bójmej,V;PRS;1;DU,0.0,0.0
bójaś,bójm,V;PRS;1;SG,0.0,0.0
