lemma,form,paradigm_slot,form_freq,lemma_freq
haarama,olete haaranud,V;ACT;PRS;PRF;POS;IND;2;PL,0.0,8.308641975308643e-06
haarama,ei olevat haaranud,V;ACT;PRS;PRF;NEG;QUOT,0.0,8.308641975308643e-06
haarama,oleks haaratud,V;PASS;PRS;PRF;POS;COND,0.0,8.308641975308643e-06
haarama,haarasin,V;ACT;PST;POS;IND;1;SG,3.3e-05,8.308641975308643e-06
haarama,haaratakse,V;PASS;PRS;POS;IND,1.6e-05,8.308641975308643e-06
haarama,haaratagu,V;PASS;PRS;POS;IMP,1e-06,8.308641975308643e-06
haarama,ärgu haaraku,V;ACT;PRS;NEG;IMP;3;SG,0.0,8.308641975308643e-06
haarama,oli haaratud,V;PASS;PST;PRF;POS;IND,0.0,8.308641975308643e-06
haarama,haarasime,V;ACT;PST;POS;IND;1;PL,1.2e-05,8.308641975308643e-06
haarama,ei olnud haaranud,V;ACT;PST;PRF;NEG;IND,0.0,8.308641975308643e-06
haarama,oleksid haaranud,V;ACT;PRS;PRF;POS;COND;2;SG,0.0,8.308641975308643e-06
haarama,olgu haaranud,V;ACT;PRS;PRF;POS;IMP;PL,0.0,8.308641975308643e-06
haarama,oli haaranud,V;ACT;PRS;PRF;POS;COND;3;PL,0.0,8.308641975308643e-06
haarama,haarataks,V;PASS;PRS;POS;COND,0.0,8.308641975308643e-06
haarama,haaraksime,V;ACT;PRS;POS;COND;1;PL,0.0,8.308641975308643e-06
haarama,on haaratud,V;PASS;PRS;PRF;POS;IND,0.0,8.308641975308643e-06
haarama,ärge haarake,V;ACT;PRS;NEG;IMP;2;PL,0.0,8.308641975308643e-06
haarama,haarab,V;ACT;PRS;POS;IND;3;SG,0.00017,8.308641975308643e-06
haarama,haaravat,V;ACT;PRS;POS;QUOT,1.3e-05,8.308641975308643e-06
haarama,ärgu haaraku,V;ACT;PRS;NEG;IMP;3;PL,0.0,8.308641975308643e-06
haarama,olgu haaranud,V;ACT;PRS;PRF;POS;IMP;SG,0.0,8.308641975308643e-06
haarama,haarati,V;PASS;PST;POS;IND,1.4e-05,8.308641975308643e-06
haarama,ei haaravat,V;ACT;PRS;NEG;QUOT,0.0,8.308641975308643e-06
haarama,ei oleks haaratud,V;PASS;PRS;PRF;NEG;COND,0.0,8.308641975308643e-06
haarama,ei haaranud,V;ACT;PST;NEG;IND,0.0,8.308641975308643e-06
haarama,ei olevat haaratud,V;PASS;PRS;PRF;NEG;QUOT,0.0,8.308641975308643e-06
haarama,ei haaraks,V;ACT;PRS;PRF;POS;COND;1;SG,0.0,8.308641975308643e-06
haarama,olid haaranud,V;ACT;PRS;PRF;POS;COND;2;SG,0.0,8.308641975308643e-06
haarama,haaravad,V;ACT;PRS;POS;IND;3;PL,4.6e-05,8.308641975308643e-06
haarama,olite haaranud,V;ACT;PRS;PRF;POS;COND;2;PL,0.0,8.308641975308643e-06
haarama,ei haaratud,V;PASS;PST;NEG;IND,0.0,8.308641975308643e-06
haarama,oleksite haaranud,V;ACT;PRS;PRF;POS;COND;2;PL,0.0,8.308641975308643e-06
haarama,haaraku,V;ACT;PRS;POS;IMP;3;SG,2e-06,8.308641975308643e-06
haarama,haarama,V;NFIN,3.8e-05,8.308641975308643e-06
haarama,oleme haaranud,V;ACT;PRS;PRF;POS;IND;1;PL,0.0,8.308641975308643e-06
haarama,ei haarataks,V;PASS;PRS;NEG;COND,0.0,8.308641975308643e-06
haarama,haaras,V;ACT;PST;POS;IND;3;SG,0.000151,8.308641975308643e-06
