lemma,form,paradigm_slot
aː,aːďakal,"V;IPFV;FIN;IMP;SG;2;ACT"
aː,aːďakəllə,"V;IPFV;FIN;IMP;PL;2;ACT"
aː,aːďərən,"V;IPFV;FIN;IND;SG;3;PRS;ACT"
aː,aːďərə,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
aː,aːďət͡ʃaːw,"V;IPFV;FIN;IND;SG;1;PST;ACT"
a,adiŋkiːtin,"V;IPFV;FIN;IND;PL;3;PST+RMT;ACT"
a,aďiŋkiːtin,"V;IPFV;FIN;IND;PL;3;PST+RMT;ACT"
a,aďiŋkiːwun,"V;IPFV;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
aː,aːďiŋnandə,"V;HAB+IPFV;FIN;IND;SG;2;PRS;ACT"
aː,aːhina,"V;SEMEL;FIN;IND;PL;3;PST;ACT"
aː,aːhindajatin,"V;SEMEL;ACC;INDF;FIN;IND;PSS3P;ACT"
aː,aːhinďiwatin,"V;SEMEL;IPFV;ACC;DEF;FIN;IND;PSS3P;ACT"
aː,aːhinə,"V;SEMEL;FIN;IND;PL;3;PST;ACT"
a,ahiŋkiːwun,"V;SEMEL;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
a,ahiŋnərəwun,"V;SEMEL;HAB;FIN;IND;PL;1+EXCL;PST;ACT"
aː,aːhinim,"V;SEMEL;FIN;IND;SG;1;PST;ACT"
a,ahiniŋkiːwun,"V;SEMEL;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
aː,aːhiːnmuttan,"V;SEMEL;FIN;IND;SG;3;PST;CAUS;ACT"
aː,aːmullə,"V;FIN;IND;PL;3;PST;ACT"
aː,aːŋkiːwun,"V;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
a,aŋkiːwun,"V;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
aː,aːŋnəndə,"V;HAB;FIN;IND;SG;2;PST;ACT"
aː,aːsinəm,"V;SEMEL;FIN;IND;SG;1;PST;ACT"
aː,aːsinə,"V;SEMEL;FIN;IND;SG;3;PST;ACT"
aː,aːsinəw,"V;SEMEL;FIN;IND;PL;1+EXCL;PST;ACT"
aː,aːsinmurən,"V;SEMEL;FIN;IND;SG;3;PST;ACT"
aː,aː,"V;FIN;IND;ACT"
abduni,abdunin,"V;FIN;IND;SG;3;ACT"
abgaraː,abgaraːldan,"V;FIN;IND;SG;3;PST;ACT"
abul,abuldən,"V;FIN;IND;SG;3;PST;ACT"
abul,abult͡ʃa,"V;IPFV;FIN;IND;ACT"
abuli,abulitt͡ʃaran,"V;DUR;IPFV;FIN;IND;SG;3;PRS;ACT"
aďiliś,aďiliśtiŋnəm,"V;HAB+IPFV;FIN;IND;SG;1;PRS;ACT"
adiliśi,adiliśildan,"V;FIN;IND;SG;3;PST;ACT"
adilisi,adilisiliŋnəm,"V;HAB;FIN;IND;SG;1;PST;ACT"
adiliśi,adiliśiŋkiːn,"V;FIN;IND;SG;3;PST+RMT;ACT"
adiliśi,adiliśiŋkiːwun,"V;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
aďilisi,aďilisiŋnəm,"V;HAB;FIN;IND;SG;1;PST;ACT"
adilit,adilitt͡ʃaŋkiːn,"V;IPFV;FIN;IND;SG;3;PST+RMT;ACT"
adilit,adilitt͡ʃaŋkiːwun,"V;IPFV;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
aďilit,aďilitt͡ʃaŋkiːwun,"V;IPFV;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
adilit,adilittən,"V;FIN;IND;SG;3;PST;ACT"
adilt͡ʃu,adilt͡ʃuhiniŋnərəwun,"V;SEMEL;HAB;FIN;IND;PL;1+EXCL;PST;ACT"
ɲaːdiməː,ɲaːdiməːt͡ʃaːwun,"V;FIN;IND;PL;1+EXCL;PST;ACT"
adiːraː,adiːraː,"V;FIN;IND;ACT"
ag,agrən,"V;FIN;IND;SG;3;PST;ACT"
ag,agrə,"V;FIN;IND;PL;3;PST;ACT"
aːg,aːgrəw,"V;FIN;IND;PL;1+EXCL;PST;ACT"
agdi,agdiďərən,"V;IPFV;FIN;IND;SG;3;PRS;ACT"
agi,agifkəldu,"V;FIN;IMP;PL;2;ACT"
aha,ahaďannə,"V;IPFV;FIN;IND;SG;2;PRS;ACT"
aha,ahaďara,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
aha,ahaďərə,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
aha,ahahinan,"V;SEMEL;FIN;IND;SG;3;PST;ACT"
aha,ahajərən,"V;IPFV;FIN;IND;SG;3;PRS;ACT"
aha,ahaktaďaŋkiːf,"V;IPFV;FIN;IND;SG;1;PST+RMT;ACT"
aha,ahaktəďə,"V;FIN;IND;ACT"
aha,ahaskaːkutim,"V;SEMEL;FIN;IND;SG;1;PST;ACT"
ahiː,ahiːn,"V;FIN;IND;SG;3;ACT"
ahiːla,ahiːlam,"V;FIN;IND;SG;1;PST;ACT"
ahiːla,ahiːlarən,"V;FIN;IND;SG;3;PST;ACT"
ahilaː,ahilaːt͡ʃaːw,"V;FIN;IND;SG;1;PST;ACT"
ahoťi,ahoťit͡ʃaːw,"V;FIN;IND;SG;1;PST;ACT"
ahotit,ahotitt͡ʃəŋkiːtin,"V;IPFV;FIN;IND;PL;3;PST+RMT;ACT"
ahuː,ahuːra,"V;FIN;IND;PST;ACT"
aj,ajdan,"V;FIN;IND;SG;3;PST;ACT"
aj,ajjaw,"V;FIN;IND;PL;1+EXCL;PST;ACT"
aj,ajkal,"V;FIN;IMP;SG;2;ACT"
aj,ajt͡ʃaːwun,"V;FIN;IND;PL;1+EXCL;PST;ACT"
ajaw,ajawrə,"V;FIN;IND;PL;3;PST;ACT"
aji,ajisiːŋnəm,"V;DUR;HAB;FIN;IND;SG;1;PST;ACT"
aji,ajitťaŋaːn,"V;DUR;FIN;IND;SG;3;FUT;ACT"
aji,ajitt͡ʃaŋkiːn,"V;DUR;IPFV;FIN;IND;SG;3;PST+RMT;ACT"
aji,ajitt͡ʃan,"V;DUR;FIN;IND;SG;3;FUT+IMMED;ACT"
ajna,ajnadit͡ʃaːw,"V;IPFV;FIN;IND;SG;1;PST;ACT"
ak,akkəldu,"V;FIN;IMP;PL;2;ACT"
ak,akkəl,"V;FIN;IMP;SG;2;ACT"
aki,akim,"V;FIN;IND;SG;1;ACT"
akt͡ʃu,akt͡ʃulla,"V;FIN;IND;PL;3;PST;ACT"
alagu,alaguďaŋaːw,"V;FIN;IND;SG;1;FUT;ACT"
alaguː,alaguːďasaːn,"V;IPFV;FIN;IND;SG;3;PST;ACT"
alaguː,alaguːlgin,"V;FIN;IMP;SG;3;ACT"
alagu,alaguŋkiːn,"V;FIN;IND;SG;3;PST+RMT;ACT"
alagu,alagupdit͡ʃəw,"V;IPFV;FIN;IND;SG;1;PST;PASS"
alaśi,alaśilda,"V;FIN;IND;PL;3;PST;ACT"
alaːt,alaːtkəl,"V;FIN;IMP;SG;2;ACT"
alaːt,alaːtt͡ʃəŋkiːn,"V;IPFV;FIN;IND;SG;3;PST+RMT;ACT"
alaːt,alaːttən,"V;FIN;IND;SG;3;PST;ACT"
alaːt,alaːtt͡ʃərə,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
alaːt,alaːtťəsaːt,"V;IPFV;FIN;IND;PL;1+INCL;PST;ACT"
alaːt,alaːtt͡ʃildəwun,"V;DUR;FIN;IND;PL;1+EXCL;PST;ACT"
alaːt,alaːtt͡ʃim,"V;IPFV;FIN;IND;SG;1;PRS;ACT"
alat,alatt͡ʃiŋnəra,"V;HAB+IPFV;FIN;IND;PL;3;PRS;ACT"
alaːt͡ʃi,alaːt͡ʃim,"V;FIN;IND;SG;1;PST;ACT"
alawu,alawuďat͡ʃaːn,"V;IPFV;FIN;IND;SG;3;PST;ACT"
alawu,alawullan,"V;FIN;IND;SG;3;PST;ACT"
alaγu,alaγumnaːhiśaːw,"V;SEMEL;FIN;IND;SG;1;PST;CAUS;ACT"
alaγu,alaγusan,"V;FIN;IND;SG;3;PST;ACT"
alba,albaďaraw,"V;IPFV;FIN;IND;PL;1+EXCL;PRS;ACT"
alba,albahit͡ʃaːw,"V;SEMEL;FIN;IND;SG;1;PST;ACT"
alba,albaldəw,"V;FIN;IND;PL;1+EXCL;PST;ACT"
alba,albalim,"V;FIN;IND;SG;1;PST;ACT"
alba,albam,"V;FIN;IND;SG;1;PST;ACT"
alba,albaŋnam,"V;HAB;FIN;IND;SG;1;PST;ACT"
alba,albaran,"V;FIN;IND;SG;3;PST;ACT"
alba,albara,"V;FIN;IND;PL;3;PST;ACT"
alba,albaraw,"V;FIN;IND;PL;1+EXCL;PST;ACT"
alba,albasaːn,"V;FIN;IND;SG;3;PST;ACT"
altaśi,altaśildan,"V;FIN;IND;SG;3;PST;ACT"
altat,altatkal,"V;FIN;IMP;SG;2;ACT"
altaːt͡ʃi,altaːt͡ʃildan,"V;FIN;IND;SG;3;PST;ACT"
altin,altinďəŋatin,"V;FIN;IND;PSS3P;FUT;ACT"
ɲama,ɲamaďaďaŋaːhun,"V;IPFV;FIN;IND;PL;2;FUT;ACT"
ɲama,ɲamalgiːďaŋaːn,"V;FIN;IND;SG;3;FUT;ACT"
ama,amawun,"V;FIN;IND;PL;1+EXCL;ACT"
amaːkaː,amaːkaːn,"V;FIN;IND;SG;3;ACT"
amandiː,amandiːśaːw,"V;FIN;IND;SG;1;PST;ACT"
amiː,amiːm,"V;FIN;IND;SG;1;ACT"
amiːni,amiːniw,"V;FIN;IND;SG;1;ACT"
amta,amtara,"V;FIN;IND;PL;3;PST;ACT"
amta,amtat͡ʃaːn,"V;FIN;IND;SG;3;PST;ACT"
amun,amunďarka,"V;IPFV;FIN;POT;SG;3;ACT"
amutil,amutil,"V;FIN;IND;ACT"
ana,anamŋnərəw,"V;HAB;FIN;IND;PL;1+EXCL;PST;ACT"
ana,anam,"V;FIN;IND;SG;1;PST;ACT"
ana,anara,"V;FIN;IND;PL;3;PST;ACT"
ana,anat͡ʃaːn,"V;FIN;IND;SG;3;PST;ACT"
ana,anawaːnďəm,"V;IPFV;FIN;IND;SG;1;PRS;ACT"
aːŋa,aːŋaďamiːďərən,"V;IPFV;FIN;IND;SG;3;PRS;ACT"
aŋa,aŋaďiŋaːw,"V;FIN;IND;SG;1;FUT;ACT"
aŋa,aŋakal,"V;FIN;IMP;SG;2;ACT"
aŋa,aŋakəllu,"V;FIN;IMP;PL;2;ACT"
aŋa,aŋalďən,"V;FIN;IND;SG;3;FUT+IMMED;ACT"
aːŋa,aːŋallən,"V;FIN;IND;SG;3;PST;ACT"
aŋa,aŋarən,"V;FIN;IND;SG;3;PST;ACT"
aŋa,aŋaśilďən,"V;DUR;FIN;IND;SG;3;FUT+IMMED;ACT"
aŋa,aŋawrən,"V;FIN;IND;SG;3;PST;PASS"
aŋaɲiː,aŋaɲiːn,"V;FIN;IND;SG;3;ACT"
aŋəna,aŋənahinəŋnərəwun,"V;SEMEL;HAB;FIN;IND;PL;1+EXCL;PST;ACT"
aːŋnə,aːŋnətt͡ʃillaw,"V;DUR;IPFV;FIN;IND;PL;1+EXCL;PRS;ACT"
ɲaŋtatiː,ɲaŋtatiːďam,"V;FIN;IND;SG;1;FUT+IMMED;ACT"
ɲaŋtatiː,ɲaŋtatiːďara,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
ɲaŋu,ɲaŋura,"V;FIN;IND;PST;ACT"
aːnŋə,aːnŋəttə,"V;DUR;FIN;IND;PL;3;PST;ACT"
aːnŋət,aːnŋətt͡ʃəːw,"V;FIN;IND;PL;1+EXCL;PST;ACT"
aːnŋət,aːnŋətt͡ʃilləw,"V;FIN;IND;PL;1+EXCL;FUT+RMT;ACT"
ʃapka,ʃapkaŋnərə,"V;HAB;FIN;IND;PL;3;PST;ACT"
ʃapka,ʃapkanŋərə,"V;HAB;FIN;IND;PL;3;PST;ACT"
aːriː,aːriːrən,"V;FIN;IND;SG;3;PST;ACT"
arki,arkiran,"V;FIN;IND;SG;3;PST;ACT"
arki,arkirən,"V;FIN;IND;SG;3;PST;ACT"
arki,arkitmat,"V;DUR;FIN;IND;ACT"
arki,arkittan,"V;DUR;FIN;IND;SG;3;PST;ACT"
arki,arkitt͡ʃillan,"V;DUR;IPFV;FIN;IND;SG;3;PRS;ACT"
arsa,arsaran,"V;FIN;IND;SG;3;PST;ACT"
arsamka,arsamkaďara,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
art͡ʃa,art͡ʃaldiːra,"V;FIN;IND;PL;3;PST;ACT"
art͡ʃa,art͡ʃaran,"V;FIN;IND;SG;3;PST;ACT"
art͡ʃa,art͡ʃarəwun,"V;FIN;IND;PL;1+EXCL;PST;ACT"
art͡ʃa,art͡ʃarəw,"V;FIN;IND;PL;1+EXCL;PST;ACT"
art͡ʃə,art͡ʃərəwun,"V;FIN;IND;PL;1+EXCL;PST;ACT"
aru,aruγiːran,"V;FIN;IND;SG;3;PST;CAUS;ACT"
asa,asaďara,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
asa,asaktərə,"V;FIN;IND;PL;3;PST;ACT"
asa,asara,"V;FIN;IND;PL;3;PST;ACT"
asa,asasinan,"V;SEMEL;FIN;IND;SG;3;PST;ACT"
asa,asasina,"V;SEMEL;FIN;IND;PL;3;PST;ACT"
aśin,aśin,"V;FIN;IND;ACT"
ɲaɲt͡ʃit,ɲaɲt͡ʃitt͡ʃim,"V;IPFV;FIN;IND;SG;1;PRS;ACT"
awu,awuŋkiːw,"V;FIN;IND;SG;1;PST+RMT;ACT"
baː,baːďət͡ʃaːw,"V;IPFV;FIN;IND;SG;1;PST;ACT"
baː,baːŋnəm,"V;HAB;FIN;IND;SG;1;PST;ACT"
badara,badaramitə,"V;FIN;IND;ACT"
badaran,badaranɲaːt,"V;FIN;IMP;PL;1+INCL;ACT"
baka,bakaďam,"V;FIN;IND;SG;1;FUT+IMMED;ACT"
baka,bakaďaŋas,"V;FIN;IND;SG;2;FUT;ACT"
baka,bakaďaŋaːt,"V;FIN;IND;PL;1+INCL;FUT;ACT"
baka,bakaďaŋaːw,"V;FIN;IND;SG;1;FUT;ACT"
baka,bakaďan,"V;FIN;IND;SG;3;FUT+IMMED;ACT"
baka,bakaďara,"V;FIN;IND;PL;3;FUT+IMMED;ACT"
baka,bakaďara,"V;IPFV;FIN;IND;PL;3;PRS;ACT"
baka,bakam,"V;FIN;IND;SG;1;PST;ACT"
baka,bakanam,"V;FIN;IND;SG;1;PST;ACT"
baka,bakandə,"V;FIN;IND;SG;2;PST;ACT"
baka,bakaŋnərəw,"V;HAB;FIN;IND;PL;1+EXCL;PST;ACT"
baka,bakaran,"V;FIN;IND;SG;3;PST;ACT"
baka,bakara,"V;FIN;IND;PL;3;PST;ACT"
baka,bakaraw,"V;FIN;IND;PL;1+EXCL;PST;ACT"
baka,bakat͡ʃaːs,"V;FIN;IND;SG;2;PST;ACT"
baka,bakat͡ʃawun,"V;FIN;IND;PL;1+EXCL;PST;ACT"
baka,bakawran,"V;FIN;IND;SG;3;PST;PASS"
baldi,baldiʃaːw,"V;FIN;IND;SG;1;PST;ACT"
baldi,baldiďaktin,"V;IPFV;FIN;IMP;PL;3;ACT"
baldiː,baldiːďam,"V;IPFV;FIN;IND;SG;1;PRS;ACT"
baldi,baldiďaŋaːn,"V;FIN;IND;SG;3;FUT;ACT"
baldi,baldiďaŋkiːtin,"V;IPFV;FIN;IND;PL;3;PST+RMT;ACT"
baldi,baldiďan,"V;FIN;IND;SG;3;FUT+IMMED;ACT"
baldi,baldiďərən,"V;IPFV;FIN;IND;SG;3;PRS;ACT"
baldi,baldiďərəw,"V;FIN;IND;PL;1+EXCL;FUT;ACT"
baldi,baldiďəsaːwun,"V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT"
baldi,baldiďəśaːw,"V;IPFV;FIN;IND;SG;1;PST;ACT"
baldi,baldildan,"V;FIN;IND;SG;3;PST;ACT"
baldi,baldilda,"V;FIN;IND;PL;3;PST;ACT"
baldi,baldim,"V;FIN;IND;SG;1;PST;ACT"
balďi,balďim,"V;FIN;IND;PSS1S;PST;ACT"
baldi,baldiŋkiːtin,"V;FIN;IND;PL;3;PST+RMT;ACT"
baldi,baldiŋkiːwun,"V;FIN;IND;PL;1+EXCL;PST+RMT;ACT"
baldi,baldiŋnara,"V;HAB;FIN;IND;PL;3;PST;ACT"
baldi,baldiŋnərə,"V;HAB;FIN;IND;PL;3;PST;ACT"
baldi,baldiran,"V;FIN;IND;SG;3;PST;ACT"
balďi,balďiran,"V;FIN;IND;SG;3;PST;ACT"
baldi,baldirən,"V;FIN;IND;SG;3;PST;ACT"
baldi,baldisaːn,"V;FIN;IND;SG;3;PST;ACT"
baldi,baldiśaːn,"V;FIN;IND;SG;3;PST;ACT"
balďi,balďisan,"V;FIN;IND;SG;3;PST;ACT"
baldi,baldisaːtin,"V;FIN;IND;PL;3;PST;ACT"
baldi,baldisaːw,"V;FIN;IND;SG;1;PST;ACT"
baldi,baldiśaːw,"V;FIN;IND;SG;1;PST;ACT"
balďi,balďisaːw,"V;FIN;IND;SG;1;PST;ACT"
balďi,balďiśaːw,"V;FIN;IND;SG;1;PST;ACT"
baldi,baldit͡ʃaːm,"V;FIN;IND;SG;1;PST;ACT"
baldi,baldit͡ʃam,"V;FIN;IND;SG;1;PST;ACT"
baldi,baldit͡ʃan,"V;FIN;IND;SG;3;PST;ACT"
baldi,baldit͡ʃaːwun,"V;FIN;IND;PL;1+EXCL;PST;ACT"
