lemma,form,paradigm_slot,form_freq,lemma_freq
æla,ælaði,V;IND;PST;1;SG,0.0,3.0303030303030305e-07
æla,ælaði,V;IND;PST;2;SG,0.0,3.0303030303030305e-07
æla,ælaði,V;IND;PST;3;SG,0.0,3.0303030303030305e-07
æla,ælaðu,V;IND;PST;3,0.0,3.0303030303030305e-07
æla,ælar,V;IND;PRS;2;SG,0.0,3.0303030303030305e-07
æla,ælar,V;IND;PRS;3;SG,0.0,3.0303030303030305e-07
æla,æla,V;IMP;2;SG,0.0,3.0303030303030305e-07
æla,æla,V;IND;PRS;3,0.0,3.0303030303030305e-07
æla,æla,V;NFIN,0.0,3.0303030303030305e-07
æla,ælið,V;IMP;2;PL,3.3333333333333333e-06,3.0303030303030305e-07
æla,æli,V;IND;PRS;1;SG,0.0,3.0303030303030305e-07
æt,eita,V;IND;PRS;3,0.00018333333333333334,0.0003118181818181818
æt,eita,V;NFIN,0.00018333333333333334,0.0003118181818181818
æt,eitið,V;IMP;2;PL,6.666666666666667e-06,0.0003118181818181818
æt,eiti,V;IND;PRS;1;SG,7e-05,0.0003118181818181818
æt,eitur,V;IND;PRS;2;SG,0.00149,0.0003118181818181818
æt,eitur,V;IND;PRS;3;SG,0.00149,0.0003118181818181818
æt,eit,V;IMP;2;SG,6.666666666666667e-06,0.0003118181818181818
æt,hæt,V;IND;PST;1;SG,0.0,0.0003118181818181818
æt,hæt,V;IND;PST;2;SG,0.0,0.0003118181818181818
æt,hæt,V;IND;PST;3;SG,0.0,0.0003118181818181818
æt,hitu,V;IND;PST;3,0.0,0.0003118181818181818
ætla,ætlaði,V;IND;PST;1;SG,0.00039666666666666664,0.0009236363636363636
ætla,ætlaði,V;IND;PST;2;SG,0.00039666666666666664,0.0009236363636363636
ætla,ætlaði,V;IND;PST;3;SG,0.00039666666666666664,0.0009236363636363636
ætla,ætlaðu,V;IND;PST;3,0.0008433333333333333,0.0009236363636363636
ætla,ætlar,V;IND;PRS;2;SG,0.0024433333333333334,0.0009236363636363636
ætla,ætlar,V;IND;PRS;3;SG,0.0024433333333333334,0.0009236363636363636
ætla,ætla,V;IMP;2;SG,0.0010066666666666666,0.0009236363636363636
ætla,ætla,V;IND;PRS;3,0.0010066666666666666,0.0009236363636363636
ætla,ætla,V;NFIN,0.0010066666666666666,0.0009236363636363636
ætla,ætlið,V;IMP;2;PL,0.0,0.0009236363636363636
ætla,ætli,V;IND;PRS;1;SG,0.00022,0.0009236363636363636
aka,aka,V;IND;PRS;3,6.666666666666667e-06,2.4242424242424244e-06
aka,aka,V;NFIN,6.666666666666667e-06,2.4242424242424244e-06
aka,akið,V;IMP;2;PL,0.0,2.4242424242424244e-06
aka,aki,V;IND;PRS;1;SG,0.0,2.4242424242424244e-06
aka,ak,V;IMP;2;SG,0.0,2.4242424242424244e-06
aka,ekur,V;IND;PRS;2;SG,6.666666666666667e-06,2.4242424242424244e-06
aka,ekur,V;IND;PRS;3;SG,6.666666666666667e-06,2.4242424242424244e-06
aka,ókst,V;IND;PST;2;SG,0.0,2.4242424242424244e-06
aka,óku,V;IND;PST;3,0.0,2.4242424242424244e-06
aka,ók,V;IND;PST;1;SG,0.0,2.4242424242424244e-06
aka,ók,V;IND;PST;3;SG,0.0,2.4242424242424244e-06
ala,ala,V;IND;PRS;3,0.00014,2.9090909090909093e-05
ala,ala,V;NFIN,0.00014,2.9090909090909093e-05
ala,alið,V;IMP;2;PL,3.3333333333333333e-06,2.9090909090909093e-05
ala,ali,V;IND;PRS;1;SG,0.0,2.9090909090909093e-05
ala,al,V;IMP;2;SG,1.6666666666666667e-05,2.9090909090909093e-05
ala,elur,V;IND;PRS;2;SG,1e-05,2.9090909090909093e-05
ala,elur,V;IND;PRS;3;SG,1e-05,2.9090909090909093e-05
ala,ólst,V;IND;PST;2;SG,0.0,2.9090909090909093e-05
ala,ólu,V;IND;PST;3,0.0,2.9090909090909093e-05
ala,ól,V;IND;PST;1;SG,0.0,2.9090909090909093e-05
ala,ól,V;IND;PST;3;SG,0.0,2.9090909090909093e-05
anda,andaði,V;IND;PST;1;SG,3.3333333333333333e-06,7.96969696969697e-05
anda,andaði,V;IND;PST;2;SG,3.3333333333333333e-06,7.96969696969697e-05
anda,andaði,V;IND;PST;3;SG,3.3333333333333333e-06,7.96969696969697e-05
anda,andaðu,V;IND;PST;3,0.0,7.96969696969697e-05
anda,andar,V;IND;PRS;2;SG,3e-05,7.96969696969697e-05
anda,andar,V;IND;PRS;3;SG,3e-05,7.96969696969697e-05
anda,anda,V;IMP;2;SG,0.00024,7.96969696969697e-05
anda,anda,V;IND;PRS;3,0.00024,7.96969696969697e-05
anda,anda,V;NFIN,0.00024,7.96969696969697e-05
anda,andið,V;IMP;2;PL,0.0,7.96969696969697e-05
anda,andi,V;IND;PRS;1;SG,8.666666666666667e-05,7.96969696969697e-05
andast,andaðist,V;IND;PST;1;SG,9.666666666666667e-05,3.5185185185185176e-05
andast,andaðist,V;IND;PST;2;SG,9.666666666666667e-05,3.5185185185185176e-05
andast,andaðist,V;IND;PST;3;SG,9.666666666666667e-05,3.5185185185185176e-05
andast,andaðust,V;IND;PST;3,0.0,3.5185185185185176e-05
andast,andast,V;IND;PRS;2;SG,6.666666666666667e-06,3.5185185185185176e-05
andast,andast,V;IND;PRS;3,6.666666666666667e-06,3.5185185185185176e-05
andast,andast,V;IND;PRS;3;SG,6.666666666666667e-06,3.5185185185185176e-05
andast,andast,V;NFIN,6.666666666666667e-06,3.5185185185185176e-05
andast,andist,V;IND;PRS;1;SG,0.0,3.5185185185185176e-05
arbeiða,arbeiða,V;IND;PRS;3,0.005496666666666667,0.0028645454545454543
arbeiða,arbeiða,V;NFIN,0.005496666666666667,0.0028645454545454543
arbeiða,arbeiddi,V;IND;PST;1;SG,0.00036,0.0028645454545454543
arbeiða,arbeiddi,V;IND;PST;2;SG,0.00036,0.0028645454545454543
arbeiða,arbeiddi,V;IND;PST;3;SG,0.00036,0.0028645454545454543
arbeiða,arbeiddu,V;IND;PST;3,0.00018333333333333334,0.0028645454545454543
arbeiða,arbeiðið,V;IMP;2;PL,0.006463333333333333,0.0028645454545454543
arbeiða,arbeiðir,V;IND;PRS;2;SG,0.0019666666666666665,0.0028645454545454543
arbeiða,arbeiðir,V;IND;PRS;3;SG,0.0019666666666666665,0.0028645454545454543
arbeiða,arbeiði,V;IND;PRS;1;SG,0.00881,0.0028645454545454543
arbeiða,arbeið,V;IMP;2;SG,4.6666666666666665e-05,0.0028645454545454543
átala,átalaði,V;IND;PST;1;SG,4.3333333333333334e-05,0.0001266666666666667
átala,átalaði,V;IND;PST;2;SG,4.3333333333333334e-05,0.0001266666666666667
átala,átalaði,V;IND;PST;3;SG,4.3333333333333334e-05,0.0001266666666666667
átala,átalaðu,V;IND;PST;3,6e-05,0.0001266666666666667
átala,átalar,V;IND;PRS;2;SG,0.00011666666666666667,0.0001266666666666667
átala,átalar,V;IND;PRS;3;SG,0.00011666666666666667,0.0001266666666666667
átala,átala,V;IMP;2;SG,0.00032333333333333335,0.0001266666666666667
átala,átala,V;IND;PRS;3,0.00032333333333333335,0.0001266666666666667
átala,átala,V;NFIN,0.00032333333333333335,0.0001266666666666667
átala,átalið,V;IMP;2;PL,0.0,0.0001266666666666667
átala,átali,V;IND;PRS;1;SG,0.0,0.0001266666666666667
átti,áttiár,V;IND;PST;1;SG,0.0,0.0017366666666666663
átti,áttiár,V;IND;PST;2;SG,0.0,0.0017366666666666663
átti,áttiár,V;IND;PST;3;SG,0.0,0.0017366666666666663
átti,áttu,V;IND;PST;3,0.0010066666666666666,0.0017366666666666663
átti,eiga,V;IND;PRS;3,0.009,0.0017366666666666663
átti,eiga,V;NFIN,0.009,0.0017366666666666663
átti,eigið,V;IMP;2;PL,0.0,0.0017366666666666663
átti,eigi,V;IND;PRS;1;SG,9.666666666666667e-05,0.0017366666666666663
átti,eigureigir,V;IND;PRS;2;SG,0.0,0.0017366666666666663
átti,eigureigir,V;IND;PRS;3;SG,0.0,0.0017366666666666663
átti,eig,V;IMP;2;SG,0.0,0.0017366666666666663
avdúka,avdúkaði,V;IND;PST;1;SG,5.6666666666666664e-05,6.12121212121212e-05
avdúka,avdúkaði,V;IND;PST;2;SG,5.6666666666666664e-05,6.12121212121212e-05
avdúka,avdúkaði,V;IND;PST;3;SG,5.6666666666666664e-05,6.12121212121212e-05
avdúka,avdúkaðu,V;IND;PST;3,3.3333333333333333e-06,6.12121212121212e-05
avdúka,avdúkar,V;IND;PRS;2;SG,5.6666666666666664e-05,6.12121212121212e-05
avdúka,avdúkar,V;IND;PRS;3;SG,5.6666666666666664e-05,6.12121212121212e-05
avdúka,avdúka,V;IMP;2;SG,0.00012666666666666666,6.12121212121212e-05
avdúka,avdúka,V;IND;PRS;3,0.00012666666666666666,6.12121212121212e-05
avdúka,avdúka,V;NFIN,0.00012666666666666666,6.12121212121212e-05
avdúka,avdúkið,V;IMP;2;PL,0.0,6.12121212121212e-05
avdúka,avdúki,V;IND;PRS;1;SG,6.666666666666667e-06,6.12121212121212e-05
avreiða,avreiða,V;IND;PRS;3,0.00017666666666666666,3.818181818181818e-05
avreiða,avreiða,V;NFIN,0.00017666666666666666,3.818181818181818e-05
avreiða,avreiddi,V;IND;PST;1;SG,1.3333333333333333e-05,3.818181818181818e-05
avreiða,avreiddi,V;IND;PST;2;SG,1.3333333333333333e-05,3.818181818181818e-05
avreiða,avreiddi,V;IND;PST;3;SG,1.3333333333333333e-05,3.818181818181818e-05
avreiða,avreiddu,V;IND;PST;3,1.3333333333333333e-05,3.818181818181818e-05
avreiða,avreiðið,V;IMP;2;PL,0.0,3.818181818181818e-05
avreiða,avreiðir,V;IND;PRS;2;SG,6.666666666666667e-06,3.818181818181818e-05
avreiða,avreiðir,V;IND;PRS;3;SG,6.666666666666667e-06,3.818181818181818e-05
avreiða,avreiði,V;IND;PRS;1;SG,0.0,3.818181818181818e-05
avreiða,avreið,V;IMP;2;SG,0.0,3.818181818181818e-05
babba,babbaði,V;IND;PST;1;SG,0.0,7.454545454545454e-05
babba,babbaði,V;IND;PST;2;SG,0.0,7.454545454545454e-05
babba,babbaði,V;IND;PST;3;SG,0.0,7.454545454545454e-05
babba,babbaðu,V;IND;PST;3,0.0,7.454545454545454e-05
babba,babbar,V;IND;PRS;2;SG,0.0,7.454545454545454e-05
babba,babbar,V;IND;PRS;3;SG,0.0,7.454545454545454e-05
babba,babba,V;IMP;2;SG,0.00027333333333333333,7.454545454545454e-05
babba,babba,V;IND;PRS;3,0.00027333333333333333,7.454545454545454e-05
babba,babba,V;NFIN,0.00027333333333333333,7.454545454545454e-05
babba,babbið,V;IMP;2;PL,0.0,7.454545454545454e-05
babba,babbi,V;IND;PRS;1;SG,0.0,7.454545454545454e-05
baða,baðaði,V;IND;PST;1;SG,0.0,6.363636363636363e-06
baða,baðaði,V;IND;PST;2;SG,0.0,6.363636363636363e-06
baða,baðaði,V;IND;PST;3;SG,0.0,6.363636363636363e-06
baða,baðaðu,V;IND;PST;3,0.0,6.363636363636363e-06
baða,baðar,V;IND;PRS;2;SG,0.0,6.363636363636363e-06
baða,baðar,V;IND;PRS;3;SG,0.0,6.363636363636363e-06
baða,baða,V;IMP;2;SG,1.3333333333333333e-05,6.363636363636363e-06
baða,baða,V;IND;PRS;3,1.3333333333333333e-05,6.363636363636363e-06
baða,baða,V;NFIN,1.3333333333333333e-05,6.363636363636363e-06
baða,baðið,V;IMP;2;PL,0.0,6.363636363636363e-06
baða,baði,V;IND;PRS;1;SG,3e-05,6.363636363636363e-06
baka,bakaði,V;IND;PST;1;SG,3.3333333333333333e-06,3.636363636363636e-05
baka,bakaði,V;IND;PST;2;SG,3.3333333333333333e-06,3.636363636363636e-05
baka,bakaði,V;IND;PST;3;SG,3.3333333333333333e-06,3.636363636363636e-05
baka,bakaðu,V;IND;PST;3,0.0,3.636363636363636e-05
baka,bakar,V;IND;PRS;2;SG,6.666666666666667e-06,3.636363636363636e-05
baka,bakar,V;IND;PRS;3;SG,6.666666666666667e-06,3.636363636363636e-05
