lemma,form,paradigm_slot,form_freq,lemma_freq
ferjeese,ferjeese,V;IND;PRS;2;PL,0.0,1.8518518518518519e-06
ferjeese,ferjeese,V;IND;PRS;1;DU,0.0,1.8518518518518519e-06
ferjeese,ferjätjen,V;IND;PST;PFV;1;PL,0.0,1.8518518518518519e-06
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;2;PL,0.0,1.8518518518518519e-06
ferjeese,häist ferjin,V;IND;PST;RMT;PRF;2;SG,0.0,1.8518518518518519e-06
ferjeese,hääw ferjin,V;IND;PST;PRF;1;SG,0.0,1.8518518518518519e-06
ferjeese,ferjätj,V;IND;PST;PFV;1;SG,0.0,1.8518518518518519e-06
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;2;DU,0.0,1.8518518518518519e-06
ferjeese,wårst forjeese,V;IND;FUT;LGSPEC1;2;SG,0.0,1.8518518518518519e-06
ferjeese,ferjätjst,V;IND;PST;PFV;2;SG,0.0,1.8518518518518519e-06
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;3;PL,0.0,1.8518518518518519e-06
ferjeese,ferjätjen,V;IND;PST;PFV;2;PL,0.0,1.8518518518518519e-06
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;3;PL,0.0,1.8518518518518519e-06
ferjeese,ferjeet,V;IND;PRS;3;SG,0.0,1.8518518518518519e-06
ferjeese,ferjeet,V;IND;PRS;3;SG,0.0,1.8518518518518519e-06
ferjeese,ferjeet,V;IND;PRS;3;SG,0.0,1.8518518518518519e-06
ferjeese,hääwe ferjin,V;IND;PST;PRF;2;PL,0.0,1.8518518518518519e-06
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;1;DU,0.0,1.8518518518518519e-06
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;3;SG,0.0,1.8518518518518519e-06
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;3;SG,0.0,1.8518518518518519e-06
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;3;SG,0.0,1.8518518518518519e-06
ferjeese,ferjeese,V;IND;PRS;1;PL,0.0,1.8518518518518519e-06
ferjeese,hääwe ferjin,V;IND;PST;PRF;1;DU,0.0,1.8518518518518519e-06
ferjeese,wård forjeese,V;IND;FUT;LGSPEC1;1;SG,0.0,1.8518518518518519e-06
ferjeese,ferjees,V;IMP;PL,0.0,1.8518518518518519e-06
ferjeese,tu forjeesen,V;NFIN,0.0,1.8518518518518519e-06
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;2;PL,0.0,1.8518518518518519e-06
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;1;DU,0.0,1.8518518518518519e-06
ferjeese,ferjätjen,V;IND;PST;PFV;3;PL,0.0,1.8518518518518519e-06
ferjeese,ferjätj,V;IND;PST;PFV;3;SG,0.0,1.8518518518518519e-06
ferjeese,ferjätj,V;IND;PST;PFV;3;SG,0.0,1.8518518518518519e-06
ferjeese,ferjätj,V;IND;PST;PFV;3;SG,0.0,1.8518518518518519e-06
ferjeese,ferjeest,V;IND;PRS;2;SG,0.0,1.8518518518518519e-06
ferjeese,hääwe ferjin,V;IND;PST;PRF;1;PL,0.0,1.8518518518518519e-06
ferjeese,heet ferjin,V;IND;PST;PRF;3;SG,0.0,1.8518518518518519e-06
ferjeese,heet ferjin,V;IND;PST;PRF;3;SG,0.0,1.8518518518518519e-06
ferjeese,heet ferjin,V;IND;PST;PRF;3;SG,0.0,1.8518518518518519e-06
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;2;DU,0.0,1.8518518518518519e-06
ferjeese,ferjeese,V;IND;PRS;2;DU,0.0,1.8518518518518519e-06
ferjeese,forjeese,V;NFIN,0.0,1.8518518518518519e-06
ferjeese,ferjeese,V;IND;PRS;3;PL,0.0,1.8518518518518519e-06
ferjeese,wårt forjeese,V;IND;FUT;LGSPEC1;3;SG,0.0,1.8518518518518519e-06
ferjeese,wårt forjeese,V;IND;FUT;LGSPEC1;3;SG,0.0,1.8518518518518519e-06
ferjeese,wårt forjeese,V;IND;FUT;LGSPEC1;3;SG,0.0,1.8518518518518519e-06
ferjeese,häi ferjin,V;IND;PST;RMT;PRF;1;SG,0.0,1.8518518518518519e-06
ferjeese,ferjätjen,V;IND;PST;PFV;1;DU,0.0,1.8518518518518519e-06
ferjeese,häin ferjin,V;IND;PST;RMT;PRF;1;PL,0.0,1.8518518518518519e-06
ferjeese,ferjees,V;IND;PRS;1;SG,0.0,1.8518518518518519e-06
ferjeese,ferjin,V;IMP;SG,0.0001,1.8518518518518519e-06
ferjeese,hääst ferjin,V;IND;PST;PRF;2;SG,0.0,1.8518518518518519e-06
ferjeese,wårde forjeese,V;IND;FUT;LGSPEC1;1;PL,0.0,1.8518518518518519e-06
ferjeese,hääwe ferjin,V;IND;PST;PRF;3;PL,0.0,1.8518518518518519e-06
ferjeese,hääwe ferjin,V;IND;PST;PRF;2;DU,0.0,1.8518518518518519e-06
ferjeese,ferjätjen,V;IND;PST;PFV;2;DU,0.0,1.8518518518518519e-06
ferliise,ferliise,V;IND;PRS;2;PL,0.0001,3.1481481481481494e-05
ferliise,ferliise,V;IND;PRS;1;DU,0.0001,3.1481481481481494e-05
ferliise,ferlüüsen,V;IND;PST;PFV;1;PL,0.0001,3.1481481481481494e-05
ferliise,häin ferlääsen,V;IND;PST;RMT;PRF;2;PL,0.0,3.1481481481481494e-05
ferliise,häist ferlääsen,V;IND;PST;RMT;PRF;2;SG,0.0,3.1481481481481494e-05
ferliise,hääw ferlääsen,V;IND;PST;PRF;1;SG,0.0,3.1481481481481494e-05
ferliise,ferlüüs,V;IND;PST;PFV;1;SG,0.0001,3.1481481481481494e-05
ferliise,wårde ferliise,V;IND;FUT;LGSPEC1;2;DU,0.0,3.1481481481481494e-05
ferliise,wårst ferliise,V;IND;FUT;LGSPEC1;2;SG,0.0,3.1481481481481494e-05
ferliise,ferlüüst,V;IND;PST;PFV;2;SG,0.0,3.1481481481481494e-05
ferliise,wårde ferliise,V;IND;FUT;LGSPEC1;3;PL,0.0,3.1481481481481494e-05
ferliise,ferlüüsen,V;IND;PST;PFV;2;PL,0.0001,3.1481481481481494e-05
ferliise,häin ferlääsen,V;IND;PST;RMT;PRF;3;PL,0.0,3.1481481481481494e-05
ferliise,ferlüst,V;IND;PRS;3;SG,0.0,3.1481481481481494e-05
ferliise,ferlüst,V;IND;PRS;3;SG,0.0,3.1481481481481494e-05
ferliise,ferlüst,V;IND;PRS;3;SG,0.0,3.1481481481481494e-05
ferliise,hääwe ferlääsen,V;IND;PST;PRF;2;PL,0.0,3.1481481481481494e-05
ferliise,häin ferlääsen,V;IND;PST;RMT;PRF;1;DU,0.0,3.1481481481481494e-05
ferliise,häi ferlääsen,V;IND;PST;RMT;PRF;3;SG,0.0,3.1481481481481494e-05
ferliise,häi ferlääsen,V;IND;PST;RMT;PRF;3;SG,0.0,3.1481481481481494e-05
ferliise,häi ferlääsen,V;IND;PST;RMT;PRF;3;SG,0.0,3.1481481481481494e-05
ferliise,ferliise,V;IND;PRS;1;PL,0.0001,3.1481481481481494e-05
ferliise,hääwe ferlääsen,V;IND;PST;PRF;1;DU,0.0,3.1481481481481494e-05
ferliise,wård ferliise,V;IND;FUT;LGSPEC1;1;SG,0.0,3.1481481481481494e-05
ferliise,ferliis,V;IMP;PL,0.0,3.1481481481481494e-05
ferliise,tu ferliisen,V;NFIN,0.0,3.1481481481481494e-05
ferliise,wårde ferliise,V;IND;FUT;LGSPEC1;2;PL,0.0,3.1481481481481494e-05
ferliise,wårde ferliise,V;IND;FUT;LGSPEC1;1;DU,0.0,3.1481481481481494e-05
ferliise,ferlüüsen,V;IND;PST;PFV;3;PL,0.0001,3.1481481481481494e-05
ferliise,ferlüüs,V;IND;PST;PFV;3;SG,0.0001,3.1481481481481494e-05
ferliise,ferlüüs,V;IND;PST;PFV;3;SG,0.0001,3.1481481481481494e-05
ferliise,ferlüüs,V;IND;PST;PFV;3;SG,0.0001,3.1481481481481494e-05
ferliise,ferlüst,V;IND;PRS;2;SG,0.0,3.1481481481481494e-05
ferliise,hääwe ferlääsen,V;IND;PST;PRF;1;PL,0.0,3.1481481481481494e-05
ferliise,heet ferlääsen,V;IND;PST;PRF;3;SG,0.0,3.1481481481481494e-05
ferliise,heet ferlääsen,V;IND;PST;PRF;3;SG,0.0,3.1481481481481494e-05
ferliise,heet ferlääsen,V;IND;PST;PRF;3;SG,0.0,3.1481481481481494e-05
ferliise,häin ferlääsen,V;IND;PST;RMT;PRF;2;DU,0.0,3.1481481481481494e-05
ferliise,ferliise,V;IND;PRS;2;DU,0.0001,3.1481481481481494e-05
ferliise,ferliise,V;NFIN,0.0001,3.1481481481481494e-05
