lemma,form,paradigm_slot,form_freq,lemma_freq
ferjitte,fergetten,V;IND;PST;PL,0.00016,9.615384615384615e-05
ferjitte,ferjit,V;IMP,7e-05,9.615384615384615e-05
ferjitte,ferget,V;IND;PST;1;SG,2e-05,9.615384615384615e-05
ferjitte,ferjit,V;IND;PRS;1;SG,7e-05,9.615384615384615e-05
ferjitte,ferget,V;IND;PST;PFV;3;SG,2e-05,9.615384615384615e-05
ferjitte,fergetst,V;IND;PST;2;SG,0.0,9.615384615384615e-05
ferjitte,ferjitte,V;IND;PRS;PL,0.00025,9.615384615384615e-05
ferjitte,ferjit,V;IND;PRS;3;SG,7e-05,9.615384615384615e-05
ferjitte,ferjitten,V;NFIN,7e-05,9.615384615384615e-05
ferjitte,ferget,V;IND;PST;3;SG,2e-05,9.615384615384615e-05
ferjitte,ferjitte,V;NFIN,0.00025,9.615384615384615e-05
ferjitte,ferjitte,V;NFIN,0.00025,9.615384615384615e-05
ferjitte,ferjitst,V;IND;PRS;2;SG,0.0,9.615384615384615e-05
feroarje,feroaren,V;IND;PST;PL,2e-05,0.0006061538461538461
feroarje,feroarje,V;IMP,0.00054,0.0006061538461538461
feroarje,feroare,V;IND;PST;1;SG,0.0015,0.0006061538461538461
feroarje,feroarje,V;IND;PRS;1;SG,0.00054,0.0006061538461538461
feroarje,feroare,V;IND;PST;PFV;3;SG,0.0015,0.0006061538461538461
feroarje,feroarest,V;IND;PST;2;SG,0.0,0.0006061538461538461
feroarje,feroarje,V;IND;PRS;PL,0.00054,0.0006061538461538461
feroarje,feroaret,V;IND;PRS;3;SG,0.00047,0.0006061538461538461
feroarje,feroarjen,V;NFIN,0.00019,0.0006061538461538461
feroarje,feroare,V;IND;PST;3;SG,0.0015,0.0006061538461538461
feroarje,feroarje,V;NFIN,0.00054,0.0006061538461538461
feroarje,feroarje,V;NFIN,0.00054,0.0006061538461538461
feroarje,feroarest,V;IND;PRS;2;SG,0.0,0.0006061538461538461
ferstean,ferstienest,V;IND;PST;2;PL,0.0,2.142857142857143e-05
ferstean,ferstie,V;IND;PST;3;SG,0.0,2.142857142857143e-05
ferstean,ferstean,V;IND;PRS;1;SG,0.0001,2.142857142857143e-05
ferstean,ferstienest,V;IND;PST;3;PL,0.0,2.142857142857143e-05
ferstean,fersteane,V;IND;PRS;2;PL,0.0,2.142857142857143e-05
ferstean,ferstean,V;IMP,0.0001,2.142857142857143e-05
ferstean,ferstie,V;IND;PST;1;SG,0.0,2.142857142857143e-05
ferstean,fersteane,V;IND;PRS;3;PL,0.0,2.142857142857143e-05
ferstean,ferstean,V;NFIN,0.0001,2.142857142857143e-05
ferstean,fersteanst,V;IND;PRS;2;SG,0.0,2.142857142857143e-05
ferstean,ferstiest,V;IND;PST;2;SG,0.0,2.142857142857143e-05
ferstean,fersteane,V;IND;PRS;1;PL,0.0,2.142857142857143e-05
ferstean,ferstienest,V;IND;PST;1;PL,0.0,2.142857142857143e-05
ferstean,fersteant,V;IND;PRS;3;SG,0.0,2.142857142857143e-05
fetsje,fetten,V;IND;PST;PL,3e-05,1.153846153846154e-05
fetsje,fetsje,V;IMP,0.0,1.153846153846154e-05
fetsje,fette,V;IND;PST;1;SG,4e-05,1.153846153846154e-05
fetsje,fetsje,V;IND;PRS;1;SG,0.0,1.153846153846154e-05
fetsje,fette,V;IND;PST;PFV;3;SG,4e-05,1.153846153846154e-05
fetsje,fettest,V;IND;PST;2;SG,0.0,1.153846153846154e-05
fetsje,fetsje,V;IND;PRS;PL,0.0,1.153846153846154e-05
fetsje,fettet,V;IND;PRS;3;SG,0.0,1.153846153846154e-05
fetsje,fetsjen,V;NFIN,0.0,1.153846153846154e-05
fetsje,fette,V;IND;PST;3;SG,4e-05,1.153846153846154e-05
fetsje,fetsje,V;NFIN,0.0,1.153846153846154e-05
fetsje,fetsje,V;NFIN,0.0,1.153846153846154e-05
fetsje,fettest,V;IND;PRS;2;SG,0.0,1.153846153846154e-05
flústerje,flústeren,V;IND;PST;PL,0.0,1.5384615384615385e-06
flústerje,flústerje,V;IMP,0.0,1.5384615384615385e-06
flústerje,flústere,V;IND;PST;1;SG,0.0,1.5384615384615385e-06
flústerje,flústerje,V;IND;PRS;1;SG,0.0,1.5384615384615385e-06
flústerje,flústere,V;IND;PST;PFV;3;SG,0.0,1.5384615384615385e-06
flústerje,flústerest,V;IND;PST;2;SG,0.0,1.5384615384615385e-06
flústerje,flústerje,V;IND;PRS;PL,0.0,1.5384615384615385e-06
flústerje,flústeret,V;IND;PRS;3;SG,1e-05,1.5384615384615385e-06
flústerje,flústerjen,V;NFIN,1e-05,1.5384615384615385e-06
flústerje,flústere,V;IND;PST;3;SG,0.0,1.5384615384615385e-06
flústerje,flústerje,V;NFIN,0.0,1.5384615384615385e-06
flústerje,flústerje,V;NFIN,0.0,1.5384615384615385e-06
flústerje,flústerest,V;IND;PRS;2;SG,0.0,1.5384615384615385e-06
freegje,fregen,V;IND;PST;PL,0.00015,0.0010738461538461537
freegje,freegje,V;IMP,0.00085,0.0010738461538461537
freegje,frege,V;IND;PST;1;SG,0.00264,0.0010738461538461537
freegje,freegje,V;IND;PRS;1;SG,0.00085,0.0010738461538461537
freegje,frege,V;IND;PST;PFV;3;SG,0.00264,0.0010738461538461537
freegje,fregest,V;IND;PST;2;SG,0.0,0.0010738461538461537
freegje,freegje,V;IND;PRS;PL,0.00085,0.0010738461538461537
freegje,freget,V;IND;PRS;3;SG,0.00138,0.0010738461538461537
freegje,freegjen,V;NFIN,0.00026,0.0010738461538461537
freegje,frege,V;IND;PST;3;SG,0.00264,0.0010738461538461537
freegje,freegje,V;NFIN,0.00085,0.0010738461538461537
freegje,freegje,V;NFIN,0.00085,0.0010738461538461537
freegje,fregest,V;IND;PRS;2;SG,0.0,0.0010738461538461537
gean,gienen,V;IND;PST;2;PL,0.00036,0.004510714285714285
