lemma,form,paradigm_slot
bi,bi,"V;NFIN"
bi,bi,"V;HAB;PRS"
bi,biko,"V;HAB;NEG;PRS"
bi,ŋbi,"V;PRS"
bi,biee,"V;NEG;PRS"
bi,bi,"V;HAB;PST"
bi,biee,"V;HAB;NEG;PST"
bi,baabi,"V;HAB;FUT"
bi,biee,"V;HAB;NEG;FUT"
fɔflɔ,fɔflɔ,"V;NFIN"
fɔflɔ,fɔflɔ,"V;HAB;PRS"
fɔflɔ,fɔflɔko,"V;HAB;NEG;PRS"
fɔflɔ,ŋfɔflɔ,"V;PRS"
fɔflɔ,fɔflɔee,"V;NEG;PRS"
fɔflɔ,fɔflɔ,"V;HAB;PST"
fɔflɔ,fɔflɔee,"V;HAB;NEG;PST"
fɔflɔ,baafɔflɔ,"V;HAB;FUT"
fɔflɔ,fɔflɔee,"V;HAB;NEG;FUT"
he,he,"V;NFIN"
he,he,"V;HAB;PRS"
he,heko,"V;HAB;NEG;PRS"
he,ŋhe,"V;PRS"
he,heee,"V;NEG;PRS"
he,he,"V;HAB;PST"
he,heee,"V;HAB;NEG;PST"
he,baahe,"V;HAB;FUT"
he,heee,"V;HAB;NEG;FUT"
tsɛ,tsɛ,"V;NFIN"
tsɛ,tsɛ,"V;HAB;PRS"
tsɛ,tsɛko,"V;HAB;NEG;PRS"
tsɛ,ŋtsɛ,"V;PRS"
tsɛ,tsɛee,"V;NEG;PRS"
tsɛ,tsɛ,"V;HAB;PST"
tsɛ,tsɛee,"V;HAB;NEG;PST"
tsɛ,baatsɛ,"V;HAB;FUT"
tsɛ,tsɛee,"V;HAB;NEG;FUT"
mɔ,mɔ,"V;NFIN"
mɔ,mɔ,"V;HAB;PRS"
mɔ,mɔko,"V;HAB;NEG;PRS"
mɔ,ŋmɔ,"V;PRS"
mɔ,mɔee,"V;NEG;PRS"
mɔ,mɔ,"V;HAB;PST"
mɔ,mɔee,"V;HAB;NEG;PST"
mɔ,baamɔ,"V;HAB;FUT"
mɔ,mɔee,"V;HAB;NEG;FUT"
kpe,kpe,"V;NFIN"
kpe,kpe,"V;HAB;PRS"
kpe,kpeko,"V;HAB;NEG;PRS"
kpe,ŋkpe,"V;PRS"
kpe,kpeee,"V;NEG;PRS"
kpe,kpe,"V;HAB;PST"
kpe,kpeee,"V;HAB;NEG;PST"
kpe,baakpe,"V;HAB;FUT"
kpe,kpeee,"V;HAB;NEG;FUT"
kɔɔ,kɔɔ,"V;NFIN"
kɔɔ,kɔɔ,"V;HAB;PRS"
kɔɔ,kɔɔko,"V;HAB;NEG;PRS"
kɔɔ,ŋkɔɔ,"V;PRS"
kɔɔ,kɔɔee,"V;NEG;PRS"
kɔɔ,kɔɔ,"V;HAB;PST"
kɔɔ,kɔɔee,"V;HAB;NEG;PST"
kɔɔ,baakɔɔ,"V;HAB;FUT"
kɔɔ,kɔɔee,"V;HAB;NEG;FUT"
ŋa,ŋa,"V;NFIN"
ŋa,ŋa,"V;HAB;PRS"
ŋa,ŋako,"V;HAB;NEG;PRS"
ŋa,ŋŋa,"V;PRS"
ŋa,ŋaee,"V;NEG;PRS"
ŋa,ŋa,"V;HAB;PST"
ŋa,ŋaee,"V;HAB;NEG;PST"
ŋa,baaŋa,"V;HAB;FUT"
ŋa,ŋaee,"V;HAB;NEG;FUT"
ba,ba,"V;NFIN"
ba,ba,"V;HAB;PRS"
ba,bako,"V;HAB;NEG;PRS"
ba,ŋba,"V;PRS"
ba,baee,"V;NEG;PRS"
ba,ba,"V;HAB;PST"
ba,baee,"V;HAB;NEG;PST"
ba,baaba,"V;HAB;FUT"
ba,baee,"V;HAB;NEG;FUT"
wɔlɔmɔ,wɔlɔmɔ,"V;NFIN"
wɔlɔmɔ,wɔlɔmɔ,"V;HAB;PRS"
wɔlɔmɔ,wɔlɔmɔko,"V;HAB;NEG;PRS"
wɔlɔmɔ,ŋwɔlɔmɔ,"V;PRS"
wɔlɔmɔ,wɔlɔmɔee,"V;NEG;PRS"
wɔlɔmɔ,wɔlɔmɔ,"V;HAB;PST"
wɔlɔmɔ,wɔlɔmɔee,"V;HAB;NEG;PST"
wɔlɔmɔ,baawɔlɔmɔ,"V;HAB;FUT"
wɔlɔmɔ,wɔlɔmɔee,"V;HAB;NEG;FUT"
fo,fo,"V;NFIN"
fo,fo,"V;HAB;PRS"
fo,foko,"V;HAB;NEG;PRS"
fo,ŋfo,"V;PRS"
fo,foee,"V;NEG;PRS"
fo,fo,"V;HAB;PST"
fo,foee,"V;HAB;NEG;PST"
fo,baafo,"V;HAB;FUT"
fo,foee,"V;HAB;NEG;FUT"
joo,joo,"V;NFIN"
joo,joo,"V;HAB;PRS"
joo,jooko,"V;HAB;NEG;PRS"
joo,ŋjoo,"V;PRS"
joo,jooee,"V;NEG;PRS"
joo,joo,"V;HAB;PST"
joo,jooee,"V;HAB;NEG;PST"
joo,baajoo,"V;HAB;FUT"
joo,jooee,"V;HAB;NEG;FUT"
gbo,gbo,"V;NFIN"
gbo,gbo,"V;HAB;PRS"
gbo,gboko,"V;HAB;NEG;PRS"
gbo,ŋgbo,"V;PRS"
gbo,gboee,"V;NEG;PRS"
gbo,gbo,"V;HAB;PST"
gbo,gboee,"V;HAB;NEG;PST"
gbo,baagbo,"V;HAB;FUT"
gbo,gboee,"V;HAB;NEG;FUT"
tsa,tsa,"V;NFIN"
tsa,tsa,"V;HAB;PRS"
tsa,tsako,"V;HAB;NEG;PRS"
tsa,ŋtsa,"V;PRS"
tsa,tsaee,"V;NEG;PRS"
tsa,tsa,"V;HAB;PST"
tsa,tsaee,"V;HAB;NEG;PST"
tsa,baatsa,"V;HAB;FUT"
tsa,tsaee,"V;HAB;NEG;FUT"
jaa,jaa,"V;NFIN"
jaa,jaa,"V;HAB;PRS"
jaa,jaako,"V;HAB;NEG;PRS"
jaa,ŋjaa,"V;PRS"
jaa,jaaee,"V;NEG;PRS"
jaa,jaa,"V;HAB;PST"
jaa,jaaee,"V;HAB;NEG;PST"
jaa,baajaa,"V;HAB;FUT"
jaa,jaaee,"V;HAB;NEG;FUT"
wɔdɔi,wɔdɔi,"V;NFIN"
wɔdɔi,wɔdɔi,"V;HAB;PRS"
wɔdɔi,wɔdɔiko,"V;HAB;NEG;PRS"
wɔdɔi,ŋwɔdɔi,"V;PRS"
wɔdɔi,wɔdɔiee,"V;NEG;PRS"
wɔdɔi,wɔdɔi,"V;HAB;PST"
wɔdɔi,wɔdɔiee,"V;HAB;NEG;PST"
wɔdɔi,baawɔdɔi,"V;HAB;FUT"
wɔdɔi,wɔdɔiee,"V;HAB;NEG;FUT"
la,la,"V;NFIN"
la,la,"V;HAB;PRS"
la,lako,"V;HAB;NEG;PRS"
la,ŋla,"V;PRS"
la,laee,"V;NEG;PRS"
la,la,"V;HAB;PST"
la,laee,"V;HAB;NEG;PST"
la,baala,"V;HAB;FUT"
la,laee,"V;HAB;NEG;FUT"
nu,nu,"V;NFIN"
nu,nu,"V;HAB;PRS"
nu,nuko,"V;HAB;NEG;PRS"
nu,ŋnu,"V;PRS"
nu,nuee,"V;NEG;PRS"
nu,nu,"V;HAB;PST"
nu,nuee,"V;HAB;NEG;PST"
nu,baanu,"V;HAB;FUT"
nu,nuee,"V;HAB;NEG;FUT"
gbi,gbi,"V;NFIN"
gbi,gbi,"V;HAB;PRS"
gbi,gbiko,"V;HAB;NEG;PRS"
gbi,ŋgbi,"V;PRS"
gbi,gbiee,"V;NEG;PRS"
gbi,gbi,"V;HAB;PST"
gbi,gbiee,"V;HAB;NEG;PST"
gbi,baagbi,"V;HAB;FUT"
gbi,gbiee,"V;HAB;NEG;FUT"
ye,ye,"V;NFIN"
ye,ye,"V;HAB;PRS"
ye,yeko,"V;HAB;NEG;PRS"
ye,ŋye,"V;PRS"
ye,yeee,"V;NEG;PRS"
ye,ye,"V;HAB;PST"
ye,yeee,"V;HAB;NEG;PST"
ye,baaye,"V;HAB;FUT"
ye,yeee,"V;HAB;NEG;FUT"
blɛ,blɛ,"V;NFIN"
blɛ,blɛ,"V;HAB;PRS"
blɛ,blɛko,"V;HAB;NEG;PRS"
blɛ,ŋblɛ,"V;PRS"
blɛ,blɛee,"V;NEG;PRS"
blɛ,blɛ,"V;HAB;PST"
blɛ,blɛee,"V;HAB;NEG;PST"
blɛ,baablɛ,"V;HAB;FUT"
blɛ,blɛee,"V;HAB;NEG;FUT"
faa,faa,"V;NFIN"
faa,faa,"V;HAB;PRS"
faa,faako,"V;HAB;NEG;PRS"
faa,ŋfaa,"V;PRS"
faa,faaee,"V;NEG;PRS"
faa,faa,"V;HAB;PST"
faa,faaee,"V;HAB;NEG;PST"
faa,baafaa,"V;HAB;FUT"
faa,faaee,"V;HAB;NEG;FUT"
kota,kota,"V;NFIN"
kota,kota,"V;HAB;PRS"
kota,kotako,"V;HAB;NEG;PRS"
kota,ŋkota,"V;PRS"
kota,kotaee,"V;NEG;PRS"
kota,kota,"V;HAB;PST"
kota,kotaee,"V;HAB;NEG;PST"
kota,baakota,"V;HAB;FUT"
kota,kotaee,"V;HAB;NEG;FUT"
ha,ha,"V;NFIN"
ha,ha,"V;HAB;PRS"
ha,hako,"V;HAB;NEG;PRS"
ha,ŋha,"V;PRS"
ha,haee,"V;NEG;PRS"
ha,ha,"V;HAB;PST"
ha,haee,"V;HAB;NEG;PST"
ha,baaha,"V;HAB;FUT"
ha,haee,"V;HAB;NEG;FUT"
fɔ,fɔ,"V;NFIN"
