lemma,form,paradigm_slot,form_freq,lemma_freq
greannaigh,go ngreannaí tú,V;2;SG;SBJV;PRS,0.0,5.291005291005291e-08
greannaigh,a ghreannaíodh,V;REL;PST;HAB;IND,0.0,5.291005291005291e-08
greannaigh,a ghreannóidh,V;REL;FUT;IND,0.0,5.291005291005291e-08
greannaigh,greannaím,V;1;SG;IMP,0.0,5.291005291005291e-08
greannaigh,ghreannaítí,V;AUTO;PST;HAB;IND,0.0,5.291005291005291e-08
greannaigh,greannóidh siad,V;3;PL;FUT;IND,0.0,5.291005291005291e-08
greannaigh,a ghreannaíonn,V;REL;PRS;IND,0.0,5.291005291005291e-08
greannaigh,greannaítear,V;AUTO;IMP,0.0,5.291005291005291e-08
greannaigh,greannóimid,V;1;PL;FUT;IND,0.0,5.291005291005291e-08
greannaigh,ghreannófá,V;2;SG;COND,0.0,5.291005291005291e-08
greannaigh,greannaímis,V;1;PL;IMP,0.0,5.291005291005291e-08
greannaigh,greannóidh mé,V;1;SG;FUT;IND,0.0,5.291005291005291e-08
greannaigh,a ghreannaigh,V;REL;PST;IND,0.0,5.291005291005291e-08
greannaigh,greannaímid,V;1;PL;PRS;IND,0.0,5.291005291005291e-08
greannaigh,dá ngreannaíodh sibh,V;2;PL;SBJV;PST,0.0,5.291005291005291e-08
greannaigh,greannófar,V;AUTO;FUT;IND,0.0,5.291005291005291e-08
greannaigh,go ngreannaí sé,V;3;SG;SBJV;PRS,0.0,5.291005291005291e-08
greannaigh,a ghreannódh,V;REL;COND,0.0,5.291005291005291e-08
greannaigh,ghreannaigh sé,V;3;SG;PST;IND,0.0,5.291005291005291e-08
greannaigh,greannaítear,V;AUTO;PRS;IND,0.0,5.291005291005291e-08
greannaigh,dá ngreannaínn,V;1;SG;SBJV;PST,0.0,5.291005291005291e-08
greannaigh,go ngreannaí sibh,V;2;PL;SBJV;PRS,0.0,5.291005291005291e-08
greannaigh,ghreannaímis,V;1;PL;PST;HAB;IND,0.0,5.291005291005291e-08
greannaigh,ghreannódh sé,V;3;SG;COND,0.0,5.291005291005291e-08
greannaigh,greannaithe,V;V.PTCP;PST,3.3333333333333333e-06,5.291005291005291e-08
greannaigh,go ngreannaí mé,V;1;SG;SBJV;PRS,0.0,5.291005291005291e-08
greannaigh,ghreannaigh siad,V;3;PL;PST;IND,0.0,5.291005291005291e-08
greannaigh,greannaím,V;1;SG;PRS;IND,0.0,5.291005291005291e-08
greannaigh,dá ngreannaídís,V;3;PL;SBJV;PST,0.0,5.291005291005291e-08
greannaigh,greannóidh sé,V;3;SG;FUT;IND,0.0,5.291005291005291e-08
greannaigh,ghreannaínn,V;1;SG;PST;HAB;IND,0.0,5.291005291005291e-08
greannaigh,ghreannóimis,V;1;PL;COND,0.0,5.291005291005291e-08
greannaigh,ghreannaigh tú,V;2;SG;PST;IND,0.0,5.291005291005291e-08
greannaigh,greannaíonn sibh,V;2;PL;PRS;IND,0.0,5.291005291005291e-08
greannaigh,ghreannóidís,V;3;PL;COND,0.0,5.291005291005291e-08
greannaigh,dá ngreannaíteá,V;2;SG;SBJV;PST,0.0,5.291005291005291e-08
greannaigh,ghreannaíodh sibh,V;2;PL;PST;HAB;IND,0.0,5.291005291005291e-08
greannaigh,go ngreannaítear,V;AUTO;SBJV;PRS,0.0,5.291005291005291e-08
greannaigh,greannaíodh sé,V;3;SG;IMP,0.0,5.291005291005291e-08
greannaigh,greannóidh sibh,V;2;PL;FUT;IND,0.0,5.291005291005291e-08
greannaigh,go ngreannaí siad,V;3;PL;SBJV;PRS,0.0,5.291005291005291e-08
greannaigh,go ngreannaímid,V;1;PL;SBJV;PRS,0.0,5.291005291005291e-08
greannaigh,greannaíonn tú,V;2;SG;PRS;IND,0.0,5.291005291005291e-08
greannaigh,greannú,V;V.MSDR,0.0,5.291005291005291e-08
greannaigh,ghreannófaí,V;AUTO;COND,0.0,5.291005291005291e-08
greannaigh,ghreannaíteá,V;2;SG;PST;HAB;IND,0.0,5.291005291005291e-08
greannaigh,greannaídís,V;3;PL;IMP,0.0,5.291005291005291e-08
greannaigh,ghreannódh sibh,V;2;PL;COND,0.0,5.291005291005291e-08
greannaigh,ghreannaigh sibh,V;2;PL;PST;IND,0.0,5.291005291005291e-08
greannaigh,greannaíonn siad,V;3;PL;PRS;IND,0.0,5.291005291005291e-08
greannaigh,dá ngreannaíodh sé,V;3;SG;SBJV;PST,0.0,5.291005291005291e-08
greannaigh,ghreannaídís,V;3;PL;PST;HAB;IND,0.0,5.291005291005291e-08
greannaigh,greannaigh,V;2;SG;IMP,0.0,5.291005291005291e-08
greannaigh,greannóidh tú,V;2;SG;FUT;IND,0.0,5.291005291005291e-08
greannaigh,ghreannóinn,V;1;SG;COND,0.0,5.291005291005291e-08
greannaigh,ghreannaigh mé,V;1;SG;PST;IND,0.0,5.291005291005291e-08
greannaigh,greannaíodh,V;AUTO;PST;IND,0.0,5.291005291005291e-08
