lemma,form,paradigm_slot
gēven,gēvest,V;IND;SG;2;PRS
gēven,gifst,V;IND;SG;2;PRS
gēven,gâven,V;IND;PL;PST
gēven,gêven,V;IND;PL;PST
gēven,gêvest,V;SBJV;SG;2;PST
gēven,gēvet,V;SBJV;SG;3;PRS
gēven,gêve,V;SBJV;SG;3;PST
gēven,gēve,V;IND;SG;1;PRS
gēven,gēven,V;IND;PL;PRS
gēven,tô gēvene,V;NFIN
gēven,tô gēvende,V;NFIN
gēven,gêven,V;SBJV;PL;PST
gēven,gaf,V;IND;SG;1;PST
gēven,gēvest,V;SBJV;SG;2;PRS
gēven,gēvet,V;IND;SG;3;PRS
gēven,gift,V;IND;SG;3;PRS
gēven,gēvet,V;IMP;PL;2
gēven,gēven,V;NFIN
gēven,gēve,V;SBJV;SG;1;PRS
gēven,gâvest,V;IND;SG;2;PST
gēven,gêvest,V;IND;SG;2;PST
gēven,gēven,V;SBJV;PL;PRS
gēven,gif,V;IMP;SG;2
gēven,gêve,V;SBJV;SG;1;PST
gēven,gaf,V;IND;SG;3;PST
afwâschen,wâschen,V;IND;PL;PRS
afwâschen,wâsche af,V;IND;SG;1;PRS
afwâschen,afwö̂sche,V;SBJV;SG;1;PST
afwâschen,wôsch af,V;IND;SG;3;PST
afwâschen,afwôsch,V;IND;SG;3;PST
afwâschen,af tô wâschene,V;NFIN
afwâschen,af tô wâschende,V;NFIN
afwâschen,afwēschest,V;IND;SG;2;PRS
afwâschen,afwaschest,V;IND;SG;2;PRS
afwâschen,afwâschen,V;SBJV;PL;PRS
afwâschen,wö̂sche af,V;SBJV;SG;1;PST
afwâschen,afwôschen,V;IND;PL;PST
afwâschen,afwö̂schen,V;IND;PL;PST
afwâschen,wâschest af,V;SBJV;SG;2;PRS
afwâschen,wôschen,V;IND;PL;PST
afwâschen,wö̂schen af,V;IND;PL;PST
afwâschen,afwâschet,V;SBJV;SG;3;PRS
afwâschen,wâschet af,V;IMP;PL;2
afwâschen,afwâsche,V;IND;SG;1;PRS
afwâschen,wēschet,V;IND;SG;3;PRS
afwâschen,wâschet af,V;IND;SG;3;PRS
afwâschen,afwö̂schest,V;SBJV;SG;2;PST
afwâschen,afwâschen,V;NFIN
afwâschen,wâschen af,V;SBJV;PL;PRS
afwâschen,wö̂sche af,V;SBJV;SG;3;PST
afwâschen,wö̂schest af,V;SBJV;SG;2;PST
afwâschen,afwö̂sche,V;SBJV;SG;3;PST
afwâschen,afwâschest,V;SBJV;SG;2;PRS
afwâschen,wâsche af,V;SBJV;SG;1;PRS
afwâschen,afwâschen,V;IND;PL;PRS
afwâschen,wēschest,V;IND;SG;2;PRS
afwâschen,wâschest af,V;IND;SG;2;PRS
afwâschen,afwôsch,V;IND;SG;1;PST
afwâschen,afwö̂schen,V;SBJV;PL;PST
afwâschen,wâsch af,V;IMP;SG;2
afwâschen,afwôschest,V;IND;SG;2;PST
afwâschen,afwö̂schest,V;IND;SG;2;PST
afwâschen,wôsch af,V;IND;SG;1;PST
afwâschen,wâschet af,V;SBJV;SG;3;PRS
afwâschen,afwēschet,V;IND;SG;3;PRS
afwâschen,afwaschet,V;IND;SG;3;PRS
afwâschen,wö̂schen af,V;SBJV;PL;PST
afwâschen,afwâsche,V;SBJV;SG;1;PRS
afwâschen,wôschest,V;IND;SG;2;PST
afwâschen,wö̂schest af,V;IND;SG;2;PST
afwölteren,wölteren,V;IND;PL;PRS
afwölteren,wöltere af,V;IND;SG;1;PRS
afwölteren,afwölterede,V;SBJV;SG;1;PST
afwölteren,wölterede af,V;IND;SG;3;PST
afwölteren,afwölterede,V;IND;SG;3;PST
afwölteren,af tô wölterene,V;NFIN
afwölteren,af tô wölterende,V;NFIN
afwölteren,afwölterest,V;IND;SG;2;PRS
afwölteren,afwölteren,V;SBJV;PL;PRS
afwölteren,wölterede af,V;SBJV;SG;1;PST
afwölteren,afwöltereden,V;IND;PL;PST
afwölteren,wölterest af,V;SBJV;SG;2;PRS
afwölteren,wöltereden af,V;IND;PL;PST
afwölteren,afwölteret,V;SBJV;SG;3;PRS
afwölteren,wölteret af,V;IMP;PL;2
afwölteren,afwöltere,V;IND;SG;1;PRS
afwölteren,wölteret af,V;IND;SG;3;PRS
afwölteren,afwölteredest,V;SBJV;SG;2;PST
afwölteren,afwölteren,V;NFIN
afwölteren,wölteren af,V;SBJV;PL;PRS
afwölteren,wölterede af,V;SBJV;SG;3;PST
afwölteren,wölteredest af,V;SBJV;SG;2;PST
afwölteren,afwölterede,V;SBJV;SG;3;PST
afwölteren,afwölterest,V;SBJV;SG;2;PRS
afwölteren,wöltere af,V;SBJV;SG;1;PRS
afwölteren,afwölteren,V;IND;PL;PRS
afwölteren,wölterest af,V;IND;SG;2;PRS
afwölteren,afwölterede,V;IND;SG;1;PST
afwölteren,afwöltereden,V;SBJV;PL;PST
afwölteren,wöltere af,V;IMP;SG;2
afwölteren,afwölteredest,V;IND;SG;2;PST
afwölteren,wölterede af,V;IND;SG;1;PST
afwölteren,wölteret af,V;SBJV;SG;3;PRS
afwölteren,afwölteret,V;IND;SG;3;PRS
afwölteren,wöltereden af,V;SBJV;PL;PST
afwölteren,afwöltere,V;SBJV;SG;1;PRS
afwölteren,wölteredest af,V;IND;SG;2;PST
helpen,helpest,V;IND;SG;2;PRS
helpen,helpst,V;IND;SG;2;PRS
helpen,hulpen,V;IND;PL;PST
helpen,hülpen,V;IND;PL;PST
helpen,hülpest,V;SBJV;SG;2;PST
helpen,helpet,V;SBJV;SG;3;PRS
helpen,hülpe,V;SBJV;SG;3;PST
helpen,helpe,V;IND;SG;1;PRS
helpen,helpen,V;IND;PL;PRS
helpen,tô helpene,V;NFIN
helpen,tô helpende,V;NFIN
helpen,hülpen,V;SBJV;PL;PST
helpen,halp,V;IND;SG;1;PST
helpen,helpest,V;SBJV;SG;2;PRS
helpen,helpet,V;IND;SG;3;PRS
helpen,helpt,V;IND;SG;3;PRS
helpen,helpet,V;IMP;PL;2
helpen,helpen,V;NFIN
helpen,helpe,V;SBJV;SG;1;PRS
helpen,hulpest,V;IND;SG;2;PST
helpen,hülpest,V;IND;SG;2;PST
helpen,helpen,V;SBJV;PL;PRS
helpen,help,V;IMP;SG;2
helpen,hülpe,V;SBJV;SG;1;PST
helpen,halp,V;IND;SG;3;PST
jachteren,jachterest,V;IND;SG;2;PRS
jachteren,jachtereden,V;IND;PL;PST
jachteren,jachteredest,V;SBJV;SG;2;PST
jachteren,jachteret,V;SBJV;SG;3;PRS
jachteren,jachterede,V;SBJV;SG;3;PST
jachteren,jachtere,V;IND;SG;1;PRS
jachteren,jachteren,V;IND;PL;PRS
jachteren,tô jachterene,V;NFIN
jachteren,tô jachterende,V;NFIN
jachteren,jachtereden,V;SBJV;PL;PST
jachteren,jachterede,V;IND;SG;1;PST
jachteren,jachterest,V;SBJV;SG;2;PRS
jachteren,jachteret,V;IND;SG;3;PRS
jachteren,jachteret,V;IMP;PL;2
jachteren,jachteren,V;NFIN
jachteren,jachtere,V;SBJV;SG;1;PRS
jachteren,jachteredest,V;IND;SG;2;PST
jachteren,jachteren,V;SBJV;PL;PRS
jachteren,jachtere,V;IMP;SG;2
jachteren,jachterede,V;SBJV;SG;1;PST
jachteren,jachterede,V;IND;SG;3;PST
jāgen,jāgest,V;IND;SG;2;PRS
jāgen,jāgeden,V;IND;PL;PST
jāgen,jāgedest,V;SBJV;SG;2;PST
jāgen,jāget,V;SBJV;SG;3;PRS
jāgen,jāgede,V;SBJV;SG;3;PST
jāgen,jāge,V;IND;SG;1;PRS
jāgen,jāgen,V;IND;PL;PRS
jāgen,tô jāgene,V;NFIN
jāgen,tô jāgende,V;NFIN
jāgen,jāgeden,V;SBJV;PL;PST
jāgen,jāgede,V;IND;SG;1;PST
jāgen,jāgest,V;SBJV;SG;2;PRS
jāgen,jāget,V;IND;SG;3;PRS
jāgen,jāget,V;IMP;PL;2
jāgen,jāgen,V;NFIN
jāgen,jāge,V;SBJV;SG;1;PRS
