lemma,form,paradigm_slot,form_freq,lemma_freq
વાપરવું,વાપરવાનું,"V;V.MSDR
",3e-05,2.7987421383647805e-05
વાપરવું,વાપરી,"V;LGSPEC1
",0.0002666666666666667,2.7987421383647805e-05
વાપરવું,વાપરીને,"V;LGSPEC2
",8.666666666666667e-05,2.7987421383647805e-05
વાપરવું,વાપરવું હોવું,"V;OPT
",0.0,2.7987421383647805e-05
વાપરવું,વાપરી શકવું,"V;POT
",0.0,2.7987421383647805e-05
વાપરવું,વપરાય,"V;PASS
",0.00025333333333333333,2.7987421383647805e-05
વાપરવું,વાપરત,"V;LGSPEC3
",0.0,2.7987421383647805e-05
વાપરવું,વાપરું,"V;COND;POS;1;SG
",6.666666666666667e-06,2.7987421383647805e-05
વાપરવું,વાપરું,"V;IND;PRS;POS;1;SG
",6.666666666666667e-06,2.7987421383647805e-05
વાપરવું,વાપરીશ,"V;IND;FUT;POS;1;SG
",0.0,2.7987421383647805e-05
વાપરવું,વાપરું છું,"V;IND;PRS;PROG;POS;1;SG
",0.0,2.7987421383647805e-05
વાપરવું,નહીં વાપરું,"V;IND;FUT;NEG;1;SG
",0.0,2.7987421383647805e-05
વાપરવું,ન વાપરું,"V;COND;NEG;1;SG
",0.0,2.7987421383647805e-05
વાપરવું,વાપરીએ,"V;COND;POS;1;PL
",6.666666666666667e-06,2.7987421383647805e-05
વાપરવું,વાપરીએ,"V;IND;PRS;POS;1;PL
",6.666666666666667e-06,2.7987421383647805e-05
વાપરવું,વાપરીશું,"V;IND;FUT;POS;1;PL
",3.3333333333333333e-06,2.7987421383647805e-05
વાપરવું,વાપરીએ છીએ,"V;IND;PRS;PROG;POS;1;PL
",0.0,2.7987421383647805e-05
વાપરવું,નહીં વાપરીએ,"V;IND;FUT;NEG;1;PL
",0.0,2.7987421383647805e-05
વાપરવું,ન વાપરીએ,"V;COND;NEG;1;PL
",0.0,2.7987421383647805e-05
વાપરવું,વાપરે,"V;COND;POS;2;SG
",0.00014666666666666666,2.7987421383647805e-05
વાપરવું,વાપરે,"V;IND;PRS;POS;2;SG
",0.00014666666666666666,2.7987421383647805e-05
વાપરવું,વાપરશે,"V;IND;FUT;POS;2;SG
",3.6666666666666666e-05,2.7987421383647805e-05
વાપરવું,વાપરીશ,"V;IND;FUT;POS;2;SG
",0.0,2.7987421383647805e-05
વાપરવું,વાપરે છે,"V;IND;PRS;PROG;POS;2;SG
",0.0,2.7987421383647805e-05
વાપરવું,નહીં વાપરે,"V;IND;FUT;NEG;2;SG
",0.0,2.7987421383647805e-05
વાપરવું,ન વાપરે,"V;COND;NEG;2;SG
",0.0,2.7987421383647805e-05
વાપરવું,વાપરે,"V;COND;POS;3;SG+PL
",0.00014666666666666666,2.7987421383647805e-05
વાપરવું,વાપરે,"V;IND;PRS;POS;3;SG+PL
",0.00014666666666666666,2.7987421383647805e-05
વાપરવું,વાપરશે,"V;IND;FUT;POS;3;SG+PL
",3.6666666666666666e-05,2.7987421383647805e-05
વાપરવું,વાપરે છે,"V;IND;PRS;PROG;POS;3;SG+PL
",0.0,2.7987421383647805e-05
વાપરવું,નહીં વાપરે,"V;IND;FUT;NEG;3;SG+PL
",0.0,2.7987421383647805e-05
વાપરવું,ન વાપરે,"V;COND;NEG;3;SG+PL
",0.0,2.7987421383647805e-05
વાપરવું,વાપરો,"V;COND;POS;2;PL
",6.333333333333333e-05,2.7987421383647805e-05
વાપરવું,વાપરો,"V;IND;PRS;POS;2;PL
",6.333333333333333e-05,2.7987421383647805e-05
વાપરવું,વાપરશો,"V;IND;FUT;POS;2;PL
",3.3333333333333333e-06,2.7987421383647805e-05
વાપરવું,વાપરો છો,"V;IND;PRS;PROG;POS;2;PL
",0.0,2.7987421383647805e-05
વાપરવું,નહીં વાપરો,"V;IND;FUT;NEG;2;PL
",0.0,2.7987421383647805e-05
વાપરવું,ન વાપરો,"V;COND;NEG;2;PL
",0.0,2.7987421383647805e-05
વાપરવું,નથી વાપરતું,"V;IND;PRS;PROG;NEG
",0.0,2.7987421383647805e-05
વાપરવું,વાપર્યું,"V;IND;PST;POS
",2e-05,2.7987421383647805e-05
વાપરવું,નહોતું વાપર્યું,"V;IND;PST;NEG
",0.0,2.7987421383647805e-05
વાપરવું,વાપરતું હતું,"V;IND;PST;PROG;POS
",0.0,2.7987421383647805e-05
વાપરવું,વાપરતું હોવું,"V;IND;FUT;PROG;POS
",0.0,2.7987421383647805e-05
