lemma,form,paradigm_slot,form_freq,lemma_freq
אבד,אבד,V;3;SG;PST;MASC,8.5e-05,2.907142857142857e-05
אבד,אבדה,V;3;SG;PST;FEM,7.9e-05,2.907142857142857e-05
אבד,אבדו,V;3;PL;PST,4.7e-05,2.907142857142857e-05
אבד,אבדו,V;2;PL;IMP;MASC,4.7e-05,2.907142857142857e-05
אבד,אבדי,V;2;SG;IMP;FEM,0.0,2.907142857142857e-05
אבד,אבדנו,V;1;PL;PST,2e-06,2.907142857142857e-05
אבד,אבדת,V;2;SG;PST;MASC,2e-06,2.907142857142857e-05
אבד,אבדת,V;2;SG;PST;FEM,2e-06,2.907142857142857e-05
אבד,אבדתי,V;1;SG;PST,7e-06,2.907142857142857e-05
אבד,אבדתם,V;2;PL;PST;MASC,0.0,2.907142857142857e-05
אבד,אבדתן,V;2;PL;PST;FEM,0.0,2.907142857142857e-05
אבד,אבוד,V;2;SG;IMP;MASC,0.000133,2.907142857142857e-05
אבד,אבודנה,V;2;PL;IMP;FEM,0.0,2.907142857142857e-05
אבד,אובד,V;SG;PRS;MASC,3.3e-05,2.907142857142857e-05
אבד,אובד,V;1;SG;FUT,3.3e-05,2.907142857142857e-05
אבד,אובדות,V;PL;PRS;FEM,1e-06,2.907142857142857e-05
אבד,אובדים,V;PL;PRS;MASC,6e-06,2.907142857142857e-05
אבד,אובדת,V;SG;PRS;FEM,1.8e-05,2.907142857142857e-05
אבד,יאבד,V;3;SG;FUT;MASC,6.6e-05,2.907142857142857e-05
אבד,יאבדו,V;3;PL;FUT;MASC,6.5e-05,2.907142857142857e-05
אבד,לאבוד,V;NFIN,0.0,2.907142857142857e-05
אבד,נאבד,V;1;PL;FUT,4e-05,2.907142857142857e-05
אבד,תאבד,V;2;SG;FUT;MASC,6.2e-05,2.907142857142857e-05
אבד,תאבד,V;3;SG;FUT;FEM,6.2e-05,2.907142857142857e-05
אבד,תאבדו,V;2;PL;FUT;MASC,1.8e-05,2.907142857142857e-05
אבד,תאבדי,V;2;SG;FUT;FEM,2e-06,2.907142857142857e-05
אבד,תאבדנה,V;2;PL;FUT;FEM,2e-06,2.907142857142857e-05
אבד,תאבדנה,V;3;PL;FUT;FEM,2e-06,2.907142857142857e-05
אגר,אאגור,V;1;SG;FUT,0.0,1.5607142857142858e-05
אגר,אגור,V;2;SG;IMP;MASC,1.1e-05,1.5607142857142858e-05
אגר,אגורנה,V;2;PL;IMP;FEM,0.0,1.5607142857142858e-05
אגר,אגר,V;3;SG;PST;MASC,3.2e-05,1.5607142857142858e-05
אגר,אגרה,V;3;SG;PST;FEM,8.3e-05,1.5607142857142858e-05
אגר,אגרו,V;3;PL;PST,6e-06,1.5607142857142858e-05
אגר,אגרו,V;2;PL;IMP;MASC,6e-06,1.5607142857142858e-05
אגר,אגרי,V;2;SG;IMP;FEM,0.0,1.5607142857142858e-05
אגר,אגרנו,V;1;PL;PST,0.0,1.5607142857142858e-05
אגר,אגרת,V;2;SG;PST;MASC,0.000107,1.5607142857142858e-05
אגר,אגרת,V;2;SG;PST;FEM,0.000107,1.5607142857142858e-05
אגר,אגרתי,V;1;SG;PST,0.0,1.5607142857142858e-05
אגר,אגרתם,V;2;PL;PST;MASC,0.0,1.5607142857142858e-05
אגר,אגרתן,V;2;PL;PST;FEM,0.0,1.5607142857142858e-05
אגר,אוגר,V;SG;PRS;MASC,1.8e-05,1.5607142857142858e-05
אגר,אוגרות,V;PL;PRS;FEM,4e-06,1.5607142857142858e-05
אגר,אוגרים,V;PL;PRS;MASC,1.3e-05,1.5607142857142858e-05
אגר,אוגרת,V;SG;PRS;FEM,7e-06,1.5607142857142858e-05
