lemma,form,paradigm_slot
karen,karen,V;NFIN
karen,kāy,V;IND;PST;PFV;1;SG
karen,kov,V;IND;PST;PFV;2;SG
karen,kayi,V;IND;PST;PFV;3;SG
karen,kām,V;IND;PST;PFV;1;PL
karen,kām,V;IND;PST;PFV;2;PL
karen,kavān,V;IND;PST;PFV;3;PL
karen,kardusu,V;IND;PST;IPFV;1;SG;MASC
karen,kardiyu,V;IND;PST;IPFV;2;SG;MASC
karen,kardu,V;IND;PST;IPFV;3;SG;MASC
karen,kardesaiyav,V;IND;PST;IPFV;1;PL;MASC
karen,kardāsu,V;IND;PST;IPFV;2;PL;MASC
karen,kardaiyav,V;IND;PST;IPFV;3;PL;MASC
karen,kardiyosu,V;IND;PST;IPFV;1;SG;FEM
karen,kardiyu,V;IND;PST;IPFV;2;SG;FEM
karen,kardiyu,V;IND;PST;IPFV;3;SG;FEM
karen,kardesaiyav,V;IND;PST;IPFV;1;PL;FEM
karen,kardāsu,V;IND;PST;IPFV;2;PL;FEM
karen,kardaiyav,V;IND;PST;IPFV;3;PL;FEM
karen,kari,V;IND;PRES;IPFV;1;SG
karen,kare,V;IND;PRES;IPFV;2;SG
karen,kerav,V;IND;PRES;IPFV;3;SG
karen,karā,V;IND;PRES;IPFV;1;PL
karen,kares,V;IND;PRES;IPFV;2;PL
karen,karen,V;IND;PRES;IPFV;3;PL
karen,keremay,V;IND;PRES;PROG
karen,keraiya,V;SUBJ;PRES;3;SG
xāyen,xāyen,V;NFIN
xāyen,xāvoy,V;IND;PST;PFV;1;SG
xāyen,xāvayi,V;IND;PST;PFV;3;SG
xāyen,xāyi,V;IND;PRES;IPFV;1;SG
xāyen,xāndusu,V;IND;PST;IPFV;1;SG;MASC
xāyen,xāndu,V;IND;PST;IPFV;3;SG;MASC
xāyen,xāndesaiyav,V;IND;PST;IPFV;1;PL;MASC
xāyen,xāmay,V;IND;PRES;PROG
xāyen,xāiya,V;SUBJ;PRES;1;SG
xāyen,xāyaiya,V;SUBJ;PRES;3;SG
xāyen,xāyoiya,V;SUBJ;PRES;1;PL
xāyen,xāyisiya,V;SUBJ;PRES;2;PL
vadden,vadden,V;NFIN
vadden,vaddayi,V;IND;PST;PFV;3;SG
vadden,vaddavān,V;IND;PST;PFV;3;PL
čʰiyen,čʰiyen,V;NFIN
čʰiyen,čʰenayi,V;IND;PST;PFV;3;SG
paren,paren,V;NFIN
paren,parayi,V;IND;PST;PFV;3;SG
diyen,diyen,V;NFIN
diyen,dayi,V;IND;PST;PFV;3;SG
diyen,davān,V;IND;PST;PFV;3;PL
liyen,liyen,V;NFIN
liyen,lavān,V;IND;PST;PFV;3;PL
sagen,sagen,V;NFIN
sagen,segayi,V;IND;PST;PFV;3;SG
vezen,vezen,V;NFIN
vezen,vezayi,V;IND;PST;PFV;3;SG
kadden,kadden,V;NFIN
kadden,kaddayi,V;IND;PST;PFV;3;SG
genen,genen,V;NFIN
genen,genavān,V;IND;PST;PFV;3;PL
semen,semen,V;NFIN
semen,semi,V;IND;PRES;IPFV;1;SG
semen,sāttos,V;IND;PRES;PFV;1;SG;MASC
semen,semiya,V;SUBJ;PRES;1;SG
ačen,ačen,V;NFIN
ačen,āvos,V;IND;PRES;PFV;1;SG;MASC
ačen,āve,V;IND;PRES;PFV;2;SG;MASC
ačen,āo,V;IND;PRES;PFV;3;SG;MASC
ačen,āvesā,V;IND;PRES;PFV;1;PL;MASC
ačen,āvās,V;IND;PRES;PFV;2;PL;MASC
ačen,āvā,V;IND;PRES;PFV;3;PL;MASC
ačen,āiyās,V;IND;PRES;PFV;1;SG;FEM
ačen,āi,V;IND;PRES;PFV;2;SG;FEM
ačen,āi,V;IND;PRES;PFV;3;SG;FEM
ačen,āvesā,V;IND;PRES;PFV;1;PL;FEM
ačen,āvās,V;IND;PRES;PFV;2;PL;FEM
ačen,āvā,V;IND;PRES;PFV;3;PL;FEM
ačen,ači,V;IND;PRES;IPFV;1;SG
ačen,ače,V;IND;PRES;IPFV;2;SG
ačen,ečav,V;IND;PRES;IPFV;3;SG
ačen,ačā,V;IND;PRES;IPFV;1;PL
ačen,ačes,V;IND;PRES;IPFV;2;PL
ačen,ačen,V;IND;PRES;IPFV;3;PL
ačen,ačendiyu,V;IND;PST;IPFV;2;SG;MASC
ačen,ačendu,V;IND;PST;IPFV;3;SG;MASC
ačen,ečemay,V;IND;PRES;PROG
vanen,vanen,V;NFIN
vanen,vani,V;IND;PRES;IPFV;1;SG
vanen,vanām,V;IND;PST;PFV;1;PL
vanen,viyos,V;IND;PRES;PFV;1;SG;MASC
vanen,venemay,V;IND;PRES;PROG
pʰenden,pʰenden,V;NFIN
pʰenden,pʰindoy,V;IND;PST;PFV;1;SG
