lemma,form,paradigm_slot,form_freq,lemma_freq
abad,berabad,V;ACT,8e-06,8e-06
abadi,abadikan,V;ACT;APPL,1.4e-05,5.763636363636364e-05
abadi,abadikan,V;ACT;CAUS,1.4e-05,5.763636363636364e-05
abadi,abadikan,V;ACT;TR,1.4e-05,5.763636363636364e-05
abadi,diabadikan,V;PASS;APPL,7.3e-05,5.763636363636364e-05
abadi,diabadikan,V;PASS;CAUS,7.3e-05,5.763636363636364e-05
abadi,diabadikan,V;PASS;TR,7.3e-05,5.763636363636364e-05
abadi,mengabadikan,V;ACT;APPL,0.000115,5.763636363636364e-05
abadi,mengabadikan,V;ACT;CAUS,0.000115,5.763636363636364e-05
abadi,mengabadikan,V;ACT;TR,0.000115,5.763636363636364e-05
abadi,mengabadikannya,V;ACT;DEF,1.4e-05,5.763636363636364e-05
abadi,mengabadikannya,V;ACT;PSS3S;DEF,1.4e-05,5.763636363636364e-05
abai,abaikan,V;ACT;APPL,3.9e-05,0.00012299999999999998
abai,abaikan,V;ACT;CAUS,3.9e-05,0.00012299999999999998
abai,abaikan,V;ACT;TR,3.9e-05,0.00012299999999999998
abai,diabaikan,V;PASS;APPL,0.000215,0.00012299999999999998
abai,diabaikan,V;PASS;CAUS,0.000215,0.00012299999999999998
abai,diabaikan,V;PASS;TR,0.000215,0.00012299999999999998
abai,diabaikannya,V;PASS;DEF,4e-06,0.00012299999999999998
abai,diabaikannya,V;PASS;PSS3S;DEF,4e-06,0.00012299999999999998
abai,mengabaikan,V;ACT;APPL,0.000316,0.00012299999999999998
abai,mengabaikan,V;ACT;CAUS,0.000316,0.00012299999999999998
abai,mengabaikan,V;ACT;TR,0.000316,0.00012299999999999998
abai,mengabaikannya,V;ACT;DEF,1.4e-05,0.00012299999999999998
abai,mengabaikannya,V;ACT;PSS3S;DEF,1.4e-05,0.00012299999999999998
abai,terabaikan,V;PASS;APPL,7.4e-05,0.00012299999999999998
abai,terabaikan,V;PASS;CAUS,7.4e-05,0.00012299999999999998
abai,terabaikan,V;PASS;TR,7.4e-05,0.00012299999999999998
abdi,mengabdi,V;ACT,0.000303,0.00015375
abdi,mengabdikan,V;ACT;APPL,0.000104,0.00015375
abdi,mengabdikan,V;ACT;CAUS,0.000104,0.00015375
abdi,mengabdikan,V;ACT;TR,0.000104,0.00015375
absah,mengabsahkan,V;ACT;APPL,0.0,0.0
absah,mengabsahkan,V;ACT;CAUS,0.0,0.0
absah,mengabsahkan,V;ACT;TR,0.0,0.0
absen,absennya,V;ACT;DEF,1.8e-05,1.8e-05
absen,absennya,V;ACT;PSS3S;DEF,1.8e-05,1.8e-05
acak,diacak,V;PASS,8e-06,7.499999999999999e-06
acak,mengacak,V;ACT,7e-06,7.499999999999999e-06
acara,beracara,V;ACT,2.1e-05,2.1e-05
acu,diacu,V;PASS,1.1e-05,0.00017900000000000001
acu,mengacu,V;ACT,0.000884,0.00017900000000000001
acu,mengacukan,V;ACT;APPL,0.0,0.00017900000000000001
acu,mengacukan,V;ACT;CAUS,0.0,0.00017900000000000001
acu,mengacukan,V;ACT;TR,0.0,0.00017900000000000001
acuh,diacuhkan,V;PASS;APPL,5e-06,6.375e-06
acuh,diacuhkan,V;PASS;CAUS,5e-06,6.375e-06
acuh,diacuhkan,V;PASS;TR,5e-06,6.375e-06
acuh,mengacuhkan,V;ACT;APPL,1e-05,6.375e-06
acuh,mengacuhkan,V;ACT;CAUS,1e-05,6.375e-06
acuh,mengacuhkan,V;ACT;TR,1e-05,6.375e-06
