lemma,form,paradigm_slot,form_freq,lemma_freq
adda,addaðir,V;IND;PST;2;SG,0.0,4.074074074074075e-07
adda,addaðir,V;SBJV;PST;2;SG,0.0,4.074074074074075e-07
adda,addaði,V;IND;PST;1;SG,0.0,4.074074074074075e-07
adda,addaði,V;IND;PST;3;SG,0.0,4.074074074074075e-07
adda,addaði,V;SBJV;PST;1;SG,0.0,4.074074074074075e-07
adda,addaði,V;SBJV;PST;3;SG,0.0,4.074074074074075e-07
adda,addar,V;IND;PRS;2;SG,0.0,4.074074074074075e-07
adda,addar,V;IND;PRS;3;SG,0.0,4.074074074074075e-07
adda,adda,V;IMP;2;SG,2e-06,4.074074074074075e-07
adda,adda,V;IND;PRS;1;SG,2e-06,4.074074074074075e-07
adda,adda,V;IND;PRS;3;PL,2e-06,4.074074074074075e-07
adda,adda,V;NFIN,2e-06,4.074074074074075e-07
adda,addið,V;IMP;2;PL,1e-06,4.074074074074075e-07
adda,addið,V;IND;PRS;2;PL,1e-06,4.074074074074075e-07
adda,addið,V;SBJV;PRS;2;PL,1e-06,4.074074074074075e-07
adda,addir,V;SBJV;PRS;2;SG,0.0,4.074074074074075e-07
adda,addi,V;SBJV;PRS;1;SG,0.0,4.074074074074075e-07
adda,addi,V;SBJV;PRS;3;PL,0.0,4.074074074074075e-07
adda,addi,V;SBJV;PRS;3;SG,0.0,4.074074074074075e-07
adda,ödduðuð,V;IND;PST;2;PL,0.0,4.074074074074075e-07
adda,ödduðuð,V;SBJV;PST;2;PL,0.0,4.074074074074075e-07
adda,ödduðum,V;IND;PRS;1;PL,0.0,4.074074074074075e-07
adda,ödduðum,V;SBJV;PST;1;PL,0.0,4.074074074074075e-07
adda,ödduðu,V;IND;PST;3;PL,0.0,4.074074074074075e-07
adda,ödduðu,V;SBJV;PST;3;PL,0.0,4.074074074074075e-07
adda,öddum,V;IND;PRS;1;PL,0.0,4.074074074074075e-07
adda,öddum,V;SBJV;PRS;1;PL,0.0,4.074074074074075e-07
aðgreina,aðgreina,V;IND;PRS;3;PL,5.7e-05,8.370370370370369e-06
aðgreina,aðgreina,V;NFIN,5.7e-05,8.370370370370369e-06
