lemma,form,paradigm_slot
ajtat,xnajtatsx,V;FIN;IMP;ARGNO1P;ARGAB3S
altχt,altχten,V;FIN;IND;PST;SG;3
aluskʼvaˀ,aluskʼvaˀsen,V;FIN;IND;PRS;SG;3
alvolt,tʼalvoltaɬsxen,V;FIN;IND;FUT;ARGNO1S;ARGBE2P
alχt,nalχtk,V;FIN;IND;PST;PL;1
aɲčpә,aɲčpәzneˀn,V;FIN;IND;PRS;ARGNO3S;ARGAB3P
aɲɬo,aɲɬonen,V;FIN;IND;PST;ARGNO3S;ARGAB3S
aɲɬo,qʼaɲɬokzossx,V;FIN;IMP;ARGNO2P;ARGAB3S;IPFV
aɲɬo,qʼaɲɬoqzosx,V;FIN;IMP;ARGNO2P;ARGAB3S;IPFV
aɲɬom,aɲɬomqzaɬomneˀn,V;FIN;IND;PST;ARGNO3S;ARGAB1P;IPFV
aɲɬos,qʼaɲɬossx,V;FIN;IMP;ARGNO2P;ARGAB3S
aŋja,aŋjaqzoznen,V;FIN;IND;PRS;ARGNO3S;ARGAB3S;IPFV
aŋja,aŋjataznen,V;FIN;IND;PRS;ARGNO3S;ARGAB3S;ITER
aŋɬo,kʼaŋɬosx,V;FIN;IMP;ARGNO2P;ARGAB3S
axɬa,axɬatezneˀn,V;FIN;IND;PRS;ARGNO3S;ARGAB1P
buɬk,qbuɬkamiŋ,V;FIN;IMP;ARGNO2S;ARGAB1S
čaj,mčajak,V;FIN;IMP;SG;1
čaj,nčajak,V;FIN;IND;PST;PL;1
čaj,øčajazoč,V;FIN;IND;PRS;SG;3;ACTY
čaj,qčajasxč,V;FIN;IMP;SG;2
čaj,qčajatasxč,V;FIN;IMP;SG;2;ITER
čaj,tčajask,V;FIN;IND;SG;1;PRS
čajˀa,qčajˀasxč,V;FIN;IMP;SG;2
čan,nčanzozmiŋ,V;FIN;IMP;ARGNO3P;ARGAB1S;ACTY
čan,әnčanzozmiŋ,V;FIN;IND;PRS;ARGNO3P;ARGAB1S;ACTY
čankzo,tčankzoqzon,V;FIN;IND;PST;SG;1;IPFV
čanzo,čanzozoznen,V;FIN;IND;PRS;ARGNO3S;ARGAB3S;ACTY
čaqaˀɬ,čaqaˀɬqsuˀin,V;FIN;IND;PST;SG;3;IPFV
čava,qčavaqzoxčeˀn,V;FIN;IMP;ARGNO2S;ARGAB3P;IPFV
čava,qčavaqzuxč,V;FIN;IMP;SG;2;IPFV
čʼe,čʼesven,V;FIN;IND;PRS;SG;3
čʼe,mčʼekičen,V;FIN;IMP;SG;1
čʼe,qčʼexč,V;FIN;IMP;SG;2
čʼe,xančʼeveˀn,V;FIN;IMP;ARGNO3S;ARGAB3P
čefi,čefisč,V;FIN;IND;PRS;SG;3
čeɬ,kčeɬnin,V;FIN;IND;PST;ARGNO3S;ARGAB3P
čeɬ,nčeɬčen,V;FIN;IND;PST;ARGNO1P;ARGAB3P
čʼel,čʼelčŋin,V;FIN;IND;PST;ARGNO2S;ARGAB3S
čʼel,čʼelisčiŋnen,V;FIN;IND;PST;ARGNO3S;ARGAB3S
čʼel,čʼelmiŋ,V;FIN;IND;PST;ARGNO2S;ARGAB1S
čʼel,čʼelqzuznen,V;FIN;IND;PRS;ARGNO3S;ARGAB3S;IPFV
čʼel,mčʼelkičen,V;FIN;IMP;ARGNO1S;ARGAB3S
čʼel,nčʼelqzaɬen,V;FIN;IND;FUT;ARGNO1P;ARGAB3S;IPFV
čʼel,øčʼelatesčŋin,V;FIN;IND;FUT;ARGNO2S;ARGAB3S;ITER
čʼel,qčʼelx,V;FIN;IMP;ARGNO2S;ARGAB3S
čʼel,tčʼelan,V;FIN;IND;SG;1;PST
čʼel,tәnčʼelaɬčen,V;FIN;IND;FUT;ARGNO1S;ARGAB3S;CAUS
čʼeˀɬ,čʼeˀɬnen,V;FIN;IND;PST;ARGNO3S;ARGAB3S
čʼeˀɬ,qčʼeˀɬsx,V;FIN;IMP;ARGNO2P;ARGAB3S
čʼeˀɬ,qčʼeˀɬx,V;FIN;IMP;ARGNO2S;ARGAB3S
čʼela,čʼelasčŋin,V;FIN;IND;PRS;ARGNO2S;ARGAB3S
čʼeli,čʼelissxŋin,V;FIN;IND;PRS;ARGNO2P;ARGAB3P
čʼemxla,čʼemxlaqzoveˀn,V;FIN;IND;PL;3;PST;IPFV
čʼere,čʼerenoke,V;NFIN;PURP
čʼeti,čʼetitesč,V;FIN;IND;SG;2;PRS;ITER
čʼevel,әnčʼevelal’,V;NFIN;CAUS
či,čiqzuzen,V;FIN;IND;SG;3;PRS;IPFV
či,čiskipnen,V;FIN;IND;PRS;ARGNO3S;ARGBE3P
či,čizven,V;FIN;IND;PRS;SG;3
či,čizvin,V;FIN;IND;PRS;SG;3
či,tčiskičen,V;FIN;IND;SG;1;PRS
čil,nčilkičeˀn,V;FIN;IND;PST;ARGNO1P;ARGAB3P
čil,nčilknen,V;FIN;IND;PST;ARGNO3P;ARGAB3S
čʼiɬ,čʼiɬaɬč,V;FIN;IND;SG;2;FUT
čʼiɬ,qәnčʼiɬivisx,V;FIN;IMP;ARGNO2P;ARGAB3S;CAUS
čʼiɬ,tčʼiɬaɬk,V;FIN;IND;FUT;SG;1
čʼiɬi,čʼiɬivin,V;FIN;IND;PST;SG;3
čʼiɬi,enčʼiɬivnen,V;FIN;IND;PRS;ARGNO3S;ARGAB3S;CAUS
čʼiɬi,øčʼiɬilatesč,V;FIN;IND;PRS;SG;3;ITER
čʼiɬila,tčʼiɬilatesk,V;FIN;IND;PRS;SG;1;PST;ITER
čiˀŋi,čiˀŋisč,V;FIN;IND;PRS;SG;3
čiˀŋi,qčiˀŋinensx,V;FIN;IMP;ARGNO2P;ARGAB3S
čiˀŋiɬ,čiˀŋiɬqzučen,V;FIN;IND;PST;SG;3;IPFV
čiˀŋini,qčiˀŋinisx,V;FIN;IMP;PL;2
čʼiŋstel,čʼiŋsteleskinen,V;FIN;IND;PRS;ARGNO3S;ARGBE3S
čisxuŋ,tčisxuŋaɬčeˀn,V;FIN;OPT;PST;ARGNO1S;ARGAB3S
čki,qčkixčik,V;FIN;IMP;ARGNO2S;ARGAB3S
čki,tčkivaxen,V;FIN;IND;FUT;ARGNO1S;ARGAB2S
čkɬ,čkɬven,V;FIN;IND;PST;SG;3
čkɬ,čkɬvin,V;FIN;IND;PST;SG;3
čkɬ,nәɲčkɬiŋin,V;FIN;IND;PST;ARGNO3P;ARGAB3S;CAUS
čkʼɬ,čkʼɬeŋ,V;FIN;IND;PST;SG;3
čkʼɬ,čkʼɬxen,V;FIN;IND;PST;SG;3
čʼmam,čʼmamsč,V;FIN;IND;SG;2;PRS
čʼmamɬ,čʼmamɬqzosč,V;FIN;IND;SG;3;PRS;IPFV
čʼmilk,čʼmilkatezneˀn,V;FIN;IND;PRS;ARGNO3S;ARGAB1P
čŋel,čŋelesč,V;FIN;IND;SG;2;PRS
čʼŋel,čʼŋelesč,V;FIN;IND;SG;2;PRS
čʼŋel,čʼŋelesčen,V;FIN;IND;PRS;SG;3
