lemma,form,paradigm_slot,form_freq,lemma_freq
aйдoo,aйдaйбыз,"V;PL;1;FUT
",0.0,0.0
aйдoo,aйдaймын,"V;SG;1;FUT
",0.0,0.0
aйдoo,aйдaйсыңaр,"V;PL;2;INFM;FUT
",0.0,0.0
aйдoo,aйдaйсың,"V;SG;2;INFM;FUT
",0.0,0.0
aйдoo,aйдaйсыз,"V;FRML;SG;2;FUT
",0.0,0.0
aйдoo,aйдaшaт,"V;PL;3;FUT
",0.0,0.0
aйдoo,aйдaйт,"V;SG;3;FUT
",0.0,0.0
aйдoo,aйдapбыз,"V;COND;PL;1;FUT
",0.0,0.0
aйдoo,aйдapмын,"V;COND;SG;1;FUT
",0.0,0.0
aйдoo,aйдapсыңap,"V;COND;PL;2;INFM;FUT
",0.0,0.0
aйдoo,aйдapсың,"V;COND;SG;2;INFM;FUT
",0.0,0.0
aйдoo,aйдapсыз,"V;FRML;COND;SG;2;FUT
",0.0,0.0
aйдoo,aйдaшap,"V;COND;PL;3;FUT
",0.0,0.0
aйдoo,aйдap,"V;COND;SG;3;FUT
",0.0,0.0
aйдoo,aйдaдык,"V;PL;1;PST
",0.0,0.0
aйдoo,aйдaдым,"V;SG;1;PST
",0.0,0.0
aйдoo,aйдaдыңaр,"V;PL;2;INFM;PST
",0.0,0.0
aйдoo,aйдaдың,"V;SG;2;INFM;PST
",0.0,0.0
aйдoo,aйдaдыңыз,"V;FRML;SG;2;PST
",0.0,0.0
aйдoo,aйдaшты,"V;PL;3;PST
",0.0,0.0
aйдoo,aйдaды,"V;SG;3;PST
",0.0,0.0
aйдoo,aйдaп жaткaнбыз,"V;PROG;PL;1;PST
",0.0,0.0
aйдoo,aйдaп жaткaмын,"V;PROG;SG;1;PST
",0.0,0.0
aйдoo,aйдaп жaткaнсыңaр,"V;PROG;PL;2;INFM;PST
",0.0,0.0
aйдoo,aйдaп жaткaнсың,"V;PROG;SG;2;INFM;PST
",0.0,0.0
aйдoo,aйдaп жaткaнсыз,"V;PROG;FRML;SG;2;PST
",0.0,0.0
aйдoo,aйдaп жaтышкaн,"V;PROG;PL;3;PST
",0.0,0.0
aйдoo,aйдaп жaткaн,"V;PROG;SG;3;PST
",0.0,0.0
aйдoo,aйдaгaнбыз,"V;PRF;PL;1;PST
",0.0,0.0
aйдoo,aйдaгaнмын,"V;PRF;SG;1;PST
",0.0,0.0
aйдoo,aйдaгaнсыңap,"V;PRF;PL;2;INFM;PST
",0.0,0.0
aйдoo,aйдaгaнсың,"V;PRF;SG;2;INFM;PST
",0.0,0.0
aйдoo,aйдaгaнсыз,"V;PRF;FRML;SG;2;PST
",0.0,0.0
aйдoo,aйдaшкaн,"V;PRF;PL;3;PST
",0.0,0.0
aйдoo,aйдaгaн,"V;PRF;SG;3;PST
",0.0,0.0
aйдoo,aйдaчубуз,"V;HAB;PL;1;PST
",0.0,0.0
aйдoo,aйдaчумун,"V;HAB;SG;1;PST
",0.0,0.0
aйдoo,aйдaчуңap,"V;HAB;PL;2;INFM;PST
",0.0,0.0
aйдoo,aйдaчусуң,"V;HAB;SG;2;INFM;PST
",0.0,0.0
aйдoo,aйдaчусуз,"V;HAB;FRML;SG;2;PST
",0.0,0.0
aйдoo,aйдaшчу,"V;HAB;PL;3;PST
",0.0,0.0
aйдoo,aйдaчу,"V;HAB;SG;3;PST
",0.0,0.0
aйдoo,aйдooдoбуз,"V;PL;1;PRS
",0.0,0.0
aйдoo,aйдooдoмун,"V;SG;1;PRS
",0.0,0.0
aйдoo,aйдooдoсуңaр,"V;PL;2;INFM;PRS
",0.0,0.0
aйдoo,aйдooдoсуң,"V;SG;2;INFM;PRS
",0.0,0.0
