lemma,form,paradigm_slot,form_freq,lemma_freq
abstrahēt,abstrahēdams,V;V.PTCP;PRS;LGSPEC4,0.0,0.0
abstrahēt,abstrahējams,V;V.PTCP;PRS;PASS,0.0,0.0
abstrahēt,abstrahējam,V;1;PL;PRS;IND,0.0,0.0
abstrahēt,abstrahējām,V;1;PL;PST;IND,0.0,0.0
abstrahēt,abstrahējam,V;V.PTCP;PRS;LGSPEC6,0.0,0.0
abstrahēt,abstrahējat,V;2;PL;PRS;IND,0.0,0.0
abstrahēt,abstrahējāt,V;2;PL;PST;IND,0.0,0.0
abstrahēt,abstrahēja,V;3;PL;PST;IND,0.0,0.0
abstrahēt,abstrahēja,V;3;SG;PST;IND,0.0,0.0
abstrahēt,abstrahējiet,V;2;PL;IMP,0.0,0.0
abstrahēt,abstrahējis,V;V.PTCP;PST;ACT,0.0,0.0
abstrahēt,abstrahēji,V;2;SG;PST;IND,0.0,0.0
abstrahēt,abstrahējošs,V;V.PTCP;PRS;LGSPEC3,0.0,0.0
abstrahēt,abstrahējot,V;LGSPEC1;PRS,0.0,0.0
abstrahēt,abstrahējot,V;V.PTCP;PRS;LGSPEC5,0.0,0.0
abstrahēt,abstrahēju,V;1;SG;PRS;IND,0.0,0.0
abstrahēt,abstrahēju,V;1;SG;PST;IND,0.0,0.0
abstrahēt,abstrahēšana,V;V.MSDR,0.0,0.0
abstrahēt,abstrahēsim,V;1;PL;FUT;IND,0.0,0.0
abstrahēt,abstrahēsim,V;1;PL;IMP,0.0,0.0
abstrahēt,abstrahēsit,V;2;PL;FUT;IND,0.0,0.0
abstrahēt,abstrahēsi,V;2;SG;FUT;IND,0.0,0.0
abstrahēt,abstrahēšot,V;LGSPEC1;FUT,0.0,0.0
abstrahēt,abstrahēšu,V;1;SG;FUT;IND,0.0,0.0
abstrahēt,abstrahēs,V;3;PL;FUT;IND,0.0,0.0
abstrahēt,abstrahēs,V;3;SG;FUT;IND,0.0,0.0
abstrahēt,abstrahēts,V;V.PTCP;PST;PASS,0.0,0.0
abstrahēt,abstrahētu,V;COND;PRS,0.0,0.0
abstrahēt,abstrahēt,V;NFIN,0.0,0.0
abstrahēt,abstrahē,V;2;SG;IMP,0.0,0.0
abstrahēt,abstrahē,V;2;SG;PRS;IND,0.0,0.0
abstrahēt,abstrahē,V;3;PL;PRS;IND,0.0,0.0
abstrahēt,abstrahē,V;3;SG;PRS;IND,0.0,0.0
abstrahēt,būt jāabstrahē,V;LGSPEC2;IND,0.0,0.0
abstrahēt,būtu abstrahējis,V;COND;PST,0.0,0.0
abstrahēt,esot abstrahējis,V;LGSPEC1;PST,0.0,0.0
abstrahēt,esot jāabstrahē,V;LGSPEC2;LGSPEC7,0.0,0.0
abstrahēt,jāabstrahējot,V;LGSPEC2;LgSPEC8,0.0,0.0
abstrahēt,lai abstrahējot,V;LGSPEC1;IMP,0.0,0.0
abstrahēt,lai abstrahē,V;3;PL;IMP,0.0,0.0
abstrahēt,lai abstrahē,V;3;SG;IMP,0.0,0.0
abstrahēt,neabstrahēt,V;NFIN;NEG,0.0,0.0
adīt,adāms,V;V.PTCP;PRS;PASS,0.0,2.119047619047619e-06
adīt,adām,V;1;PL;PRS;IND,0.0,2.119047619047619e-06
adīt,adām,V;V.PTCP;PRS;LGSPEC6,0.0,2.119047619047619e-06
adīt,adāt,V;2;PL;PRS;IND,0.0,2.119047619047619e-06
adīt,ada,V;3;PL;PRS;IND,1.7e-05,2.119047619047619e-06
adīt,ada,V;3;SG;PRS;IND,1.7e-05,2.119047619047619e-06
adīt,adīdams,V;V.PTCP;PRS;LGSPEC4,0.0,2.119047619047619e-06
adīt,adiet,V;2;PL;IMP,0.0,2.119047619047619e-06
adīt,adījām,V;1;PL;PST;IND,0.0,2.119047619047619e-06
adīt,adījāt,V;2;PL;PST;IND,0.0,2.119047619047619e-06
adīt,adīja,V;3;PL;PST;IND,2e-06,2.119047619047619e-06
adīt,adīja,V;3;SG;PST;IND,2e-06,2.119047619047619e-06
adīt,adījis,V;V.PTCP;PST;ACT,0.0,2.119047619047619e-06
adīt,adīji,V;2;SG;PST;IND,0.0,2.119047619047619e-06
adīt,adīju,V;1;SG;PST;IND,3e-06,2.119047619047619e-06
adīt,adīšana,V;V.MSDR,4e-06,2.119047619047619e-06
adīt,adīsim,V;1;PL;FUT;IND,2e-06,2.119047619047619e-06
adīt,adīsim,V;1;PL;IMP,2e-06,2.119047619047619e-06
adīt,adīsit,V;2;PL;FUT;IND,0.0,2.119047619047619e-06
adīt,adīsi,V;2;SG;FUT;IND,0.0,2.119047619047619e-06
adīt,adīšot,V;LGSPEC1;FUT,0.0,2.119047619047619e-06
adīt,adīšu,V;1;SG;FUT;IND,1e-06,2.119047619047619e-06
adīt,adīs,V;3;PL;FUT;IND,0.0,2.119047619047619e-06
adīt,adīs,V;3;SG;FUT;IND,0.0,2.119047619047619e-06
adīt,adīts,V;V.PTCP;PST;PASS,5e-06,2.119047619047619e-06
adīt,adītu,V;COND;PRS,6e-06,2.119047619047619e-06
adīt,adīt,V;NFIN,1.5e-05,2.119047619047619e-06
adīt,adi,V;2;SG;IMP,0.0,2.119047619047619e-06
adīt,adi,V;2;SG;PRS;IND,0.0,2.119047619047619e-06
adīt,adošs,V;V.PTCP;PRS;LGSPEC3,0.0,2.119047619047619e-06
adīt,adot,V;LGSPEC1;PRS,6e-06,2.119047619047619e-06
adīt,adot,V;V.PTCP;PRS;LGSPEC5,6e-06,2.119047619047619e-06
adīt,adu,V;1;SG;PRS;IND,1e-06,2.119047619047619e-06
adīt,būt jāada,V;LGSPEC2;IND,0.0,2.119047619047619e-06
adīt,būtu adījis,V;COND;PST,0.0,2.119047619047619e-06
adīt,esot adījis,V;LGSPEC1;PST,0.0,2.119047619047619e-06
adīt,esot jāada,V;LGSPEC2;LGSPEC7,0.0,2.119047619047619e-06
adīt,jāadot,V;LGSPEC2;LgSPEC8,0.0,2.119047619047619e-06
adīt,lai ada,V;3;PL;IMP,0.0,2.119047619047619e-06
adīt,lai ada,V;3;SG;IMP,0.0,2.119047619047619e-06
adīt,lai adot,V;LGSPEC1;IMP,0.0,2.119047619047619e-06
adīt,neadīt,V;NFIN;NEG,0.0,2.119047619047619e-06
aizart,aizarams,V;V.PTCP;PRS;PASS,0.0,0.0
aizart,aizaram,V;1;PL;PRS;IND,0.0,0.0
aizart,aizarām,V;1;PL;PST;IND,0.0,0.0
aizart,aizaram,V;V.PTCP;PRS;LGSPEC6,0.0,0.0
aizart,aizarat,V;2;PL;PRS;IND,0.0,0.0
aizart,aizarāt,V;2;PL;PST;IND,0.0,0.0
aizart,aizara,V;3;PL;PST;IND,0.0,0.0
aizart,aizara,V;3;SG;PST;IND,0.0,0.0
aizart,aizardams,V;V.PTCP;PRS;LGSPEC4,0.0,0.0
aizart,aizariet,V;2;PL;IMP,0.0,0.0
aizart,aizaris,V;V.PTCP;PST;ACT,0.0,0.0
aizart,aizari,V;2;SG;PST;IND,0.0,0.0
aizart,aizarošs,V;V.PTCP;PRS;LGSPEC3,0.0,0.0
aizart,aizarot,V;LGSPEC1;PRS,0.0,0.0
aizart,aizarot,V;V.PTCP;PRS;LGSPEC5,0.0,0.0
aizart,aizaršana,V;V.MSDR,0.0,0.0
