lemma,form,paradigm_slot,form_freq,lemma_freq
gražinti,gražintų,V;3;SG;SBJV,4e-06,1.9387755102040814e-06
gražinti,gražindavęs,V;V.PTCP;PST;FREQ;ACT,0.0,1.9387755102040814e-06
gražinti,gražins,V;3;PL;FUT;IND,4e-06,1.9387755102040814e-06
gražinti,gražindavo,V;3;PL;PST;FREQ;IND,2e-06,1.9387755102040814e-06
gražinti,gražintas,V;V.PTCP;PST;PASS,4e-06,1.9387755102040814e-06
gražinti,gražinu,V;1;SG;PRS;IND,1e-06,1.9387755102040814e-06
gražinti,gražinsi,V;2;SG;FUT;IND,0.0,1.9387755102040814e-06
gražinti,gražina,V;3;PL;PRS;IND,1.5e-05,1.9387755102040814e-06
gražinti,gražindavau,V;1;SG;PST;FREQ;IND,0.0,1.9387755102040814e-06
gražinti,gražinkite,V;2;PL;IMP,3e-06,1.9387755102040814e-06
gražinti,gražintum,V;2;SG;SBJV,0.0,1.9387755102040814e-06
gražinti,gražini,V;2;SG;PRS;IND,1e-06,1.9387755102040814e-06
gražinti,gražindavus,V;V.PTCP;ADV;PST;FREQ;ACT,0.0,1.9387755102040814e-06
gražinti,gražintų,V;3;PL;SBJV,4e-06,1.9387755102040814e-06
gražinti,gražinome,V;1;PL;PST;IND,1e-06,1.9387755102040814e-06
gražinti,gražins,V;3;SG;FUT;IND,4e-06,1.9387755102040814e-06
gražinti,gražinęs,V;V.PTCP;PST;ACT,1e-06,1.9387755102040814e-06
gražinti,gražinate,V;2;PL;PRS;IND,0.0,1.9387755102040814e-06
gražinti,gražinte,V;V.PTCP;LGSPEC3,0.0,1.9387755102040814e-06
gražinti,tegražina,V;3;PL;IMP,0.0,1.9387755102040814e-06
gražinti,gražindavo,V;3;SG;PST;FREQ;IND,2e-06,1.9387755102040814e-06
gražinti,gražinau,V;1;SG;PST;IND,0.0,1.9387755102040814e-06
gražinti,gražinsime,V;1;PL;FUT;IND,2e-06,1.9387755102040814e-06
gražinti,gražindavome,V;1;PL;PST;FREQ;IND,0.0,1.9387755102040814e-06
gražinti,gražinsimas,V;V.PTCP;FUT;PASS,0.0,1.9387755102040814e-06
gražinti,gražink,V;2;SG;IMP,2e-06,1.9387755102040814e-06
gražinti,gražinčiau,V;1;SG;SBJV,0.0,1.9387755102040814e-06
gražinti,gražinote,V;2;PL;PST;IND,0.0,1.9387755102040814e-06
gražinti,gražinus,V;V.PTCP;ADV;PST;ACT,0.0,1.9387755102040814e-06
gražinti,gražindamas,V;V.PTCP;ADV;LGSPEC2;ACT,0.0,1.9387755102040814e-06
gražinti,gražiname,V;1;PL;PRS;IND,2e-06,1.9387755102040814e-06
gražinti,gražintumėte,V;2;PL;SBJV,0.0,1.9387755102040814e-06
gražinti,gražinąs,V;V.PTCP;PRS;ACT,0.0,1.9387755102040814e-06
gražinti,gražinai,V;2;SG;PST;IND,0.0,1.9387755102040814e-06
gražinti,gražinsite,V;2;PL;FUT;IND,0.0,1.9387755102040814e-06
