lemma,form,paradigm_slot
jellõ,algõd jelāgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;2
jellõ,iz jel,V;ACT;FIN;IND;NEG;PST;SG;1
jellõ,lībõd jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;3
jellõ,jelāgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;3
jellõ,jelāgid!,V;ACT;FIN;IMP;PRS;POS;PL;2
jellõ,äb lītõ jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3;LGSPEC5
jellõ,äb līt jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3
jellõ,jelākstõ,V;ACT;FIN;COND;POS;PRS;PL;2
jellõ,līmõ jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1;LGSPEC5
jellõ,līm jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;SG;1
jellõ,algõ jelāg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;2
jellõ,jelāg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;2
jellõ,iz jelām,V;ACT;FIN;IND;NEG;PST;PL;1
jellõ,jelājid,V;ACT;FIN;QUOT;POS;PRS;PL;1
jellõ,jelāks,V;ACT;FIN;COND;POS;PRS;SG;1
jellõ,līb jellõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;1
jellõ,ät jelāt,V;ACT;FIN;IND;NEG;PRS;PL;2
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;SG;3
jellõ,äb līmõ jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1;LGSPEC5
jellõ,äb līm jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1
jellõ,algõd jelāgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;3
jellõ,jelājid,V;ACT;FIN;QUOT;POS;PRS;PL;3
jellõ,äb jelāks,V;ACT;FIN;COND;NEG;PRS;SG;3
jellõ,jelāb,V;ACT;FIN;IND;POS;PRS;SG;3
jellõ,jelāgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;2
jellõ,äb jel,V;ACT;FIN;IND;NEG;PRS;SG;1
jellõ,äb lī jellõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;3
jellõ,jelīzmõ,V;ACT;FIN;IND;POS;PST;PL;1
jellõ,jelājid,V;ACT;FIN;QUOT;POS;PRS;PL;2
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;SG;2
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;PL;2
jellõ,algõ jelāg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;3
jellõ,jelāg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;1
jellõ,jelām,V;LGSPEC3
jellõ,jelāksmõ,V;ACT;FIN;COND;POS;PRS;PL;1
jellõ,jelābõd,V;ACT;FIN;IND;POS;PRS;PL;3
jellõ,äb jelāt,V;ACT;FIN;IND;NEG;PRS;PL;3
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;PL;3
jellõ,līb jellõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;3
jellõ,jelīz,V;ACT;FIN;IND;POS;PST;SG;1
jellõ,jelāmõt,V;LGSPEC4
jellõ,äb jelāksmõ,V;ACT;FIN;COND;NEG;PRS;PL;1
jellõ,jelād,V;ACT;FIN;IND;POS;PRS;SG;2
jellõ,jellõ,V;INF
jellõ,äd jel,V;ACT;FIN;IND;NEG;PRS;SG;2
jellõ,algid jelāgid!,V;ACT;FIN;IMP;PRS;NEG;PL;2
jellõ,jelīztõ,V;ACT;FIN;IND;POS;PST;PL;2
jellõ,iz jel,V;ACT;FIN;IND;NEG;PST;SG;3
jellõ,jelāji,V;ACT;FIN;QUOT;POS;PRS;SG;2
jellõ,ät lītõ jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2;LGSPEC5
jellõ,ät līt jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2
jellõ,jelāt,V;ACT;FIN;IND;POS;PRS;PL;2
jellõ,jeldõd,V;PASS;V.PTCP
jellõ,ät jelākstõ,V;ACT;FIN;COND;NEG;PRS;PL;2
jellõ,jelāks,V;ACT;FIN;COND;POS;PRS;SG;3
jellõ,algõd jelāgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;1
jellõ,äb lī jellõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;1
jellõ,jelāji,V;ACT;FIN;QUOT;POS;PRS;SG;1
jellõ,jelīzt,V;ACT;FIN;IND;POS;PST;SG;2
jellõ,jelāgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;1
jellõ,izt jelāt,V;ACT;FIN;IND;NEG;PST;PL;3
jellõ,äb jelāks,V;ACT;FIN;COND;NEG;PRS;SG;1
jellõ,lītõ jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2;LGSPEC5
jellõ,līt jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2
jellõ,jelā!,V;ACT;FIN;IMP;PRS;POS;SG;2
jellõ,äb jel,V;ACT;FIN;IND;NEG;PRS;SG;3
jellõ,jelākst,V;ACT;FIN;COND;POS;PRS;SG;2
jellõ,jelīztõ,V;ACT;FIN;IND;POS;PST;PL;3
jellõ,jellõs,V;LGSPEC2
jellõ,jellõn,V;ACT;V.PTCP
jellõ,izt jel,V;ACT;FIN;IND;NEG;PST;SG;2
jellõ,jelām,V;ACT;FIN;IND;POS;PRS;PL;1
jellõ,jelāb,V;ACT;FIN;IND;POS;PRS;SG;1
jellõ,jelāji,V;ACT;FIN;QUOT;POS;PRS;SG;3
jellõ,äb jelākstõ,V;ACT;FIN;COND;NEG;PRS;PL;3
jellõ,jelākstõ,V;ACT;FIN;COND;POS;PRS;PL;3
jellõ,alā jellõ!,V;ACT;FIN;IMP;PRS;NEG;SG;2
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;PL;1
jellõ,jelīz,V;ACT;FIN;IND;POS;PST;SG;3
jellõ,algõ jelāg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;1
jellõ,jelāg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;3
jellõ,izt jelāt,V;ACT;FIN;IND;NEG;PST;PL;2
jellõ,äd jelākst,V;ACT;FIN;COND;NEG;PRS;SG;2
jellõ,äd lī jellõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;2
jellõ,līd jellõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;2
jellõ,äb jelām,V;ACT;FIN;IND;NEG;PRS;PL;1
kūlõ,algõd kūlõgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;2
kūlõ,iz kūl,V;ACT;FIN;IND;NEG;PST;SG;1
kūlõ,lībõd kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;3
kūlõ,kūlõgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;3
kūlõ,kūlõgid!,V;ACT;FIN;IMP;PRS;POS;PL;2
kūlõ,äb lītõ kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3;LGSPEC5
kūlõ,äb līt kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3
kūlõ,kūlõkstõ,V;ACT;FIN;COND;POS;PRS;PL;2
kūlõ,līmõ kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1;LGSPEC5
kūlõ,līm kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;SG;1
kūlõ,algõ kūlõg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;2
kūlõ,kūlõg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;2
kūlõ,iz kūlõm,V;ACT;FIN;IND;NEG;PST;PL;1
kūlõ,kūlijid,V;ACT;FIN;QUOT;POS;PRS;PL;1
kūlõ,kūlõks,V;ACT;FIN;COND;POS;PRS;SG;1
kūlõ,līb kūlõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;1
kūlõ,ät kūlõt,V;ACT;FIN;IND;NEG;PRS;PL;2
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;SG;3
kūlõ,äb līmõ kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1;LGSPEC5
kūlõ,äb līm kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1
