lemma,form,paradigm_slot,form_freq,lemma_freq
kiriza,kiriza,"V;NFIN
",0.0,8.406060606060606e-05
kiriza,nzikiriza,"V;1;PRS
",0.00045,8.406060606060606e-05
kiriza,okkiriza,"V;2;PRS
",4.3333333333333334e-05,8.406060606060606e-05
kiriza,akkiriza,"V;3;PRS
",0.00025333333333333333,8.406060606060606e-05
kiriza,tukkiriza,"V;PL;1;PRS
",5.6666666666666664e-05,8.406060606060606e-05
kiriza,mukkiriza,"V;PL;2;PRS
",0.00011333333333333333,8.406060606060606e-05
kiriza,bakkiriza,"V;PL;3;PRS
",0.00068,8.406060606060606e-05
kiriza,nakkiriza,"V;1;FUT+IMMED
",0.00012333333333333334,8.406060606060606e-05
kiriza,onokkiriza,"V;2;FUT+IMMED
",0.0,8.406060606060606e-05
kiriza,anakkiriza,"V;3;FUT+IMMED
",5.6666666666666664e-05,8.406060606060606e-05
kiriza,tunakkiriza,"V;PL;1;FUT+IMMED
",0.0,8.406060606060606e-05
kiriza,munakkiriza,"V;PL;2;FUT+IMMED
",0.0,8.406060606060606e-05
kiriza,banakkiriza,"V;PL;3;FUT+IMMED
",3.3333333333333333e-06,8.406060606060606e-05
kiriza,ndikkiriza,"V;1;FUT+RMT
",0.0,8.406060606060606e-05
kiriza,olikkiriza,"V;2;FUT+RMT
",0.0,8.406060606060606e-05
kiriza,alikkiriza,"V;3;FUT+RMT
",3.3333333333333333e-06,8.406060606060606e-05
kiriza,tulikkiriza,"V;PL;1;FUT+RMT
",0.0,8.406060606060606e-05
kiriza,mulikkiriza,"V;PL;2;FUT+RMT
",0.0,8.406060606060606e-05
kiriza,balikkiriza,"V;PL;3;FUT+RMT
",0.0,8.406060606060606e-05
kiriza,nzikirizza,"V;SG;1;PST+RCT
",7.333333333333333e-05,8.406060606060606e-05
kiriza,okkirizza,"V;SG;2;PST+RCT
",1e-05,8.406060606060606e-05
kiriza,akkirizza,"V;SG;3;PST+RCT
",0.00044333333333333334,8.406060606060606e-05
kiriza,tukkirizza,"V;PL;1;PST+RCT
",3.3333333333333333e-06,8.406060606060606e-05
kiriza,mukkirizza,"V;PL;2;PST+RCT
",0.0,8.406060606060606e-05
kiriza,bakkirizza,"V;PL;3;PST+RCT
",0.00023666666666666665,8.406060606060606e-05
kiriza,nakkirizza,"V;1;PST+RCT
",1e-05,8.406060606060606e-05
kiriza,wakkirizza,"V;2;PST+RCT
",3.3333333333333333e-06,8.406060606060606e-05
kiriza,yakkirizza,"V;3;PST+RCT
",0.0005266666666666667,8.406060606060606e-05
kiriza,twakkirizza,"V;PL;1;PST+RCT
",3.3333333333333333e-06,8.406060606060606e-05
kiriza,mwakkirizza,"V;PL;2;PST+RCT
",0.0,8.406060606060606e-05
kiriza,bakkirizza,"V;PL;3;PST+RCT
",0.00023666666666666665,8.406060606060606e-05
kiriza,nakkiriza,"V;1;PST+RMT
",0.00012333333333333334,8.406060606060606e-05
kiriza,wakkiriza,"V;2;PST+RMT
",0.0,8.406060606060606e-05
kiriza,yakkiriza,"V;3;PST+RMT
",0.00044,8.406060606060606e-05
kiriza,twakkiriza,"V;PL;1;PST+RMT
",1.6666666666666667e-05,8.406060606060606e-05
kiriza,mwakkiriza,"V;PL;2;PST+RMT
",0.0,8.406060606060606e-05
kiriza,bakkiriza,"V;PL;3;PST+RMT
",0.00068,8.406060606060606e-05
kiriza,naakakkiriza,"V;PROG;1;PST
",0.0,8.406060606060606e-05
kiriza,waakakkiriza,"V;PROG;2;PST
",0.0,8.406060606060606e-05
kiriza,yaakakkiriza,"V;PROG;3;PST
",0.0,8.406060606060606e-05
kiriza,twakakkiriza,"V;PROG;PL;1;PST
",0.0,8.406060606060606e-05
kiriza,mwakakkiriza,"V;PROG;PL;2;PST
",0.0,8.406060606060606e-05
kiriza,baakakkiriza,"V;PROG;PL;3;PST
",0.0,8.406060606060606e-05
kiriza,sinnakkiriza,"V;INTEN;1;FUT
",0.0,8.406060606060606e-05
kiriza,tonnakkiriza,"V;INTEN;2;FUT
",1e-05,8.406060606060606e-05
kiriza,tannakkiriza,"V;INTEN;3;FUT
",6.666666666666667e-06,8.406060606060606e-05
kiriza,tetunnakkiriza,"V;INTEN;PL;1;FUT
",0.0,8.406060606060606e-05
kiriza,temunnakkiriza,"V;INTEN;PL;2;FUT
",0.0,8.406060606060606e-05
kiriza,tebannakkiriza,"V;INTEN;PL;3;FUT
",1.3333333333333333e-05,8.406060606060606e-05
kiriza,nkyakkiriza,"V;PROG;1;PRS
",3.3333333333333333e-06,8.406060606060606e-05
kiriza,okyakkiriza,"V;PROG;2;PRS
",0.0,8.406060606060606e-05
kiriza,akyakkiriza,"V;PROG;3;PRS
",0.0,8.406060606060606e-05
kiriza,tukyakkiriza,"V;PROG;PL;1;PRS
",0.0,8.406060606060606e-05
kiriza,mukyakkiriza,"V;PROG;PL;2;PRS
",0.0,8.406060606060606e-05
kiriza,bakyakkiriza,"V;PROG;PL;3;PRS
",0.0,8.406060606060606e-05
ddamu,ddamu,"V;NFIN
",7.333333333333333e-05,8.618181818181819e-05
ddamu,nziramu,"V;1;PRS
",0.00015,8.618181818181819e-05
ddamu,oddamu,"V;2;PRS
",2.3333333333333332e-05,8.618181818181819e-05
ddamu,addamu,"V;3;PRS
",0.00011,8.618181818181819e-05
ddamu,tuddamu,"V;PL;1;PRS
",0.00012,8.618181818181819e-05
ddamu,muddamu,"V;PL;2;PRS
",2.6666666666666667e-05,8.618181818181819e-05
ddamu,baddamu,"V;PL;3;PRS
",0.0005533333333333333,8.618181818181819e-05
ddamu,naaddamu,"V;1;FUT+IMMED
",0.0,8.618181818181819e-05
ddamu,onoddamu,"V;2;FUT+IMMED
",0.0,8.618181818181819e-05
