lemma,form,paradigm_slot,form_freq,lemma_freq
fernì,fernesce,V;IND;PRS;3;SG,0.0,0.0
fernì,fernette,V;IND;PST;1;SG;PFV,0.0,0.0
fernì,ferniamo,V;1;PL;IMP,0.0,0.0
fernì,fernesse,V;SBJV;PST;1;SG;IPFV,0.0,0.0
fernì,fernarrisse,V;2;SG;COND,0.0,0.0
fernì,fernarranno,V;3;PL;IND;FUT,0.0,0.0
fernì,fernisseve,V;SBJV;PST;2;PL;IPFV,0.0,0.0
fernì,fernettemo,V;IND;PST;1;PL;PFV,0.0,0.0
fernì,ferniveve,V;IND;PST;2;PL;IPFV,0.0,0.0
fernì,fernisce,V;IND;PRS;2;SG,0.0,0.0
fernì,fernarrimmo,V;1;PL;IND;FUT,0.0,0.0
fernì,fernarrissevo,V;2;PL;COND,0.0,0.0
fernì,fernevo,V;IND;PST;1;SG;IPFV,0.0,0.0
fernì,fernarrà,V;3;SG;IND;FUT,0.0,0.0
fernì,fernesceno,V;IND;PRS;3;PL,0.0,0.0
fernì,fernesse,V;SBJV;PST;3;SG;IPFV,0.0,0.0
fernì,fernarria,V;1;SG;COND,0.0,0.0
fernì,fernisse,V;SBJV;PST;2;SG;IPFV,0.0,0.0
fernì,fernevano,V;IND;PST;3;PL;IPFV,0.0,0.0
fernì,fernite,V;2;PL;IMP,0.0,0.0
fernì,fernarrissemo,V;1;PL;COND,0.0,0.0
fernì,fernive,V;IND;PST;2;SG;IPFV,0.0,0.0
fernì,fernesco,V;IND;PRS;1;SG,0.0,0.0
fernì,fernette,V;IND;PST;3;SG;PFV,0.0,0.0
fernì,ferne,V;2;SG;IMP,0.0,0.0
fernì,fernarrite,V;2;PL;IND;FUT,0.0,0.0
fernì,fernite,V;IND;PRS;2;PL,0.0,0.0
fernì,fernarraggio,V;1;SG;IND;FUT,0.0,0.0
fernì,ferniano,V;3;PL;IMP,0.0,0.0
