lemma,form,paradigm_slot,form_freq,lemma_freq
achįʼ,achįʼ,V;REAL;IPFV/PROG;3;SG/DU/PL,0.0,0.0
achįʼ,ajichįʼ,V;REAL;IPFV/PROG;4;SG/DU/PL,0.0,0.0
achįʼ,ajizhchąąʼ,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.0
achįʼ,ashchįʼ,V;REAL;IPFV/PROG;1;SG,0.0,0.0
achįʼ,ashéchąąʼ,V;REAL;PFV/PRF;1;SG,0.0,0.0
achįʼ,ashiichąąʼ,V;REAL;PFV/PRF;1;DU/PL,0.0,0.0
achįʼ,ashíníchąąʼ,V;REAL;PFV/PRF;2;SG,0.0,0.0
achįʼ,ashoochąąʼ,V;REAL;PFV/PRF;2;DU/PL,0.0,0.0
achįʼ,azhchąąʼ,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,0.0
achįʼ,daʼachįʼ,V;REAL;IPFV/PROG;3;PL,0.0,0.0
achįʼ,daʼazhchąąʼ,V;REAL;PFV/PRF;3;PL,0.0,0.0
achįʼ,daʼiichįʼ,V;REAL;IPFV/PROG;1;PL,0.0,0.0
achįʼ,daʼjichįʼ,V;REAL;IPFV/PROG;4;PL,0.0,0.0
achįʼ,daʼjizhchąąʼ,V;REAL;PFV/PRF;4;PL,0.0,0.0
achįʼ,daʼohchįʼ,V;REAL;IPFV/PROG;2;PL,0.0,0.0
achįʼ,daʼshiichąąʼ,V;REAL;PFV/PRF;1;PL,0.0,0.0
achįʼ,daʼshoochąąʼ,V;REAL;PFV/PRF;2;PL,0.0,0.0
achįʼ,íchįʼ,V;REAL;IPFV/PROG;2;SG,0.0,0.0
achįʼ,iichįʼ,V;REAL;IPFV/PROG;1;DU/PL,0.0,0.0
achʼiish,achʼiish,V;REAL;IPFV/PROG;3;SG/DU/PL,0.0,0.0
achʼiish,ajichʼiish,V;REAL;IPFV/PROG;4;SG/DU/PL,0.0,0.0
achʼiish,ajííchʼiizh,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.0
achʼiish,ashchʼiish,V;REAL;IPFV/PROG;1;SG,0.0,0.0
achʼiish,daʼachʼiish,V;REAL;IPFV/PROG;3;PL,0.0,0.0
achʼiish,daʼiichʼiish,V;REAL;IPFV/PROG;1;PL,0.0,0.0
achʼiish,daʼiichʼiizh,V;REAL;PFV/PRF;1;PL,0.0,0.0
achʼiish,daʼííchʼiizh,V;REAL;PFV/PRF;3;PL,0.0,0.0
achʼiish,daʼjichʼiish,V;REAL;IPFV/PROG;4;PL,0.0,0.0
achʼiish,daʼjííchʼiizh,V;REAL;PFV/PRF;4;PL,0.0,0.0
achʼiish,daʼohchʼiish,V;REAL;IPFV/PROG;2;PL,0.0,0.0
achʼiish,daʼoochʼiizh,V;REAL;PFV/PRF;2;PL,0.0,0.0
achʼiish,íchʼiish,V;REAL;IPFV/PROG;2;SG,0.0,0.0
achʼiish,iichʼiish,V;REAL;IPFV/PROG;1;DU/PL,0.0,0.0
achʼiish,iichʼiizh,V;REAL;PFV/PRF;1;DU/PL,0.0,0.0
achʼiish,ííchʼiizh,V;REAL;PFV/PRF;1;SG,0.0,0.0
achʼiish,ííchʼiizh,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,0.0
achʼiish,ííníchʼiizh,V;REAL;PFV/PRF;2;SG,0.0,0.0
achʼiish,ohchʼiish,V;REAL;IPFV/PROG;2;DU/PL,0.0,0.0
achʼiish,oochʼiizh,V;REAL;PFV/PRF;2;DU/PL,0.0,0.0
achįʼ,ohchįʼ,V;REAL;IPFV/PROG;2;DU/PL,0.0,0.0
adiłhash,adiilghash,V;REAL;PFV/PRF;1;DU/PL,0.0,0.0
adiłhash,adíłhash,V;REAL;PFV/PRF;2;SG,0.0,0.0
adiłhash,adiłhash,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,0.0
adiłhash,adishhash,V;REAL;PFV/PRF;1;SG,0.0,0.0
adiłhash,adołhash,V;REAL;PFV/PRF;2;DU/PL,0.0,0.0
adiłhash,azhdiłhash,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.0
adiłhash,daʼdiilghash,V;REAL;PFV/PRF;1;PL,0.0,0.0
adiłhash,daʼdiłhash,V;REAL;PFV/PRF;3;PL,0.0,0.0
adiłhash,daʼdołhash,V;REAL;PFV/PRF;2;PL,0.0,0.0
adiłhash,dazhʼdiłhash,V;REAL;PFV/PRF;4;PL,0.0,0.0
ádin,ádaadin,V;REAL;PFV/PRF;3;PL,0.0015,0.00073
ádin,ádajídin,V;REAL;PFV/PRF;4;PL,0.0,0.00073
ádin,ádaniidin,V;REAL;PFV/PRF;1;PL,0.0,0.00073
ádin,ádanohdin,V;REAL;PFV/PRF;2;PL,0.0,0.00073
ádin,ádin,V;REAL;PFV/PRF;3;SG/DU/PL,0.0058,0.00073
ádin,ájídin,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.00073
ádin,ánídin,V;REAL;PFV/PRF;2;SG,0.0,0.00073
ádin,ániidin,V;REAL;PFV/PRF;1;DU/PL,0.0,0.00073
ádin,áníshdin,V;REAL;PFV/PRF;1;SG,0.0,0.00073
ádin,ánóhdin,V;REAL;PFV/PRF;2;DU/PL,0.0,0.00073
adiníłdíín,adííníildíín,V;REAL;PFV/PRF;1;DU/PL,0.0,0.0
adiníłdíín,adííníłdíín,V;REAL;PFV/PRF;2;SG,0.0,0.0
adiníłdíín,adííníshdíín,V;REAL;PFV/PRF;1;SG,0.0,0.0
adiníłdíín,adíínółdíín,V;REAL;PFV/PRF;2;DU/PL,0.0,0.0
adiníłdíín,adiníłdíín,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,0.0
adiníłdíín,adizhníłdíín,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.0
adiníłdíín,daʼdííníildíín,V;REAL;PFV/PRF;1;PL,0.0,0.0
adiníłdíín,daʼdíínółdíín,V;REAL;PFV/PRF;2;PL,0.0,0.0
adiníłdíín,daʼdiníłdíín,V;REAL;PFV/PRF;3;PL,0.0,0.0
adiníłdíín,dazhdiʼníłdíín,V;REAL;PFV/PRF;4;PL,0.0,0.0
adlą́,adeeshdlį́į́ł,V;REAL;PROSP;1;SG,0.0,0.0
adlą́,adiidlį́į́ł,V;REAL;PROSP;1;DU/PL,0.0,0.0
adlą́,adíídlį́į́ł,V;REAL;PROSP;2;SG,0.0,0.0
adlą́,adlą́,V;REAL;IPFV/PROG;3;SG/DU/PL,0.0,0.0
adlą́,adoodlį́į́ł,V;REAL;PROSP;3;SG/DU/PL,0.0,0.0
adlą́,adoohdlį́į́ł,V;REAL;PROSP;2;DU/PL,0.0,0.0
adlą́,ajidlą́,V;REAL;IPFV/PROG;4;SG/DU/PL,0.0,0.0
adlą́,ajoodlą́ą́ʼ,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.0
adlą́,ashdlą́,V;REAL;IPFV/PROG;1;SG,0.0,0.0
adlą́,azhdoodlį́į́ł,V;REAL;PROSP;4;SG/DU/PL,0.0,0.0
adlą́,daʼadlą́,V;REAL;IPFV/PROG;3;PL,0.0,0.0
adlą́,daʼdiidlį́į́ł,V;REAL;PROSP;1;PL,0.0,0.0
adlą́,daʼdoodlį́į́ł,V;REAL;PROSP;3;PL,0.0,0.0
adlą́,daʼdoohdlį́į́ł,V;REAL;PROSP;2;PL,0.0,0.0
adlą́,daʼiidlą́ą́ʼ,V;REAL;PFV/PRF;1;PL,0.0,0.0
adlą́,daʼiidlą́,V;REAL;IPFV/PROG;1;PL,0.0,0.0
adlą́,daʼjidlą́,V;REAL;IPFV/PROG;4;PL,0.0,0.0
adlą́,daʼjoodlą́ą́ʼ,V;REAL;PFV/PRF;4;PL,0.0,0.0
adlą́,daʼohdlą́,V;REAL;IPFV/PROG;2;PL,0.0,0.0
adlą́,daʼoodlą́ą́ʼ,V;REAL;PFV/PRF;3;PL,0.0,0.0
adlą́,daʼoohdlą́ą́ʼ,V;REAL;PFV/PRF;2;PL,0.0,0.0
adlą́,dazhʼdoodlį́į́ł,V;REAL;PROSP;4;PL,0.0,0.0
adlą́,eeshdlą́ą́ʼ,V;REAL;PFV/PRF;1;SG,0.0,0.0
adlą́,ídlą́,V;REAL;IPFV/PROG;2;SG,0.0,0.0
adlą́,iidlą́ą́ʼ,V;REAL;PFV/PRF;1;DU/PL,0.0,0.0
adlą́,iidlą́,V;REAL;IPFV/PROG;1;DU/PL,0.0,0.0
adlą́,íínídlą́ą́ʼ,V;REAL;PFV/PRF;2;SG,0.0,0.0
adlą́,ohdlą́,V;REAL;IPFV/PROG;2;DU/PL,0.0,0.0
adlą́,oodlą́ą́ʼ,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,0.0
adlą́,oohdlą́ą́ʼ,V;REAL;PFV/PRF;2;DU/PL,0.0,0.0
aheełtʼé,aheełtʼé,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,0.0
aheełtʼé,ahidaałtʼé,V;REAL;PFV/PRF;3;PL,0.0,0.0
aheełtʼé,ahidajíłtʼé,V;REAL;PFV/PRF;4;PL,0.0,0.0
aheełtʼé,ahidaniiltʼé,V;REAL;PFV/PRF;1;PL,0.0,0.0
aheełtʼé,ahidanołtʼé,V;REAL;PFV/PRF;2;PL,0.0,0.0
aheełtʼé,ahijíłtʼé,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.0
aheełtʼé,ahiniiltʼé,V;REAL;PFV/PRF;1;DU/PL,0.0,0.0
aheełtʼé,ahiníłtʼé,V;REAL;PFV/PRF;2;SG,0.0,0.0
aheełtʼé,ahinishtʼé,V;REAL;PFV/PRF;1;SG,0.0,0.0
aheełtʼé,ahinołtʼé,V;REAL;PFV/PRF;2;DU/PL,0.0,0.0
ahigą́,aheeshgą́ą́ʼ,V;REAL;PFV/PRF;1;SG,0.0,0.0
ahigą́,ahígą́,V;REAL;IPFV/PROG;2;SG,0.0,0.0
ahigą́,ahigą́,V;REAL;IPFV/PROG;3;SG/DU/PL,0.0,0.0
ahigą́,ahiigą́ą́ʼ,V;REAL;PFV/PRF;1;DU/PL,0.0,0.0
ahigą́,ahiigą́,V;REAL;IPFV/PROG;1;DU/PL,0.0,0.0
ahigą́,ahíínígą́ą́ʼ,V;REAL;PFV/PRF;2;SG,0.0,0.0
ahigą́,ahijigą́,V;REAL;IPFV/PROG;4;SG/DU/PL,0.0,0.0
ahigą́,ahijoogą́ą́ʼ,V;REAL;PFV/PRF;4;SG/DU/PL,0.0,0.0
ahigą́,ahishgą́,V;REAL;IPFV/PROG;1;SG,0.0,0.0
ahigą́,ahohgą́,V;REAL;IPFV/PROG;2;DU/PL,0.0,0.0
ahigą́,ahoogą́ą́ʼ,V;REAL;PFV/PRF;3;SG/DU/PL,0.0,0.0
ahigą́,ahoohgą́ą́ʼ,V;REAL;PFV/PRF;2;DU/PL,0.0,0.0
ahigą́,daʼahigą́,V;REAL;IPFV/PROG;3;PL,0.0,0.0
ahigą́,daʼahiigą́ą́ʼ,V;REAL;PFV/PRF;1;PL,0.0,0.0
