lemma,form,paradigm_slot,form_freq,lemma_freq
aanbidden,aanbaden,V;IND;PST;PL,1e-06,2.533333333333333e-06
aanbidden,aanbaden,V;SBJV;PST;PL,1e-06,2.533333333333333e-06
aanbidden,aanbade,V;SBJV;PST;SG,0.0,2.533333333333333e-06
aanbidden,aanbad,V;IND;PST;1;SG,2e-06,2.533333333333333e-06
aanbidden,aanbad,V;IND;PST;2;SG,2e-06,2.533333333333333e-06
aanbidden,aanbad,V;IND;PST;3;SG,2e-06,2.533333333333333e-06
aanbidden,aanbidden,V;IND;PRS;PL,9e-06,2.533333333333333e-06
aanbidden,aanbidden,V;NFIN,9e-06,2.533333333333333e-06
aanbidden,aanbidden,V;SBJV;PRS;PL,9e-06,2.533333333333333e-06
aanbidden,aanbidde,V;SBJV;PRS;SG,0.0,2.533333333333333e-06
aanbidden,aanbidt,V;IMP;PL,1e-06,2.533333333333333e-06
aanbidden,aanbidt,V;IND;PRS;2;SG,1e-06,2.533333333333333e-06
aanbidden,aanbidt,V;IND;PRS;3;SG,1e-06,2.533333333333333e-06
aanbidden,aanbid,V;IMP;SG,0.0,2.533333333333333e-06
aanbidden,aanbid,V;IND;PRS;1;SG,0.0,2.533333333333333e-06
aanschouwen,aanschouwden,V;IND;PST;PL,0.0,3.9333333333333335e-06
aanschouwen,aanschouwden,V;SBJV;PST;PL,0.0,3.9333333333333335e-06
aanschouwen,aanschouwde,V;IND;PST;1;SG,4e-06,3.9333333333333335e-06
aanschouwen,aanschouwde,V;IND;PST;2;SG,4e-06,3.9333333333333335e-06
aanschouwen,aanschouwde,V;IND;PST;3;SG,4e-06,3.9333333333333335e-06
aanschouwen,aanschouwde,V;SBJV;PST;SG,4e-06,3.9333333333333335e-06
aanschouwen,aanschouwen,V;IND;PRS;PL,1.3e-05,3.9333333333333335e-06
aanschouwen,aanschouwen,V;NFIN,1.3e-05,3.9333333333333335e-06
aanschouwen,aanschouwen,V;SBJV;PRS;PL,1.3e-05,3.9333333333333335e-06
aanschouwen,aanschouwe,V;SBJV;PRS;SG,0.0,3.9333333333333335e-06
aanschouwen,aanschouwt,V;IMP;PL,0.0,3.9333333333333335e-06
aanschouwen,aanschouwt,V;IND;PRS;2;SG,0.0,3.9333333333333335e-06
aanschouwen,aanschouwt,V;IND;PRS;3;SG,0.0,3.9333333333333335e-06
aanschouwen,aanschouw,V;IMP;SG,2e-06,3.9333333333333335e-06
aanschouwen,aanschouw,V;IND;PRS;1;SG,2e-06,3.9333333333333335e-06
aanvaarden,aanvaardden,V;IND;PST;PL,2e-06,2.3599999999999998e-05
aanvaarden,aanvaardden,V;SBJV;PST;PL,2e-06,2.3599999999999998e-05
aanvaarden,aanvaardde,V;IND;PST;1;SG,1.2e-05,2.3599999999999998e-05
aanvaarden,aanvaardde,V;IND;PST;2;SG,1.2e-05,2.3599999999999998e-05
