lemma,form,paradigm_slot,form_freq,lemma_freq
angra,angrande,V;V.PTCP;PRS,9e-06,6.083333333333333e-05
angra,angrar,V;PRS,8.3e-05,6.083333333333333e-05
angra,angrast,V;NFIN;PASS,0.0,6.083333333333333e-05
angra,angra,V;IMP,9.1e-05,6.083333333333333e-05
angra,angra,V;PST,9.1e-05,6.083333333333333e-05
angra,angra,V;V.PTCP;PST,9.1e-05,6.083333333333333e-05
angre,angrande,V;V.PTCP;PRS,9e-06,5.066666666666667e-05
angre,angrar,V;PRS,8.3e-05,5.066666666666667e-05
angre,angrast,V;NFIN;PASS,0.0,5.066666666666667e-05
angre,angra,V;PST,9.1e-05,5.066666666666667e-05
angre,angra,V;V.PTCP;PST,9.1e-05,5.066666666666667e-05
angre,angre,V;IMP,3e-05,5.066666666666667e-05
angripa,angreip,V;PST,2.6e-05,3.3333333333333335e-05
angripa,angripande,V;V.PTCP;PRS,6e-06,3.3333333333333335e-05
angripa,angripast,V;NFIN;PASS,3e-06,3.3333333333333335e-05
angripa,angripe,V;V.PTCP;PST,7.3e-05,3.3333333333333335e-05
angripa,angrip,V;IMP,4.6e-05,3.3333333333333335e-05
angripa,angrip,V;PRS,4.6e-05,3.3333333333333335e-05
angripe,angreip,V;PST,2.6e-05,3.3333333333333335e-05
angripe,angripande,V;V.PTCP;PRS,6e-06,3.3333333333333335e-05
angripe,angripast,V;NFIN;PASS,3e-06,3.3333333333333335e-05
angripe,angripe,V;V.PTCP;PST,7.3e-05,3.3333333333333335e-05
angripe,angrip,V;IMP,4.6e-05,3.3333333333333335e-05
angripe,angrip,V;PRS,4.6e-05,3.3333333333333335e-05
ansa,ansande,V;V.PTCP;PRS,0.0,5.666666666666667e-06
ansa,ansar,V;PRS,1e-05,5.666666666666667e-06
ansa,ansast,V;NFIN;PASS,0.0,5.666666666666667e-06
ansa,ansa,V;IMP,8e-06,5.666666666666667e-06
ansa,ansa,V;PST,8e-06,5.666666666666667e-06
ansa,ansa,V;V.PTCP;PST,8e-06,5.666666666666667e-06
årelate,årelatande,V;V.PTCP;PRS,0.0,0.0
årelate,årelatast,V;NFIN;PASS,0.0,0.0
årelate,årelate,V;V.PTCP;PST,0.0,0.0
årelate,årelat,V;IMP,0.0,0.0
årelate,årelèt,V;PRS,0.0,0.0
årelate,årelét,V;PST,0.0,0.0
arkaisere,arkaiserande,V;V.PTCP;PRS,3e-06,6e-07
arkaisere,arkaisere,V;PRS,0.0,6e-07
arkaisere,arkaiserte,V;PST,0.0,6e-07
arkaisere,arkaisert,V;V.PTCP;PST,0.0,6e-07
arkaisere,arkaiser,V;IMP,0.0,6e-07
åtaka,åtakande,V;V.PTCP;PRS,0.0,5.8666666666666665e-05
åtaka,åtakast,V;NFIN;PASS,0.0,5.8666666666666665e-05
åtaka,åtak,V;IMP,0.000352,5.8666666666666665e-05
åtaka,åteke,V;V.PTCP;PST,0.0,5.8666666666666665e-05
åtaka,åtek,V;PRS,0.0,5.8666666666666665e-05
åtaka,åtok,V;PST,0.0,5.8666666666666665e-05
åtvara,åtvarande,V;V.PTCP;PRS,3e-06,7.916666666666666e-05
åtvara,åtvarar,V;PRS,0.000136,7.916666666666666e-05
åtvara,åtvarast,V;NFIN;PASS,0.0,7.916666666666666e-05
åtvara,åtvara,V;IMP,0.000112,7.916666666666666e-05
åtvara,åtvara,V;PST,0.000112,7.916666666666666e-05
åtvara,åtvara,V;V.PTCP;PST,0.000112,7.916666666666666e-05
åtvare,åtvarande,V;V.PTCP;PRS,3e-06,6.333333333333333e-05
åtvare,åtvarar,V;PRS,0.000136,6.333333333333333e-05
åtvare,åtvarast,V;NFIN;PASS,0.0,6.333333333333333e-05
åtvare,åtvara,V;PST,0.000112,6.333333333333333e-05
åtvare,åtvara,V;V.PTCP;PST,0.000112,6.333333333333333e-05
åtvare,åtvare,V;IMP,1.7e-05,6.333333333333333e-05
auka,aukande,V;V.PTCP;PRS,0.000912,0.0024776666666666666
auka,aukar,V;PRS,0.001249,0.0024776666666666666
auka,aukast,V;NFIN;PASS,6.9e-05,0.0024776666666666666
auka,auka,V;IMP,0.004212,0.0024776666666666666
auka,auka,V;PST,0.004212,0.0024776666666666666
auka,auka,V;V.PTCP;PST,0.004212,0.0024776666666666666
auke,aukande,V;V.PTCP;PRS,0.000912,0.002178
auke,aukar,V;PRS,0.001249,0.002178
auke,aukast,V;NFIN;PASS,6.9e-05,0.002178
auke,auka,V;PST,0.004212,0.002178
auke,auka,V;V.PTCP;PST,0.004212,0.002178
auke,auke,V;IMP,0.002414,0.002178
avertere,averterande,V;V.PTCP;PRS,0.0,1.8333333333333333e-06
avertere,averterast,V;NFIN;PASS,0.0,1.8333333333333333e-06
avertere,averterer,V;PRS,2e-06,1.8333333333333333e-06
avertere,averterte,V;PST,6e-06,1.8333333333333333e-06
avertere,avertert,V;V.PTCP;PST,3e-06,1.8333333333333333e-06
avertere,averter,V;IMP,0.0,1.8333333333333333e-06
avgjera,avgjerande,V;V.PTCP;PRS,0.001577,0.000567
avgjera,avgjerast,V;NFIN;PASS,7.7e-05,0.000567
