lemma,form,paradigm_slot,form_freq,lemma_freq
gjespe,gjesp,V;IMP,8e-06,3.2500000000000002e-06
gjespe,gjesper,V;IND;PRS,5e-06,3.2500000000000002e-06
gjespe,gjespa,V;IND;PST,0.0,3.2500000000000002e-06
gjespe,gjespet,V;IND;PST,0.0,3.2500000000000002e-06
dingle,dingl,V;IMP,0.0,1.3333333333333332e-06
dingle,dingle,V;IMP,4e-06,1.3333333333333332e-06
dingle,dingler,V;IND;PRS,3e-06,1.3333333333333332e-06
dingle,dingles,V;IND;PASS,0.0,1.3333333333333332e-06
dingle,dingla,V;IND;PST,0.0,1.3333333333333332e-06
dingle,dinglet,V;IND;PST,1e-06,1.3333333333333332e-06
argumentere,argumenter,V;IMP,0.000203,0.00010266666666666666
argumentere,argumenterer,V;IND;PRS,7.1e-05,0.00010266666666666666
argumentere,argumenterte,V;IND;PST,3.4e-05,0.00010266666666666666
bede,bed,V;IMP,5.2e-05,0.0001435
bede,beder,V;IND;PRS,1e-06,0.0001435
bede,bedes,V;IND;PASS,0.0,0.0001435
bede,bad,V;IND;PST,0.000521,0.0001435
klare,klar,V;IMP,0.002609,0.0007678333333333334
klare,klarer,V;IND;PRS,0.001143,0.0007678333333333334
klare,klares,V;IND;PASS,0.0,0.0007678333333333334
klare,klara,V;IND;PST,3e-06,0.0007678333333333334
klare,klaret,V;IND;PST,2e-06,0.0007678333333333334
klare,klarte,V;IND;PST,0.00085,0.0007678333333333334
vente,vent,V;IMP,9.7e-05,0.0003379999999999999
vente,venter,V;IND;PRS,0.000704,0.0003379999999999999
vente,ventes,V;IND;PASS,0.000167,0.0003379999999999999
vente,venta,V;IND;PST,0.000138,0.0003379999999999999
vente,ventet,V;IND;PST,0.000584,0.0003379999999999999
melde,meld,V;IMP,0.000154,0.000336
melde,melder,V;IND;PRS,0.000723,0.000336
melde,meldes,V;IND;PASS,0.000212,0.000336
melde,meldte,V;IND;PST,0.000255,0.000336
injisere,injiser,V;IMP,1e-06,2e-06
injisere,injiserer,V;IND;PRS,2e-06,2e-06
injisere,injiserte,V;IND;PST,3e-06,2e-06
rane,ran,V;IMP,4.7e-05,1.5166666666666665e-05
rane,raner,V;IND;PRS,6e-06,1.5166666666666665e-05
rane,ranes,V;IND;PASS,1e-06,1.5166666666666665e-05
rane,rana,V;IND;PST,3e-06,1.5166666666666665e-05
rane,ranet,V;IND;PST,3.4e-05,1.5166666666666665e-05
rane,rante,V;IND;PST,0.0,1.5166666666666665e-05
pleie,plei,V;IMP,0.0,6.150000000000002e-05
pleie,pleier,V;IND;PRS,0.000268,6.150000000000002e-05
pleie,pleies,V;IND;PASS,1.6e-05,6.150000000000002e-05
pleie,pleia,V;IND;PST,1e-06,6.150000000000002e-05
pleie,pleiet,V;IND;PST,1.4e-05,6.150000000000002e-05
pleie,pleide,V;IND;PST,7e-05,6.150000000000002e-05
hærta,hærta,V;IMP,1e-06,5e-07
hærta,hærtar,V;IND;PRS,0.0,5e-07
hærta,hærtas,V;IND;PASS,0.0,5e-07
hærta,hærtok,V;IND;PST,1e-06,5e-07
etterligne,etterlign,V;IMP,0.0,3.7500000000000005e-06
etterligne,etterligner,V;IND;PRS,1e-05,3.7500000000000005e-06
etterligne,etterligna,V;IND;PST,0.0,3.7500000000000005e-06
etterligne,etterlignet,V;IND;PST,5e-06,3.7500000000000005e-06
stresse,stress,V;IMP,0.000237,7.14e-05
stresse,stresser,V;IND;PRS,2.1e-05,7.14e-05
stresse,stresses,V;IND;PASS,1e-06,7.14e-05
stresse,stressa,V;IND;PST,1.5e-05,7.14e-05
stresse,stresset,V;IND;PST,8.3e-05,7.14e-05
atskille,atskill,V;IMP,0.0,1.225e-05
atskille,atskiller,V;IND;PRS,2.4e-05,1.225e-05
atskille,atskilles,V;IND;PASS,1e-06,1.225e-05
atskille,atskilte,V;IND;PST,2.4e-05,1.225e-05
gjelde,gjelder,V;IND;PRS,0.010656,0.0037396666666666667
gjelde,gjeldes,V;IND;PASS,0.0,0.0037396666666666667
gjelde,gjaldt,V;IND;PST,0.000563,0.0037396666666666667
utbygge,utbygg,V;IMP,0.0,3.18e-05
utbygge,utbygger,V;IND;PRS,5.2e-05,3.18e-05
utbygge,utbygges,V;IND;PASS,1.6e-05,3.18e-05
utbygge,utbygget,V;IND;PST,5.6e-05,3.18e-05
utbygge,utbygde,V;IND;PST,3.5e-05,3.18e-05
zoome,zoom,V;IMP,2.9e-05,8e-06
zoome,zoomer,V;IND;PRS,6e-06,8e-06
zoome,zoomes,V;IND;PASS,3e-06,8e-06
zoome,zooma,V;IND;PST,0.0,8e-06
zoome,zoomet,V;IND;PST,2e-06,8e-06
hemme,hem,V;IMP,4e-06,2.64e-05
hemme,hemmer,V;IND;PRS,7.3e-05,2.64e-05
hemme,hemmes,V;IND;PASS,2.4e-05,2.64e-05
hemme,hemma,V;IND;PST,4e-06,2.64e-05
hemme,hemmet,V;IND;PST,2.7e-05,2.64e-05
etterse,etterse,V;IMP,1e-06,1e-06
etterse,etterser,V;IND;PRS,0.0,1e-06
etterse,etterses,V;IND;PASS,3e-06,1e-06
etterse,ettersees,V;IND;PASS,1e-06,1e-06
etterse,etterså,V;IND;PST,0.0,1e-06
oppføre,oppfør,V;IMP,2e-06,5.4999999999999995e-05
oppføre,oppfører,V;IND;PRS,0.000107,5.4999999999999995e-05
oppføre,oppføres,V;IND;PASS,5e-05,5.4999999999999995e-05
oppføre,oppførte,V;IND;PST,6.1e-05,5.4999999999999995e-05
kjøpe,kjøp,V;IMP,0.000933,0.0006979999999999999
kjøpe,kjøper,V;IND;PRS,0.000861,0.0006979999999999999
kjøpe,kjøpes,V;IND;PASS,0.000398,0.0006979999999999999
kjøpe,kjøpte,V;IND;PST,0.0006,0.0006979999999999999
bore,bor,V;IMP,0.001653,0.00042249999999999997
bore,borer,V;IND;PRS,9e-06,0.00042249999999999997
bore,bora,V;IND;PST,2e-06,0.00042249999999999997
