lemma,form,paradigm_slot,form_freq,lemma_freq,form_freq,lemma_freq
afuuf,afuufuu,"V;NFIN
",0.0,0.0,0.0,0.0
afuuf,afuufaa jiraa,"V;SG;1;PRS
",0.0,0.0,0.0,0.0
afuuf,afuufaa jirtaa,"V;SG;2;PRS
",0.0,0.0,0.0,0.0
afuuf,afuufaa jirtii,"V;FEM;SG;3;PRS
",0.0,0.0,0.0,0.0
afuuf,afuufaa jiraa,"V;MASC;SG;3;PRS
",0.0,0.0,0.0,0.0
afuuf,afuufaa jiraa,"V;PL;1;PRS
",0.0,0.0,0.0,0.0
afuuf,afuufaa jirtuu,"V;PL;2;PRS
",0.0,0.0,0.0,0.0
afuuf,afuufaa jiranii,"V;PL;3;PRS
",0.0,0.0,0.0,0.0
afuuf,afuufdhee,"V;SG;1;PST
",0.0,0.0,0.0,0.0
afuuf,afuufttee,"V;SG;2;PST
",0.0,0.0,0.0,0.0
afuuf,afuufttee,"V;FEM;SG;3;PST
",0.0,0.0,0.0,0.0
afuuf,afuuftee,"V;MASC;SG;3;PST
",0.0,0.0,0.0,0.0
afuuf,afuufnee,"V;PL;1;PST
",0.0,0.0,0.0,0.0
afuuf,afuufttanii,"V;PL;2;PST
",0.0,0.0,0.0,0.0
afuuf,afuuftanii,"V;PL;3;PST
",0.0,0.0,0.0,0.0
afuuf,ni afuufdhaa,"V;SG;1;FUT
",0.0,0.0,0.0,0.0
afuuf,ni afuufttaa,"V;SG;2;FUT
",0.0,0.0,0.0,0.0
afuuf,ni afuufttii,"V;FEM;SG;3;FUT
",0.0,0.0,0.0,0.0
afuuf,ni afuuftaa,"V;MASC;SG;3;FUT
",0.0,0.0,0.0,0.0
afuuf,ni afuufnnaa,"V;PL;1;FUT
",0.0,0.0,0.0,0.0
afuuf,ni afuufttuu,"V;PL;2;FUT
",0.0,0.0,0.0,0.0
afuuf,ni afuuftanii,"V;PL;3;FUT
",0.0,0.0,0.0,0.0
ajjees,ajjeesuu,"V;NFIN
",0.0008,4.0909090909090915e-05,0.0008,4.0909090909090915e-05
ajjees,ajjeesaa jiraa,"V;SG;1;PRS
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesaa jirtaa,"V;SG;2;PRS
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesaa jirtii,"V;FEM;SG;3;PRS
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesaa jiraa,"V;MASC;SG;3;PRS
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesaa jiraa,"V;PL;1;PRS
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesaa jirtuu,"V;PL;2;PRS
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesaa jiranii,"V;PL;3;PRS
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesdhee,"V;SG;1;PST
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesttee,"V;SG;2;PST
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesttee,"V;FEM;SG;3;PST
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeestee,"V;MASC;SG;3;PST
",0.0001,4.0909090909090915e-05,0.0001,4.0909090909090915e-05
ajjees,ajjeesnee,"V;PL;1;PST
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
ajjees,ajjeesttanii,"V;PL;2;PST
",0.0,4.0909090909090915e-05,0.0,4.0909090909090915e-05
