lemma,form,paradigm_slot
ferian,feries,V;SBJV;PRS;2;SG
ferian,ferdin,V;SBJV;PST;PL
ferian,ferdun,V;IND;PST;PL
ferian,ferid,V;IND;PRS;3;SG
ferian,ferie,V;SBJV;PRS;1;SG
ferian,feriad,V;IMP;PRS;PL
ferian,ferien,V;SBJV;PRS;PL
ferian,feris,V;IND;PRS;2;SG
ferian,ferian,V;NFIN
ferian,ferda,V;IND;PST;1;SG
ferian,ferdi,V;SBJV;PST;1;SG
ferian,ferie,V;SBJV;PRS;3;SG
ferian,ferdes,V;IND;PST;2;SG
ferian,feri,V;IMP;PRS;SG
ferian,ferdis,V;SBJV;PST;2;SG
ferian,feriad,V;IND;PRS;PL
ferian,feriu,V;IND;PRS;1;SG
ferian,ferda,V;IND;PST;3;SG
ferian,ferdi,V;SBJV;PST;3;SG
findan,findes,V;SBJV;PRS;2;SG
findan,fundin,V;SBJV;PST;PL
findan,fundun,V;IND;PST;PL
findan,findid,V;IND;PRS;3;SG
findan,finde,V;SBJV;PRS;1;SG
findan,findad,V;IMP;PRS;PL
findan,finden,V;SBJV;PRS;PL
findan,findis,V;IND;PRS;2;SG
findan,findan,V;NFIN
findan,fand,V;IND;PST;1;SG
findan,fundi,V;SBJV;PST;1;SG
findan,finde,V;SBJV;PRS;3;SG
findan,fundi,V;IND;PST;2;SG
findan,find,V;IMP;PRS;SG
findan,fundis,V;SBJV;PST;2;SG
findan,findad,V;IND;PRS;PL
findan,findu,V;IND;PRS;1;SG
findan,fand,V;IND;PST;3;SG
findan,fundi,V;SBJV;PST;3;SG
firinon,firinos,V;SBJV;PRS;2;SG
firinon,firinodin,V;SBJV;PST;PL
firinon,firinodun,V;IND;PST;PL
firinon,firinod,V;IND;PRS;3;SG
firinon,firino,V;SBJV;PRS;1;SG
firinon,firiniod,V;IMP;PRS;PL
firinon,firinion,V;SBJV;PRS;PL
firinon,firinos,V;IND;PRS;2;SG
firinon,firinon,V;NFIN
firinon,firinoda,V;IND;PST;1;SG
firinon,firinodi,V;SBJV;PST;1;SG
firinon,firino,V;SBJV;PRS;3;SG
firinon,firinodes,V;IND;PST;2;SG
firinon,firino,V;IMP;PRS;SG
firinon,firinodis,V;SBJV;PST;2;SG
firinon,firiniod,V;IND;PRS;PL
firinon,firinon,V;IND;PRS;1;SG
firinon,firinoda,V;IND;PST;3;SG
firinon,firinodi,V;SBJV;PST;3;SG
flehtan,flehtes,V;SBJV;PRS;2;SG
flehtan,fluhtin,V;SBJV;PST;PL
flehtan,fluhtun,V;IND;PST;PL
flehtan,flihtid,V;IND;PRS;3;SG
flehtan,flehte,V;SBJV;PRS;1;SG
flehtan,flehtad,V;IMP;PRS;PL
flehtan,flehten,V;SBJV;PRS;PL
flehtan,flihtis,V;IND;PRS;2;SG
flehtan,flehtan,V;NFIN
flehtan,flaht,V;IND;PST;1;SG
flehtan,fluhti,V;SBJV;PST;1;SG
flehtan,flehte,V;SBJV;PRS;3;SG
flehtan,fluhti,V;IND;PST;2;SG
flehtan,fleht,V;IMP;PRS;SG
flehtan,fluhtis,V;SBJV;PST;2;SG
flehtan,flehtad,V;IND;PRS;PL
flehtan,flihtu,V;IND;PRS;1;SG
flehtan,flaht,V;IND;PST;3;SG
flehtan,fluhti,V;SBJV;PST;3;SG
fliogan,flioges,V;SBJV;PRS;2;SG
fliogan,flugin,V;SBJV;PST;PL
fliogan,flugun,V;IND;PST;PL
fliogan,fliugid,V;IND;PRS;3;SG
fliogan,flioge,V;SBJV;PRS;1;SG
