lemma,form,paradigm_slot,form_freq,lemma_freq
abonować,abonować,V;NFIN,0.0,3.9215686274509804e-08
abonować,abonowałabym,V;COND;1;SG;FEM,0.0,3.9215686274509804e-08
abonować,abonowałabyś,V;COND;2;SG;FEM,0.0,3.9215686274509804e-08
abonować,abonowałaby,V;COND;3;SG;FEM,0.0,3.9215686274509804e-08
abonować,abonowałam,V;PST;1;SG;FEM,0.0,3.9215686274509804e-08
abonować,abonowałaś,V;PST;2;SG;FEM,0.0,3.9215686274509804e-08
abonować,abonowała,V;PST;3;SG;FEM,0.0,3.9215686274509804e-08
abonować,abonowałbym,V;COND;1;SG;MASC,0.0,3.9215686274509804e-08
abonować,abonowałbyś,V;COND;2;SG;MASC,0.0,3.9215686274509804e-08
abonować,abonowałby,V;COND;3;SG;MASC,0.0,3.9215686274509804e-08
abonować,abonowałem,V;PST;1;SG;MASC,0.0,3.9215686274509804e-08
abonować,abonowałeś,V;PST;2;SG;MASC,0.0,3.9215686274509804e-08
abonować,abonowalibyście,V;COND;2;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,abonowalibyśmy,V;COND;1;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,abonowaliby,V;COND;3;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,abonowaliście,V;PST;2;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,abonowaliśmy,V;PST;1;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,abonowali,V;PST;3;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,abonowałoby,V;COND;3;SG;NEUT,0.0,3.9215686274509804e-08
abonować,abonowało,V;PST;3;SG;NEUT,0.0,3.9215686274509804e-08
abonować,abonował,V;PST;3;SG;MASC,0.0,3.9215686274509804e-08
abonować,abonowałybyście,V;COND;2;PL,0.0,3.9215686274509804e-08
abonować,abonowałybyśmy,V;COND;1;PL,0.0,3.9215686274509804e-08
abonować,abonowałyby,V;COND;3;PL,0.0,3.9215686274509804e-08
abonować,abonowałyście,V;PST;2;PL,0.0,3.9215686274509804e-08
abonować,abonowałyśmy,V;PST;1;PL,0.0,3.9215686274509804e-08
abonować,abonowały,V;PST;3;PL,0.0,3.9215686274509804e-08
abonować,abonują,V;PRS;3;PL,1e-06,3.9215686274509804e-08
abonować,abonujcie,V;IMP;2;PL,0.0,3.9215686274509804e-08
abonować,abonujecie,V;PRS;2;PL,0.0,3.9215686274509804e-08
abonować,abonujemy,V;PRS;1;PL,0.0,3.9215686274509804e-08
abonować,abonujesz,V;PRS;2;SG,0.0,3.9215686274509804e-08
abonować,abonuję,V;PRS;1;SG,1e-06,3.9215686274509804e-08
abonować,abonuje,V;PRS;3;SG,0.0,3.9215686274509804e-08
abonować,abonujmy,V;IMP;1;PL,0.0,3.9215686274509804e-08
abonować,abonuj,V;IMP;2;SG,0.0,3.9215686274509804e-08
abonować,będą abonowali,V;FUT;3;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,będą abonowały,V;FUT;3;PL,0.0,3.9215686274509804e-08
abonować,będę abonowała,V;FUT;1;SG;FEM,0.0,3.9215686274509804e-08
abonować,będę abonował,V;FUT;1;SG;MASC,0.0,3.9215686274509804e-08
abonować,będzie abonowała,V;FUT;3;SG;FEM,0.0,3.9215686274509804e-08
abonować,będzie abonowało,V;FUT;3;SG;NEUT,0.0,3.9215686274509804e-08
abonować,będzie abonował,V;FUT;3;SG;MASC,0.0,3.9215686274509804e-08
abonować,będziecie abonowali,V;FUT;2;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,będziecie abonowały,V;FUT;2;PL,0.0,3.9215686274509804e-08
abonować,będziemy abonowali,V;FUT;1;PL;MASC;HUM,0.0,3.9215686274509804e-08
abonować,będziemy abonowały,V;FUT;1;PL,0.0,3.9215686274509804e-08
abonować,będziesz abonowała,V;FUT;2;SG;FEM,0.0,3.9215686274509804e-08
abonować,będziesz abonował,V;FUT;2;SG;MASC,0.0,3.9215686274509804e-08
abonować,niech abonują,V;IMP;3;PL,0.0,3.9215686274509804e-08
abonować,niech abonuje,V;IMP;3;SG,0.0,3.9215686274509804e-08
absorbować,absorbować,V;NFIN,5e-06,1.019607843137255e-06
absorbować,absorbowałabym,V;COND;1;SG;FEM,0.0,1.019607843137255e-06
absorbować,absorbowałabyś,V;COND;2;SG;FEM,0.0,1.019607843137255e-06
absorbować,absorbowałaby,V;COND;3;SG;FEM,0.0,1.019607843137255e-06
absorbować,absorbowałam,V;PST;1;SG;FEM,0.0,1.019607843137255e-06
absorbować,absorbowałaś,V;PST;2;SG;FEM,0.0,1.019607843137255e-06
absorbować,absorbowała,V;PST;3;SG;FEM,2e-06,1.019607843137255e-06
absorbować,absorbowałbym,V;COND;1;SG;MASC,0.0,1.019607843137255e-06
absorbować,absorbowałbyś,V;COND;2;SG;MASC,0.0,1.019607843137255e-06
absorbować,absorbowałby,V;COND;3;SG;MASC,0.0,1.019607843137255e-06
absorbować,absorbowałem,V;PST;1;SG;MASC,0.0,1.019607843137255e-06
absorbować,absorbowałeś,V;PST;2;SG;MASC,0.0,1.019607843137255e-06
absorbować,absorbowalibyście,V;COND;2;PL;MASC;HUM,0.0,1.019607843137255e-06
absorbować,absorbowalibyśmy,V;COND;1;PL;MASC;HUM,0.0,1.019607843137255e-06
absorbować,absorbowaliby,V;COND;3;PL;MASC;HUM,0.0,1.019607843137255e-06
absorbować,absorbowaliście,V;PST;2;PL;MASC;HUM,0.0,1.019607843137255e-06
