lemma,form,paradigm_slot,form_freq,lemma_freq
gravita,gravita,V;IND;PST;3;SG;IPFV,1e-06,7.142857142857142e-07
gravita,gravitasem,V;IND;PST;1;SG;PRF,0.0,7.142857142857142e-07
gravita,gravitează,V;IND;PRS;3;PL,8e-06,7.142857142857142e-07
gravita,să gravitezi,V;SBJV;PRS;2;SG,0.0,7.142857142857142e-07
gravita,gravitați,V;POS;IMP;3;PL,0.0,7.142857142857142e-07
gravita,gravitezi,V;IND;PRS;2;SG,0.0,7.142857142857142e-07
gravita,gravitaserăm,V;IND;PST;1;PL;PRF,0.0,7.142857142857142e-07
gravita,gravitează,V;POS;IMP;2;SG,8e-06,7.142857142857142e-07
gravita,gravitarăți,V;IND;PST;2;PL;PFV,0.0,7.142857142857142e-07
gravita,gravitai,V;IND;PST;2;SG;IPFV,0.0,7.142857142857142e-07
gravita,nu gravitați,V;NEG;IMP;3;PL,0.0,7.142857142857142e-07
gravita,să gravitați,V;SBJV;PRS;2;PL,0.0,7.142857142857142e-07
gravita,gravitai,V;IND;PST;1;SG;PFV,0.0,7.142857142857142e-07
gravita,gravitau,V;IND;PST;3;PL;IPFV,0.0,7.142857142857142e-07
gravita,gravitează,V;IND;PRS;3;SG,8e-06,7.142857142857142e-07
gravita,să gravitez,V;SBJV;PRS;1;SG,0.0,7.142857142857142e-07
gravita,gravitară,V;IND;PST;3;PL;PFV,0.0,7.142857142857142e-07
gravita,gravităm,V;IND;PRS;1;PL,0.0,7.142857142857142e-07
gravita,să gravităm,V;SBJV;PRS;1;PL,0.0,7.142857142857142e-07
gravita,gravitași,V;IND;PST;2;SG;PFV,0.0,7.142857142857142e-07
gravita,gravitam,V;IND;PST;1;SG;IPFV,0.0,7.142857142857142e-07
gravita,gravitase,V;IND;PST;3;SG;PRF,0.0,7.142857142857142e-07
gravita,gravitați,V;IND;PST;2;PL;IPFV,0.0,7.142857142857142e-07
gravita,nu gravita,V;NEG;IMP;2;SG,0.0,7.142857142857142e-07
gravita,gravitaseră,V;IND;PST;3;PL;PRF,0.0,7.142857142857142e-07
gravita,gravitați,V;IND;PRS;2;PL,0.0,7.142857142857142e-07
gravita,a gravita,V;NFIN,0.0,7.142857142857142e-07
gravita,gravită,V;IND;PST;3;SG;PFV,0.0,7.142857142857142e-07
gravita,gravitaseși,V;IND;PST;2;SG;PRF,0.0,7.142857142857142e-07
gravita,gravitez,V;IND;PRS;1;SG,0.0,7.142857142857142e-07
gravita,să graviteze,V;SBJV;PRS;3;SG,0.0,7.142857142857142e-07
gravita,gravitam,V;IND;PST;1;PL;IPFV,0.0,7.142857142857142e-07
gravita,gravitaserăți,V;IND;PST;2;PL;PRF,0.0,7.142857142857142e-07
gravita,să graviteze,V;SBJV;PRS;3;PL,0.0,7.142857142857142e-07
gravita,gravitarăm,V;IND;PST;1;PL;PFV,0.0,7.142857142857142e-07
greși,greșea,V;IND;PST;3;SG;IPFV,0.0,3.4285714285714286e-07
greși,greșisem,V;IND;PST;1;SG;PRF,0.0,3.4285714285714286e-07
greși,greșesc,V;IND;PRS;3;PL,5e-06,3.4285714285714286e-07
greși,să greșești,V;SBJV;PRS;2;SG,0.0,3.4285714285714286e-07
greși,greșiți,V;POS;IMP;3;PL,0.0,3.4285714285714286e-07
greși,greșești,V;IND;PRS;2;SG,1e-06,3.4285714285714286e-07
greși,greșiserăm,V;IND;PST;1;PL;PRF,0.0,3.4285714285714286e-07
greși,greșește,V;POS;IMP;2;SG,0.0,3.4285714285714286e-07
greși,greșirăți,V;IND;PST;2;PL;PFV,0.0,3.4285714285714286e-07
greși,greșeai,V;IND;PST;2;SG;IPFV,0.0,3.4285714285714286e-07
greși,nu greșiți,V;NEG;IMP;3;PL,0.0,3.4285714285714286e-07
greși,să greșiți,V;SBJV;PRS;2;PL,0.0,3.4285714285714286e-07
greși,greșii,V;IND;PST;1;SG;PFV,0.0,3.4285714285714286e-07
greși,greșeau,V;IND;PST;3;PL;IPFV,0.0,3.4285714285714286e-07
greși,greșește,V;IND;PRS;3;SG,0.0,3.4285714285714286e-07
greși,să greșesc,V;SBJV;PRS;1;SG,0.0,3.4285714285714286e-07
greși,greșiră,V;IND;PST;3;PL;PFV,0.0,3.4285714285714286e-07
greși,greșim,V;IND;PRS;1;PL,0.0,3.4285714285714286e-07
greși,să greșim,V;SBJV;PRS;1;PL,0.0,3.4285714285714286e-07
greși,greșiși,V;IND;PST;2;SG;PFV,0.0,3.4285714285714286e-07
