lemma,form,paradigm_slot
ᠠᠮᠠᠷᡞᠯᠠᠪᡠᠮᠪᡞ,ᠠᠮᠠᠷᡞᠯᠠᠪᡠᠮᠪᡞ,V;CAUS;FIN;IND;PRS
ᠠᠮᠪᠠᠷᠠᠪᡠᠮᠪᡞ,ᠠᠮᠪᠠᠷᠠᠪᡠᠮᠪᡞ,V;CAUS;FIN;IND;PRS
ᠠᠮᡤᠠᠮᠪᡞ,ᠠᠮᡤᠠᡣᡞᠨᡞ,V;ACT;FIN;IMP;PRS
ᠠᠮᡤᠠᠮᠪᡞ,ᠠᠮᡤᠠᡥᠠ,V;ACT;FIN;IND;PST
ᠠᠮᡤᠠᠮᠪᡞ,ᠠᠮᡤᠠ,V;ACT;FIN;IMP;PRS
ᠠᠮᡤᠠᠮᠪᡞ,ᠠᠮᡤᠠᡣᡞ,V;ACT;FIN;IMP;PRS
ᠠᠯᠠᠮᠪᡞ,ᠠᠯᠠᠨᡪᡞᠴᡞᠨᠠ,V;ACT;FIN;IMP;PRS
ᠠᠯᠠᠮᠪᡞ,ᠠᠯᠠᠴᡞᠨᠠ,V;ACT;FIN;IMP;PRS
ᠠᠯᠠᠮᠪᡞ,ᠠᠯᠠᠷᠠᡣᡡ,V;ACT;FIN;IND;NEG;PRS
ᠠᠯᠠᠮᠪᡞ,ᠠᠯᠠ,V;ACT;FIN;IMP;PRS
ᠠᠯᡞᠪᡠᠮᠪᡞ,ᠠᠯᡞᠪᡠᡥᠠᠪᡞ,V;CAUS;FIN;IND;PST
ᠠᠯᡞᠪᡠᠮᠪᡞ,ᠠᠯᡞᠪᡠᡥᠠ,V;CAUS;FIN;IND;PST
ᠠᠯᡞᠮᠪᡞ,ᠠᠯᡞᠮᠪᡞ,V;ACT;FIN;IND;PRS
ᠠᠯᡞᠮᠪᡞ,ᠠᠯᡞᡥᠠᠪᡞ,V;ACT;FIN;IND;PST
ᠠᠯᡞᠮᠪᡞ,ᠠᠯᡞᠪᡠᠮᠪᡞ,V;CAUS;FIN;IND;PRS
ᠠᠯᡞᠮᠪᡞ,ᠠᠯᡞᡥᠠ,V;ACT;FIN;IND;PST
ᠠᠯᡞᠶᠠᠮᠪᡞ,ᠠᠯᡞᠶᠠᠷᠠᡣᡡ,V;ACT;FIN;IND;NEG;PRS
ᠠᠯᡣᡡᠮᠪᡞ,ᠠᠯᡣᡡᠮᠠᡥᠠᠪᡞ,V;ACT;FIN;IND;PROG;PRS
ᠠᠯᡤᡞᠮᠪᡞ,ᠠᠯᡤᡞᠮᠪᡠᠷᡝ,V;CAUS;FIN;IND;PRS
ᠠᠴᠠᠮᠪᡞ,ᠠᠴᠠᠮᠪᡞ,V;ACT;FIN;IND;PRS
ᠠᠴᠠᠮᠪᡞ,ᠠᠴᠠᡥᠠᡣᡡ,V;ACT;FIN;IND;NEG;PST
ᠠᠴᠠᠮᠪᡞ,ᠠᠴᠠᠷᠠᡣᡡ,V;ACT;FIN;IND;NEG;PRS
ᠠᠴᠠᠮᠪᡞ,ᠠᠴᠠᡥᠠᠪᡞ,V;ACT;FIN;IND;PST
ᠠᠴᠠᠮᠪᡞ,ᠠᠴᠠᠪᡠᡥᠠᠪᡞ,V;ACT;FIN;IND;PST
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠᠷᠠᠠᡣᡡ,V;ACT;FIN;IND;NEG;PRS
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠ,V;ACT;FIN;IMP;PRS
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠᡣᡞᠨᡞ,V;ACT;FIN;IMP;PRS
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠᠷᠠᡣᡡ,V;ACT;FIN;IND;NEG;PRS
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠᠮᠠᡥᠠᠪᡞ,V;ACT;FIN;IND;PROG;PRS
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠᠮᠪᡞ,V;ACT;FIN;IND;PRS
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠᡥᠠ,V;ACT;FIN;IND;PST
ᠠᠷᠠᠮᠪᡞ,ᠠᠷᠠᡣᡞ,V;ACT;FIN;IMP
ᠠᠷᠪᡠᠨ,ᠠᠷᠪᡠᠨ,V;ACT
ᠠᠷᠪᡠᡧᠠᠮᠪᡞ,ᠠᠷᠪᡠᡧᠠᠮᠪᡞ,V;ACT;FIN;IND;PRS
ᠠᡞᠰᡞᠯᠠᠮᠪᡞ,ᠠᡞᠰᡞᠯᠠᡣᡞ,V;ACT;FIN;IMP;PRS
