lemma,form,paradigm_slot,form_freq,lemma_freq
amputirati,amputírajmo,V;IMP;1;PL,0.0,0.0
amputirati,amputírajo,V;IND;PRS;3;PL,0.0,0.0
amputirati,amputírajta,V;IMP;2;DU,0.0,0.0
amputirati,amputírajte,V;IMP;2;PL,0.0,0.0
amputirati,amputírajva,V;IMP;1;DU,0.0,0.0
amputirati,amputíraj,V;IMP;2;SG,0.0,0.0
amputirati,amputíramo,V;IND;PRS;1;PL,0.0,0.0
amputirati,amputíram,V;IND;PRS;1;SG,0.0,0.0
amputirati,amputíraš,V;IND;PRS;2;SG,0.0,0.0
amputirati,amputírata,V;IND;PRS;2;DU,0.0,0.0
amputirati,amputírata,V;IND;PRS;3;DU,0.0,0.0
amputirati,amputírate,V;IND;PRS;2;PL,0.0,0.0
amputirati,amputírati,V;NFIN,0.0,0.0
amputirati,amputírava,V;IND;PRS;1;DU,0.0,0.0
amputirati,amputíra,V;IND;PRS;3;SG,0.0,0.0
amputirati,bi amputíral,V;COND;PRS,0.0,0.0
amputirati,bi bil amputíral,V;COND;PST,0.0,0.0
amputirati,bom amputíral,V;IND;FUT,0.0,0.0
amputirati,sem amputíral,V;IND;PST,0.0,0.0
amputirati,sem bil amputíral,V;IND;PRF;PST,0.0,0.0
blagosloviti,bi bil blagoslôvil,V;COND;PST,0.0,0.0
blagosloviti,bi blagoslôvil,V;COND;PRS,0.0,0.0
blagosloviti,blagoslovíjo,V;IND;PRS;3;PL,0.0,0.0
blagosloviti,blagoslovímo,V;IMP;1;PL,0.0,0.0
blagosloviti,blagoslovímo,V;IND;PRS;1;PL,0.0,0.0
blagosloviti,blagoslovím,V;IND;PRS;1;SG,0.0,0.0
blagosloviti,blagoslovíš,V;IND;PRS;2;SG,0.0,0.0
blagosloviti,blagoslovíta,V;IMP;2;DU,0.0,0.0
blagosloviti,blagoslovíta,V;IND;PRS;2;DU,0.0,0.0
blagosloviti,blagoslovíta,V;IND;PRS;3;DU,0.0,0.0
blagosloviti,blagoslovíte,V;IMP;2;PL,0.0,0.0
blagosloviti,blagoslovíte,V;IND;PRS;2;PL,0.0,0.0
blagosloviti,blagoslovíti,V;NFIN,0.0,0.0
blagosloviti,blagoslovíva,V;IMP;1;DU,0.0,0.0
blagosloviti,blagoslovíva,V;IND;PRS;1;DU,0.0,0.0
blagosloviti,blagoslôvi,V;IMP;2;SG,0.0,0.0
blagosloviti,blagosloví,V;IND;PRS;3;SG,0.0,0.0
blagosloviti,bom blagoslôvil,V;IND;FUT,0.0,0.0
blagosloviti,sem bil blagoslôvil,V;IND;PRF;PST,0.0,0.0
blagosloviti,sem blagoslôvil,V;IND;PST,0.0,0.0
božati,bi bil bóžal,V;COND;PST,0.0,0.0
božati,bi bóžal,V;COND;PRS,0.0,0.0
božati,bom bóžal,V;IND;FUT,0.0,0.0
božati,bóžajmo,V;IMP;1;PL,0.0,0.0
božati,bóžajo,V;IND;PRS;3;PL,0.0,0.0
božati,bóžajta,V;IMP;2;DU,0.0,0.0
božati,bóžajte,V;IMP;2;PL,0.0,0.0
božati,bóžajva,V;IMP;1;DU,0.0,0.0
božati,bóžaj,V;IMP;2;SG,0.0,0.0
božati,bóžamo,V;IND;PRS;1;PL,0.0,0.0
božati,bóžam,V;IND;PRS;1;SG,0.0,0.0
božati,bóžaš,V;IND;PRS;2;SG,0.0,0.0
božati,bóžata,V;IND;PRS;2;DU,0.0,0.0
božati,bóžata,V;IND;PRS;3;DU,0.0,0.0
božati,bóžate,V;IND;PRS;2;PL,0.0,0.0
božati,bóžati,V;NFIN,0.0,0.0
božati,bóžava,V;IND;PRS;1;DU,0.0,0.0
božati,bóža,V;IND;PRS;3;SG,0.0,0.0
božati,sem bil bóžal,V;IND;PRF;PST,0.0,0.0
božati,sem bóžal,V;IND;PST,0.0,0.0
brati,bêrejo,V;IND;PRS;3;PL,0.0,0.0
brati,bêremo,V;IND;PRS;1;PL,0.0,0.0
brati,bêrem,V;IND;PRS;1;SG,0.0,0.0
brati,bêreš,V;IND;PRS;2;SG,0.0,0.0
brati,bêreta,V;IND;PRS;2;DU,0.0,0.0
brati,bêreta,V;IND;PRS;3;DU,0.0,0.0
brati,bêrete,V;IND;PRS;2;PL,0.0,0.0
brati,bêreva,V;IND;PRS;1;DU,0.0,0.0
brati,bêre,V;IND;PRS;3;SG,0.0,0.0
brati,berímo,V;IMP;1;PL,0.0,0.0
brati,beríta,V;IMP;2;DU,0.0,0.0
brati,beríte,V;IMP;2;PL,0.0,0.0
brati,beríva,V;IMP;1;DU,0.0,0.0
brati,bêri,V;IMP;2;SG,0.0,0.0
brati,bi bil brál,V;COND;PST,0.0,0.0
brati,bi brál,V;COND;PRS,0.0,0.0
brati,bom brál,V;IND;FUT,0.0,0.0
brati,bráti,V;NFIN,0.0,0.0
brati,sem bil brál,V;IND;PRF;PST,0.0,0.0
brati,sem brál,V;IND;PST,0.0,0.0
crkljati,bi bil crkljàl,V;COND;PST,0.0,0.0
crkljati,bi crkljàl,V;COND;PRS,0.0,0.0
crkljati,bom crkljàl,V;IND;FUT,0.0,0.0
crkljati,crkljájmo,V;IMP;1;PL,0.0,0.0
crkljati,crkljájo,V;IND;PRS;3;PL,0.0,0.0
crkljati,crkljájta,V;IMP;2;DU,0.0,0.0
crkljati,crkljájte,V;IMP;2;PL,0.0,0.0
crkljati,crkljájva,V;IMP;1;DU,0.0,0.0
crkljati,crkljàj,V;IMP;2;SG,0.0,0.0
crkljati,crkljámo,V;IND;PRS;1;PL,0.0,0.0
crkljati,crkljám,V;IND;PRS;1;SG,0.0,0.0
crkljati,crkljáš,V;IND;PRS;2;SG,0.0,0.0
crkljati,crkljáta,V;IND;PRS;2;DU,0.0,0.0
crkljati,crkljáta,V;IND;PRS;3;DU,0.0,0.0
