lemma,form,paradigm_slot,form_freq,lemma_freq
bvuma,ndinobvuma,"V;SG;1;PRS
",6.666666666666667e-05,6.444444444444442e-05
bvuma,ndirikubvuma,"V;PROG;SG;1;PRS
",0.0,6.444444444444442e-05
bvuma,ndabvuma,"V;SG;1;HOD
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,ndakabvuma,"V;SG;1;PST
",0.0,6.444444444444442e-05
bvuma,ndichabvuma,"V;SG;1;FUT
",0.0,6.444444444444442e-05
bvuma,unobvuma,"V;SG;2;PRS
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,urikubvuma,"V;PROG;SG;2;PRS
",0.0,6.444444444444442e-05
bvuma,wabvuma,"V;SG;2;HOD
",0.0,6.444444444444442e-05
bvuma,wakabvuma,"V;SG;2;PST
",0.0,6.444444444444442e-05
bvuma,uchabvuma,"V;SG;2;FUT
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,anobvuma,"V;SG;3;PRS
",0.0,6.444444444444442e-05
bvuma,arikubvuma,"V;PROG;SG;3;PRS
",0.0,6.444444444444442e-05
bvuma,abvuma,"V;SG;3;HOD
",0.0002,6.444444444444442e-05
bvuma,akabvuma,"V;SG;3;PST
",0.0009666666666666667,6.444444444444442e-05
bvuma,achabvuma,"V;SG;3;FUT
",0.0,6.444444444444442e-05
bvuma,tinobvuma,"V;PL;1;PRS
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,tirikubvuma,"V;PROG;PL;1;PRS
",0.0,6.444444444444442e-05
bvuma,tabvuma,"V;PL;1;HOD
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,takabvuma,"V;PL;1;PST
",0.0,6.444444444444442e-05
bvuma,tichabvuma,"V;PL;1;FUT
",0.0,6.444444444444442e-05
bvuma,munobvuma,"V;PL;2;PRS
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,murikubvuma,"V;PROG;PL;2;PRS
",0.0,6.444444444444442e-05
bvuma,mabvuma,"V;PL;2;HOD
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,makabvuma,"V;PL;2;PST
",0.0,6.444444444444442e-05
bvuma,muchabvuma,"V;PL;2;FUT
",0.0,6.444444444444442e-05
bvuma,vanobvuma,"V;PL;3;PRS
",0.0001,6.444444444444442e-05
bvuma,varikubvuma,"V;PROG;PL;3;PRS
",0.0,6.444444444444442e-05
bvuma,vabvuma,"V;PL;3;HOD
",6.666666666666667e-05,6.444444444444442e-05
bvuma,vakabvuma,"V;PL;3;PST
",0.0003,6.444444444444442e-05
bvuma,vachabvuma,"V;PL;3;FUT
",0.0,6.444444444444442e-05
bvuma,ndinobvuma,"V;SG;1;PRS
",6.666666666666667e-05,6.444444444444442e-05
bvuma,ndirikubvuma,"V;PROG;SG;1;PRS
",0.0,6.444444444444442e-05
bvuma,ndabvuma,"V;SG;1;HOD
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,ndakabvuma,"V;SG;1;PST
",0.0,6.444444444444442e-05
bvuma,ndichabvuma,"V;SG;1;FUT
",0.0,6.444444444444442e-05
bvuma,unobvuma,"V;SG;2;PRS
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,urikubvuma,"V;PROG;SG;2;PRS
",0.0,6.444444444444442e-05
bvuma,wabvuma,"V;SG;2;HOD
",0.0,6.444444444444442e-05
bvuma,wakabvuma,"V;SG;2;PST
",0.0,6.444444444444442e-05
bvuma,uchabvuma,"V;SG;2;FUT
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,anobvuma,"V;SG;3;PRS
",0.0,6.444444444444442e-05
bvuma,arikubvuma,"V;PROG;SG;3;PRS
",0.0,6.444444444444442e-05
bvuma,abvuma,"V;SG;3;HOD
",0.0002,6.444444444444442e-05
bvuma,akabvuma,"V;SG;3;PST
",0.0009666666666666667,6.444444444444442e-05
bvuma,achabvuma,"V;SG;3;FUT
",0.0,6.444444444444442e-05
bvuma,tinobvuma,"V;PL;1;PRS
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,tirikubvuma,"V;PROG;PL;1;PRS
",0.0,6.444444444444442e-05
bvuma,tabvuma,"V;PL;1;HOD
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,takabvuma,"V;PL;1;PST
",0.0,6.444444444444442e-05
bvuma,tichabvuma,"V;PL;1;FUT
",0.0,6.444444444444442e-05
bvuma,munobvuma,"V;PL;2;PRS
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,murikubvuma,"V;PROG;PL;2;PRS
",0.0,6.444444444444442e-05
bvuma,mabvuma,"V;PL;2;HOD
",3.3333333333333335e-05,6.444444444444442e-05
bvuma,makabvuma,"V;PL;2;PST
",0.0,6.444444444444442e-05
bvuma,muchabvuma,"V;PL;2;FUT
",0.0,6.444444444444442e-05
bvuma,vanobvuma,"V;PL;3;PRS
",0.0001,6.444444444444442e-05
bvuma,varikubvuma,"V;PROG;PL;3;PRS
",0.0,6.444444444444442e-05
bvuma,vabvuma,"V;PL;3;HOD
",6.666666666666667e-05,6.444444444444442e-05
bvuma,vakabvuma,"V;PL;3;PST
",0.0003,6.444444444444442e-05
bvuma,vachabvuma,"V;PL;3;FUT
",0.0,6.444444444444442e-05
pindura,ndinopindura,"V;SG;1;PRS
",0.0,0.00019888888888888883
pindura,ndirikupindura,"V;PROG;SG;1;PRS
",0.0,0.00019888888888888883
pindura,ndapindura,"V;SG;1;HOD
",0.0,0.00019888888888888883
pindura,ndakapindura,"V;SG;1;PST
",0.0,0.00019888888888888883
pindura,ndichapindura,"V;SG;1;FUT
",0.0,0.00019888888888888883
pindura,unopindura,"V;SG;2;PRS
",3.3333333333333335e-05,0.00019888888888888883
pindura,urikupindura,"V;PROG;SG;2;PRS
",0.0,0.00019888888888888883
pindura,wapindura,"V;SG;2;HOD
",0.0,0.00019888888888888883
pindura,wakapindura,"V;SG;2;PST
",6.666666666666667e-05,0.00019888888888888883
pindura,uchapindura,"V;SG;2;FUT
",0.0,0.00019888888888888883
pindura,anopindura,"V;SG;3;PRS
",0.00013333333333333334,0.00019888888888888883
pindura,arikupindura,"V;PROG;SG;3;PRS
",0.0,0.00019888888888888883
pindura,apindura,"V;SG;3;HOD
",0.00023333333333333333,0.00019888888888888883
pindura,akapindura,"V;SG;3;PST
",0.0045,0.00019888888888888883
pindura,achapindura,"V;SG;3;FUT
",0.0,0.00019888888888888883
pindura,tinopindura,"V;PL;1;PRS
",0.0,0.00019888888888888883
pindura,tirikupindura,"V;PROG;PL;1;PRS
",0.0,0.00019888888888888883
pindura,tapindura,"V;PL;1;HOD
",0.0,0.00019888888888888883
pindura,takapindura,"V;PL;1;PST
",0.0,0.00019888888888888883
pindura,tichapindura,"V;PL;1;FUT
",0.0,0.00019888888888888883
pindura,munopindura,"V;PL;2;PRS
",0.0,0.00019888888888888883
pindura,murikupindura,"V;PROG;PL;2;PRS
",0.0,0.00019888888888888883
pindura,mapindura,"V;PL;2;HOD
",0.0,0.00019888888888888883
pindura,makapindura,"V;PL;2;PST
",0.0,0.00019888888888888883
pindura,muchapindura,"V;PL;2;FUT
",0.0,0.00019888888888888883
pindura,vanopindura,"V;PL;3;PRS
",0.00013333333333333334,0.00019888888888888883
pindura,varikupindura,"V;PROG;PL;3;PRS
",0.0,0.00019888888888888883
pindura,vapindura,"V;PL;3;HOD
",0.0002,0.00019888888888888883
pindura,vakapindura,"V;PL;3;PST
",0.0006333333333333333,0.00019888888888888883
pindura,vachapindura,"V;PL;3;FUT
",3.3333333333333335e-05,0.00019888888888888883
zviratidze,ndinozviratidze,"V;SG;1;PRS
",0.0,0.0
zviratidze,ndirikuzviratidze,"V;PROG;SG;1;PRS
",0.0,0.0
zviratidze,ndazviratidze,"V;SG;1;HOD
",0.0,0.0
zviratidze,ndakazviratidze,"V;SG;1;PST
",0.0,0.0
zviratidze,ndichazviratidze,"V;SG;1;FUT
",0.0,0.0
zviratidze,unozviratidze,"V;SG;2;PRS
",0.0,0.0
zviratidze,urikuzviratidze,"V;PROG;SG;2;PRS
",0.0,0.0
zviratidze,wazviratidze,"V;SG;2;HOD
",0.0,0.0
zviratidze,wakazviratidze,"V;SG;2;PST
",0.0,0.0
zviratidze,uchazviratidze,"V;SG;2;FUT
",0.0,0.0
zviratidze,anozviratidze,"V;SG;3;PRS
",0.0,0.0
zviratidze,arikuzviratidze,"V;PROG;SG;3;PRS
",0.0,0.0
zviratidze,azviratidze,"V;SG;3;HOD
",0.0,0.0
zviratidze,akazviratidze,"V;SG;3;PST
",0.0,0.0
zviratidze,achazviratidze,"V;SG;3;FUT
",0.0,0.0
zviratidze,tinozviratidze,"V;PL;1;PRS
",0.0,0.0
zviratidze,tirikuzviratidze,"V;PROG;PL;1;PRS
",0.0,0.0
zviratidze,tazviratidze,"V;PL;1;HOD
",0.0,0.0
zviratidze,takazviratidze,"V;PL;1;PST
",0.0,0.0
zviratidze,tichazviratidze,"V;PL;1;FUT
",0.0,0.0
zviratidze,munozviratidze,"V;PL;2;PRS
",0.0,0.0
zviratidze,murikuzviratidze,"V;PROG;PL;2;PRS
",0.0,0.0
zviratidze,mazviratidze,"V;PL;2;HOD
",0.0,0.0
zviratidze,makazviratidze,"V;PL;2;PST
",0.0,0.0
zviratidze,muchazviratidze,"V;PL;2;FUT
",0.0,0.0
zviratidze,vanozviratidze,"V;PL;3;PRS
",0.0,0.0
zviratidze,varikuzviratidze,"V;PROG;PL;3;PRS
",0.0,0.0
zviratidze,vazviratidze,"V;PL;3;HOD
",0.0,0.0
zviratidze,vakazviratidze,"V;PL;3;PST
",0.0,0.0
zviratidze,vachazviratidze,"V;PL;3;FUT
",0.0,0.0
bvunza,ndinobvunza,"V;SG;1;PRS
",0.0,0.00014111111111111106
bvunza,ndirikubvunza,"V;PROG;SG;1;PRS
",0.0,0.00014111111111111106
bvunza,ndabvunza,"V;SG;1;HOD
",0.0,0.00014111111111111106
bvunza,ndakabvunza,"V;SG;1;PST
",0.0,0.00014111111111111106
bvunza,ndichabvunza,"V;SG;1;FUT
",0.0,0.00014111111111111106
