lemma,form,paradigm_slot,form_freq,lemma_freq
abdikoj,abdikofsha,V;1;SG;OPT;PRS,0.0,0.0
abdikoj,abdikofshim,V;1;PL;OPT;PRS,0.0,0.0
abdikoj,abdikofshin,V;3;PL;OPT;PRS,0.0,0.0
abdikoj,abdikofshit,V;2;PL;OPT;PRS,0.0,0.0
abdikoj,abdikofsh,V;2;SG;OPT;PRS,0.0,0.0
abdikoj,abdikoftë,V;3;SG;OPT;PRS,0.0,0.0
abdikoj,abdikoi,V;3;SG;IND;PST,0.0,0.0
abdikoj,abdikoja,V;1;SG;IND;IPFV,0.0,0.0
abdikoj,abdikoje,V;2;SG;IND;IPFV,0.0,0.0
abdikoj,abdikojmë,V;1;PL;IND;PRS,0.0,0.0
abdikoj,abdikojnë,V;3;PL;IND;PRS,0.0,0.0
abdikoj,abdikoj,V;1;SG;IND;PRS,0.0,0.0
abdikoj,abdikonim,V;1;PL;IND;IPFV,0.0,0.0
abdikoj,abdikonin,V;3;PL;IND;IPFV,0.0,0.0
abdikoj,abdikonit,V;2;PL;IND;IPFV,0.0,0.0
abdikoj,abdikoni,V;2;PL;IMP,0.0,0.0
abdikoj,abdikoni,V;2;PL;IND;PRS,0.0,0.0
abdikoj,abdikonte,V;3;SG;IND;IPFV,0.0,0.0
abdikoj,abdikon,V;2;SG;IND;PRS,0.0,0.0
abdikoj,abdikon,V;3;SG;IND;PRS,0.0,0.0
abdikoj,abdiko,V;2;SG;IMP,0.0,0.0
abdikoj,abdikova,V;1;SG;IND;PST,0.0,0.0
abdikoj,abdikove,V;2;SG;IND;PST,0.0,0.0
abdikoj,abdikuakam,V;1;SG;ADM;PRS,0.0,0.0
abdikoj,abdikuakan,V;3;PL;ADM;PRS,0.0,0.0
abdikoj,abdikuaka,V;3;SG;ADM;PRS,0.0,0.0
abdikoj,abdikuakemi,V;1;PL;ADM;PRS,0.0,0.0
abdikoj,abdikuakeni,V;2;PL;ADM;PRS,0.0,0.0
abdikoj,abdikuakësha,V;1;SG;ADM;IPFV,0.0,0.0
abdikoj,abdikuakëshe,V;2;SG;ADM;IPFV,0.0,0.0
abdikoj,abdikuakëshim,V;1;PL;ADM;IPFV,0.0,0.0
abdikoj,abdikuakëshin,V;3;PL;ADM;IPFV,0.0,0.0
abdikoj,abdikuakëshit,V;2;PL;ADM;IPFV,0.0,0.0
abdikoj,abdikuakësh,V;3;SG;ADM;IPFV,0.0,0.0
abdikoj,abdikuake,V;2;SG;ADM;PRS,0.0,0.0
abdikoj,abdikuam,V;1;PL;IND;PST,0.0,0.0
abdikoj,abdikuan,V;3;PL;IND;PST,0.0,0.0
abdikoj,abdikuar,V;V.PTCP,0.0,0.0
abdikoj,abdikuat,V;2;PL;IND;PST,0.0,0.0
abdikoj,do të abdikoja,V;1;SG;COND;PRS,0.0,0.0
abdikoj,do të abdikoje,V;2;SG;COND;PRS,0.0,0.0
abdikoj,do të abdikojë,V;3;SG;IND;FUT,0.0,0.0
abdikoj,do të abdikojmë,V;1;PL;IND;FUT,0.0,0.0
abdikoj,do të abdikojnë,V;3;PL;IND;FUT,0.0,0.0
abdikoj,do të abdikoj,V;1;SG;IND;FUT,0.0,0.0
abdikoj,do të abdikonim,V;1;PL;COND;PRS,0.0,0.0
abdikoj,do të abdikonin,V;3;PL;COND;PRS,0.0,0.0
abdikoj,do të abdikonit,V;2;PL;COND;PRS,0.0,0.0
abdikoj,do të abdikoni,V;2;PL;IND;FUT,0.0,0.0
abdikoj,do të abdikonte,V;3;SG;COND;PRS,0.0,0.0
abdikoj,do të abdikosh,V;2;SG;IND;FUT,0.0,0.0
abdikoj,do të kem abdikuar,V;1;SG;IND;PRF;FUT,0.0,0.0
abdikoj,do të kemi abdikuar,V;1;PL;IND;PRF;FUT,0.0,0.0
abdikoj,do të kenë abdikuar,V;3;PL;IND;PRF;FUT,0.0,0.0
abdikoj,do të keni abdikuar,V;2;PL;IND;PRF;FUT,0.0,0.0
abdikoj,do të kesh abdikuar,V;2;SG;IND;PRF;FUT,0.0,0.0
abdikoj,do të ketë abdikuar,V;3;SG;IND;PRF;FUT,0.0,0.0
abdikoj,do të kisha abdikuar,V;1;SG;COND;PRF,0.0,0.0
abdikoj,do të kishe abdikuar,V;2;SG;COND;PRF,0.0,0.0
abdikoj,do të kishim abdikuar,V;1;PL;COND;PRF,0.0,0.0
abdikoj,do të kishin abdikuar,V;3;PL;COND;PRF,0.0,0.0
abdikoj,do të kishit abdikuar,V;2;PL;COND;PRF,0.0,0.0
abdikoj,do të kishte abdikuar,V;3;SG;COND;PRF,0.0,0.0
abdikoj,duke abdikuar,V;V.PTCP;PRS,0.0,0.0
abdikoj,duke pasë abdikuar,V;V.PTCP;PST,0.0,0.0
abdikoj,ka abdikuar,V;3;SG;IND;PRF,0.0,0.0
abdikoj,kam abdikuar,V;1;SG;IND;PRF,0.0,0.0
abdikoj,kanë abdikuar,V;3;PL;IND;PRF,0.0,0.0
abdikoj,ke abdikuar,V;2;SG;IND;PRF,0.0,0.0
abdikoj,kemi abdikuar,V;1;PL;IND;PRF,0.0,0.0
abdikoj,keni abdikuar,V;2;PL;IND;PRF,0.0,0.0
abdikoj,paça abdikuar,V;1;SG;OPT;PRF,0.0,0.0
abdikoj,paç abdikuar,V;2;SG;OPT;PRF,0.0,0.0
abdikoj,paçim abdikuar,V;1;PL;OPT;PRF,0.0,0.0
abdikoj,paçin abdikuar,V;3;PL;OPT;PRF,0.0,0.0
abdikoj,paçit abdikuar,V;2;PL;OPT;PRF,0.0,0.0
abdikoj,paska abdikuar,V;3;SG;ADM;PRF,0.0,0.0
abdikoj,paskam abdikuar,V;1;SG;ADM;PRF,0.0,0.0
abdikoj,paskan abdikuar,V;3;PL;ADM;PRF,0.0,0.0
abdikoj,paske abdikuar,V;2;SG;ADM;PRF,0.0,0.0
abdikoj,paskemi abdikuar,V;1;PL;ADM;PRF,0.0,0.0
abdikoj,paskeni abdikuar,V;2;PL;ADM;PRF,0.0,0.0
abdikoj,paskësha abdikuar,V;1;SG;ADM;PRF;PST,0.0,0.0
abdikoj,paskësh abdikuar,V;3;SG;ADM;PRF;PST,0.0,0.0
abdikoj,paskëshe abdikuar,V;2;SG;ADM;PRF;PST,0.0,0.0
abdikoj,paskëshim abdikuar,V;1;PL;ADM;PRF;PST,0.0,0.0
abdikoj,paskëshin abdikuar,V;3;PL;ADM;PRF;PST,0.0,0.0
abdikoj,paskëshit abdikuar,V;2;PL;ADM;PRF;PRF,0.0,0.0
abdikoj,pastë abdikuar,V;3;SG;OPT;PRF,0.0,0.0
abdikoj,pata abdikuar,V;1;SG;IND;PRF;PST,0.0,0.0
abdikoj,pate abdikuar,V;2;SG;IND;PRF;PST,0.0,0.0
abdikoj,patëm abdikuar,V;1;PL;IND;PRF;PST,0.0,0.0
abdikoj,patën abdikuar,V;3;PL;IND;PRF;PST,0.0,0.0
abdikoj,patët abdikuar,V;2;PL;IND;PRF;PRF,0.0,0.0
abdikoj,pati abdikuar,V;3;SG;IND;PRF;PST,0.0,0.0
abdikoj,për të abdikuar,V;NFIN,0.0,0.0
abdikoj,të abdikoja,V;1;SG;SBJV;PST,0.0,0.0
abdikoj,të abdikoje,V;2;SG;SBJV;PST,0.0,0.0
abdikoj,të abdikojë,V;3;SG;SBJV;PRS,0.0,0.0
abdikoj,të abdikojmë,V;1;PL;SBJV;PRS,0.0,0.0
abdikoj,të abdikojnë,V;3;PL;SBJV;PRS,0.0,0.0
abdikoj,të abdikoj,V;1;SG;SBJV;PRS,0.0,0.0
abdikoj,të abdikonim,V;1;PL;SBJV;PST,0.0,0.0
abdikoj,të abdikonin,V;3;PL;SBJV;PST,0.0,0.0
abdikoj,të abdikonit,V;2;PL;SBJV;PST,0.0,0.0
abdikoj,të abdikoni,V;2;PL;SBJV;PRS,0.0,0.0
abdikoj,të abdikonte,V;3;SG;SBJV;PST,0.0,0.0
abdikoj,të abdikosh,V;2;SG;SBJV;PRS,0.0,0.0
abdikoj,të kem abdikuar,V;1;SG;SBJV;PRF,0.0,0.0
abdikoj,të kemi abdikuar,V;1;PL;SBJV;PRF,0.0,0.0
abdikoj,të kenë abdikuar,V;3;PL;SBJV;PRF,0.0,0.0
abdikoj,të keni abdikuar,V;2;PL;SBJV;PRF,0.0,0.0
abdikoj,të kesh abdikuar,V;2;SG;SBJV;PRF,0.0,0.0
abdikoj,të ketë abdikuar,V;3;SG;SBJV;PRF,0.0,0.0
abdikoj,të kisha abdikuar,V;1;SG;SBJV;PRF;PST,0.0,0.0
abdikoj,të kishe abdikuar,V;2;SG;SBJV;PRF;PST,0.0,0.0
abdikoj,të kishim abdikuar,V;1;PL;SBJV;PRF;PST,0.0,0.0
abdikoj,të kishin abdikuar,V;3;PL;SBJV;PRF;PST,0.0,0.0
abdikoj,të kishit abdikuar,V;2;PL;SBJV;PRF;PRF,0.0,0.0
abdikoj,të kishte abdikuar,V;3;SG;SBJV;PRF;PST,0.0,0.0
abonohem,abonohej,V;3;SG;IND;IPFV,0.0,1.0000000000000001e-07
abonohem,abonohemi,V;1;PL;IND;PRS,0.0,1.0000000000000001e-07
abonohem,abonohem,V;1;SG;IND;PRS,0.0,1.0000000000000001e-07
abonohem,abonoheni,V;2;PL;IND;PRS,1e-06,1.0000000000000001e-07
abonohem,abonohen,V;3;PL;IND;PRS,2e-06,1.0000000000000001e-07
abonohem,abonohesha,V;1;SG;IND;IPFV,0.0,1.0000000000000001e-07
abonohem,abonoheshe,V;2;SG;IND;IPFV,0.0,1.0000000000000001e-07
abonohem,abonoheshim,V;1;PL;IND;IPFV,0.0,1.0000000000000001e-07
abonohem,abonoheshin,V;3;PL;IND;IPFV,0.0,1.0000000000000001e-07
abonohem,abonoheshit,V;2;PL;IND;IPFV,0.0,1.0000000000000001e-07
abonohem,abonohesh,V;2;SG;IND;PRS,0.0,1.0000000000000001e-07
abonohem,abonohet,V;3;SG;IND;PRS,1e-06,1.0000000000000001e-07
abonohem,abonohuni,V;2;PL;IMP,1e-06,1.0000000000000001e-07
abonohem,abonohu,V;2;SG;IMP,0.0,1.0000000000000001e-07
abonohem,abonuar,V;V.PTCP,7e-06,1.0000000000000001e-07
abonohem,do të abonohej,V;3;SG;COND;PRS,0.0,1.0000000000000001e-07
abonohem,do të abonohemi,V;1;PL;IND;FUT,0.0,1.0000000000000001e-07
abonohem,do të abonohem,V;1;SG;IND;FUT,0.0,1.0000000000000001e-07
abonohem,do të abonoheni,V;2;PL;IND;FUT,0.0,1.0000000000000001e-07
abonohem,do të abonohen,V;3;PL;IND;FUT,0.0,1.0000000000000001e-07
abonohem,do të abonohesha,V;1;SG;COND;PRS,0.0,1.0000000000000001e-07
abonohem,do të abonoheshe,V;2;SG;COND;PRS,0.0,1.0000000000000001e-07
abonohem,do të abonoheshim,V;1;PL;COND;PRS,0.0,1.0000000000000001e-07
abonohem,do të abonoheshin,V;3;PL;COND;PRS,0.0,1.0000000000000001e-07
abonohem,do të abonoheshit,V;2;PL;COND;PRS,0.0,1.0000000000000001e-07
abonohem,do të abonohesh,V;2;SG;IND;FUT,0.0,1.0000000000000001e-07
abonohem,do të abonohet,V;3;SG;IND;FUT,0.0,1.0000000000000001e-07
abonohem,do të isha abonuar,V;1;SG;COND;PRF,0.0,1.0000000000000001e-07
abonohem,do të ishe abonuar,V;2;SG;COND;PRF,0.0,1.0000000000000001e-07
abonohem,do të ishim abonuar,V;1;PL;COND;PRF,0.0,1.0000000000000001e-07
abonohem,do të ishin abonuar,V;3;PL;COND;PRF,0.0,1.0000000000000001e-07
abonohem,do të ishit abonuar,V;2;PL;COND;PRF,0.0,1.0000000000000001e-07
abonohem,do të ishte abonuar,V;3;SG;COND;PRF,0.0,1.0000000000000001e-07
abonohem,do të jem abonuar,V;1;SG;IND;PRF;FUT,0.0,1.0000000000000001e-07
abonohem,do të jemi abonuar,V;1;PL;IND;PRF;FUT,0.0,1.0000000000000001e-07
abonohem,do të jenë abonuar,V;3;PL;IND;PRF;FUT,0.0,1.0000000000000001e-07
abonohem,do të jeni abonuar,V;2;PL;IND;PRF;FUT,0.0,1.0000000000000001e-07
abonohem,do të jesh abonuar,V;2;SG;IND;PRF;FUT,0.0,1.0000000000000001e-07
abonohem,do të jetë abonuar,V;3;SG;IND;PRF;FUT,0.0,1.0000000000000001e-07
abonohem,duke u abonuar,V;V.PTCP;PRS,0.0,1.0000000000000001e-07
abonohem,duke u pasë abonuar,V;V.PTCP;PST,0.0,1.0000000000000001e-07
abonohem,është abonuar,V;3;SG;IND;PRF,0.0,1.0000000000000001e-07
abonohem,isha abonuar,V;1;SG;IND;PRF;PST,0.0,1.0000000000000001e-07
abonohem,ishe abonuar,V;2;SG;IND;PRF;PST,0.0,1.0000000000000001e-07
abonohem,ishim abonuar,V;1;PL;IND;PRF;PST,0.0,1.0000000000000001e-07
abonohem,ishin abonuar,V;3;PL;IND;PRF;PST,0.0,1.0000000000000001e-07
abonohem,ishit abonuar,V;2;PL;IND;PRF;PRF,0.0,1.0000000000000001e-07
abonohem,ishte abonuar,V;3;SG;IND;PRF;PST,0.0,1.0000000000000001e-07
abonohem,jam abonuar,V;1;SG;IND;PRF,0.0,1.0000000000000001e-07
abonohem,janë abonuar,V;3;PL;IND;PRF,0.0,1.0000000000000001e-07
abonohem,je abonuar,V;2;SG;IND;PRF,0.0,1.0000000000000001e-07
abonohem,jemi abonuar,V;1;PL;IND;PRF,0.0,1.0000000000000001e-07
abonohem,jeni abonuar,V;2;PL;IND;PRF,0.0,1.0000000000000001e-07
abonohem,për t'u abonuar,V;NFIN,0.0,1.0000000000000001e-07
abonohem,qenka abonuar,V;3;SG;ADM;PRF,0.0,1.0000000000000001e-07
abonohem,qenkam abonuar,V;1;SG;ADM;PRF,0.0,1.0000000000000001e-07
abonohem,qenkan abonuar,V;3;PL;ADM;PRF,0.0,1.0000000000000001e-07
abonohem,qenke abonuar,V;2;SG;ADM;PRF,0.0,1.0000000000000001e-07
abonohem,qenkemi abonuar,V;1;PL;ADM;PRF,0.0,1.0000000000000001e-07
abonohem,qenkeni abonuar,V;2;PL;ADM;PRF,0.0,1.0000000000000001e-07
abonohem,qenkësha abonuar,V;1;SG;ADM;PRF;PST,0.0,1.0000000000000001e-07
abonohem,qenkësh abonuar,V;3;SG;ADM;PRF;PST,0.0,1.0000000000000001e-07
abonohem,qenkëshe abonuar,V;2;SG;ADM;PRF;PST,0.0,1.0000000000000001e-07
abonohem,qenkëshim abonuar,V;1;PL;ADM;PRF;PST,0.0,1.0000000000000001e-07
abonohem,qenkëshin abonuar,V;3;PL;ADM;PRF;PST,0.0,1.0000000000000001e-07
abonohem,qenkëshit abonuar,V;2;PL;ADM;PRF;PRF,0.0,1.0000000000000001e-07
abonohem,qofsha abonuar,V;1;SG;OPT;PRF,0.0,1.0000000000000001e-07
abonohem,qofsh abonuar,V;2;SG;OPT;PRF,0.0,1.0000000000000001e-07
abonohem,qofshim abonuar,V;1;PL;OPT;PRF,0.0,1.0000000000000001e-07
abonohem,qofshin abonuar,V;3;PL;OPT;PRF,0.0,1.0000000000000001e-07
abonohem,qofshit abonuar,V;2;PL;OPT;PRF,0.0,1.0000000000000001e-07
abonohem,qoftë abonuar,V;3;SG;OPT;PRF,0.0,1.0000000000000001e-07
abonohem,të abonohej,V;3;SG;SBJV;PST,0.0,1.0000000000000001e-07
abonohem,të abonohemi,V;1;PL;SBJV;PRS,0.0,1.0000000000000001e-07
abonohem,të abonohem,V;1;SG;SBJV;PRS,0.0,1.0000000000000001e-07
abonohem,të abonoheni,V;2;PL;SBJV;PRS,0.0,1.0000000000000001e-07
abonohem,të abonohen,V;3;PL;SBJV;PRS,0.0,1.0000000000000001e-07
abonohem,të abonohesha,V;1;SG;SBJV;PST,0.0,1.0000000000000001e-07
abonohem,të abonoheshe,V;2;SG;SBJV;PST,0.0,1.0000000000000001e-07
abonohem,të abonoheshim,V;1;PL;SBJV;PST,0.0,1.0000000000000001e-07
abonohem,të abonoheshin,V;3;PL;SBJV;PST,0.0,1.0000000000000001e-07
abonohem,të abonoheshit,V;2;PL;SBJV;PST,0.0,1.0000000000000001e-07
abonohem,të abonohesh,V;2;SG;SBJV;PRS,0.0,1.0000000000000001e-07
abonohem,të abonohet,V;3;SG;SBJV;PRS,0.0,1.0000000000000001e-07
abonohem,të isha abonuar,V;1;SG;SBJV;PRF;PST,0.0,1.0000000000000001e-07
abonohem,të ishe abonuar,V;2;SG;SBJV;PRF;PST,0.0,1.0000000000000001e-07
abonohem,të ishim abonuar,V;1;PL;SBJV;PRF;PST,0.0,1.0000000000000001e-07
abonohem,të ishin abonuar,V;3;PL;SBJV;PRF;PST,0.0,1.0000000000000001e-07
abonohem,të ishit abonuar,V;2;PL;SBJV;PRF;PRF,0.0,1.0000000000000001e-07
abonohem,të ishte abonuar,V;3;SG;SBJV;PRF;PST,0.0,1.0000000000000001e-07
abonohem,të jem abonuar,V;1;SG;SBJV;PRF,0.0,1.0000000000000001e-07
abonohem,të jemi abonuar,V;1;PL;SBJV;PRF,0.0,1.0000000000000001e-07
abonohem,të jenë abonuar,V;3;PL;SBJV;PRF,0.0,1.0000000000000001e-07
abonohem,të jeni abonuar,V;2;PL;SBJV;PRF,0.0,1.0000000000000001e-07
