lemma,form,paradigm_slot,form_freq,lemma_freq
räkna,räkna,V;NFIN;ACT,0.000789,0.0003503684210526315
räkna,räknas,V;NFIN;PASS,0.000931,0.0003503684210526315
räkna,räknat,V;V.CVB;ACT,0.000302,0.0003503684210526315
räkna,räknats,V;V.CVB;PASS,3.3e-05,0.0003503684210526315
räkna,räkna,V;IMP;ACT,0.000789,0.0003503684210526315
räkna,räknar,V;IND;SG;ACT;PRS,0.000666,0.0003503684210526315
räkna,räknade,V;IND;SG;ACT;PST,0.000119,0.0003503684210526315
räkna,räknas,V;IND;SG;PASS;PRS,0.000931,0.0003503684210526315
räkna,räknades,V;IND;SG;PASS;PST,4.4e-05,0.0003503684210526315
räkna,räkna,V;IND;PL;ACT;PRS,0.000789,0.0003503684210526315
räkna,räknade,V;IND;PL;ACT;PST,0.000119,0.0003503684210526315
räkna,räknas,V;IND;PL;PASS;PRS,0.000931,0.0003503684210526315
räkna,räknades,V;IND;PL;PASS;PST,4.4e-05,0.0003503684210526315
räkna,räkne,V;SBJV;ACT;PRS,1e-06,0.0003503684210526315
räkna,räknade,V;SBJV;ACT;PST,0.000119,0.0003503684210526315
räkna,räknes,V;SBJV;PASS;PRS,0.0,0.0003503684210526315
räkna,räknades,V;SBJV;PASS;PST,4.4e-05,0.0003503684210526315
räkna,räknande,V;V.PTCP;PRS,2e-06,0.0003503684210526315
räkna,räknad,V;V.PTCP;PST,4e-06,0.0003503684210526315
kupa,kupa,V;NFIN;ACT,1.6e-05,3.6842105263157892e-06
kupa,kupas,V;NFIN;PASS,0.0,3.6842105263157892e-06
kupa,kupat,V;V.CVB;ACT,1e-06,3.6842105263157892e-06
kupa,kupats,V;V.CVB;PASS,0.0,3.6842105263157892e-06
kupa,kupa,V;IMP;ACT,1.6e-05,3.6842105263157892e-06
kupa,kupar,V;IND;SG;ACT;PRS,0.0,3.6842105263157892e-06
kupa,kupade,V;IND;SG;ACT;PST,6e-06,3.6842105263157892e-06
kupa,kupas,V;IND;SG;PASS;PRS,0.0,3.6842105263157892e-06
kupa,kupades,V;IND;SG;PASS;PST,0.0,3.6842105263157892e-06
kupa,kupa,V;IND;PL;ACT;PRS,1.6e-05,3.6842105263157892e-06
kupa,kupade,V;IND;PL;ACT;PST,6e-06,3.6842105263157892e-06
kupa,kupas,V;IND;PL;PASS;PRS,0.0,3.6842105263157892e-06
kupa,kupades,V;IND;PL;PASS;PST,0.0,3.6842105263157892e-06
kupa,kupe,V;SBJV;ACT;PRS,0.0,3.6842105263157892e-06
kupa,kupade,V;SBJV;ACT;PST,6e-06,3.6842105263157892e-06
kupa,kupes,V;SBJV;PASS;PRS,0.0,3.6842105263157892e-06
kupa,kupades,V;SBJV;PASS;PST,0.0,3.6842105263157892e-06
kupa,kupande,V;V.PTCP;PRS,0.0,3.6842105263157892e-06
kupa,kupad,V;V.PTCP;PST,3e-06,3.6842105263157892e-06
slita,slita,V;NFIN;ACT,6.1e-05,2.1650000000000004e-05
slita,slitas,V;NFIN;PASS,6e-06,2.1650000000000004e-05
slita,slitit,V;V.CVB;ACT,2.3e-05,2.1650000000000004e-05
slita,slitits,V;V.CVB;PASS,1e-05,2.1650000000000004e-05
slita,slit,V;IMP;ACT,4.5e-05,2.1650000000000004e-05
slita,sliter,V;IND;SG;ACT;PRS,5.4e-05,2.1650000000000004e-05
slita,slet,V;IND;SG;ACT;PST,4.8e-05,2.1650000000000004e-05
slita,slits,V;IND;SG;PASS;PRS,5.7e-05,2.1650000000000004e-05
