lemma,form,paradigm_slot,form_freq,lemma_freq
gizlemek,gizley,V;PRS;3;SG,0.0,0.0
gizlemek,gizle,V;IMP;2;SG,0.0,0.0
gizlemek,gizlegen,V;V.PTCP,0.0,0.0
gizlemek,gizlemek,V;NFIN,0.0,0.0
gizlemek,gizledi,V;PST;3;SG,0.0,0.0
iytemek,iytey,V;PRS;3;SG,0.0,0.0
iytemek,iyte,V;IMP;2;SG,0.0,0.0
iytemek,iytegen,V;V.PTCP,0.0,0.0
iytemek,iytemek,V;NFIN,0.0,0.0
iytemek,iytedi,V;PST;3;SG,0.0,0.0
kirişmek,kirişe,V;PRS;3;SG,0.0,0.0
kirişmek,kiriş,V;IMP;2;SG,0.0,0.0
kirişmek,kirişken,V;V.PTCP,0.0,0.0
kirişmek,kirişmek,V;NFIN,0.0,0.0
kirişmek,kirişti,V;PST;3;SG,0.0,0.0
alşaymaq,alşaymaq,V;NFIN,0.0,0.0
alşaymaq,alşaya,V;PRS;3;SG,0.0,0.0
alşaymaq,alşaydı,V;PST;3;SG,0.0,0.0
alşaymaq,alşayğan,V;V.PTCP,0.0,0.0
alşaymaq,alşay,V;IMP;2;SG,0.0,0.0
muqayt olmaq,muqayt olmaq,V;NFIN,0.0,0.0
muqayt olmaq,muqayt ola,V;PRS;3;SG,0.0,0.0
muqayt olmaq,muqayt oldı,V;PST;3;SG,0.0,0.0
muqayt olmaq,muqayt olğan,V;V.PTCP,0.0,0.0
muqayt olmaq,muqayt ol,V;IMP;2;SG,0.0,0.0
onğarmaq,onğarmaq,V;NFIN,0.0,0.0
onğarmaq,onğara,V;PRS;3;SG,0.0,0.0
onğarmaq,onğardı,V;PST;3;SG,0.0,0.0
onğarmaq,onğarğan,V;V.PTCP,0.0,0.0
onğarmaq,onğar,V;IMP;2;SG,0.0,0.0
qabınmaq,qabınmaq,V;NFIN,0.0,0.0
qabınmaq,qabına,V;PRS;3;SG,0.0,0.0
qabınmaq,qabındı,V;PST;3;SG,0.0,0.0
qabınmaq,qabınğan,V;V.PTCP,0.0,0.0
qabınmaq,qabın,V;IMP;2;SG,0.0,0.0
qapatmaq,qapata,V;PRS;3;SG,0.0,0.0
qapatmaq,qapat,V;IMP;2;SG,0.0,0.0
qapatmaq,qapatqan,V;V.PTCP,0.0,0.0
qapatmaq,qapatmaq,V;NFIN,0.0,0.0
qapatmaq,qapatdı,V;PST;3;SG,0.0,0.0
qaramaq,qaray,V;PRS;3;SG,0.0,0.0
qaramaq,qara,V;IMP;2;SG,0.0,0.0
qaramaq,qarağan,V;V.PTCP,0.0,0.0
qaramaq,qaramaq,V;NFIN,0.0,0.0
qaramaq,qaradı,V;PST;3;SG,0.0,0.0
qartaymaq,qartaymaq,V;NFIN,0.0,0.0
qartaymaq,qartaya,V;PRS;3;SG,0.0,0.0
qartaymaq,qartaydı,V;PST;3;SG,0.0,0.0
qartaymaq,qartayğan,V;V.PTCP,0.0,0.0
qartaymaq,qartay,V;IMP;2;SG,0.0,0.0
saylamaq,saylay,V;PRS;3;SG,0.0,0.0
saylamaq,sayla,V;IMP;2;SG,0.0,0.0
saylamaq,saylağan,V;V.PTCP,0.0,0.0
saylamaq,saylamaq,V;NFIN,0.0,0.0
saylamaq,sayladı,V;PST;3;SG,0.0,0.0
sağınmaq,sağınmaq,V;NFIN,0.0,0.0
sağınmaq,sağına,V;PRS;3;SG,0.0,0.0
sağınmaq,sağındı,V;PST;3;SG,0.0,0.0
sağınmaq,sağınğan,V;V.PTCP,0.0,0.0
sağınmaq,sağın,V;IMP;2;SG,0.0,0.0
sebelemek,sebeley,V;PRS;3;SG,0.0,0.0
sebelemek,sebele,V;IMP;2;SG,0.0,0.0
sebelemek,sebelegen,V;V.PTCP,0.0,0.0
sebelemek,sebelemek,V;NFIN,0.0,0.0
sebelemek,sebeledi,V;PST;3;SG,0.0,0.0
sevmek,seve,V;PRS;3;SG,0.0,0.0
sevmek,sev,V;IMP;2;SG,0.0,0.0
sevmek,sevgen,V;V.PTCP,0.0,0.0
sevmek,sevmek,V;NFIN,0.0,0.0
sevmek,sevdi,V;PST;3;SG,0.0,0.0
süymek,süye,V;PRS;3;SG,0.0,0.0
süymek,süy,V;IMP;2;SG,0.0,0.0
süymek,süygen,V;V.PTCP,0.0,0.0
süymek,süymek,V;NFIN,0.0,0.0
süymek,süydi,V;PST;3;SG,0.0,0.0
tepmek,tepe,V;PRS;3;SG,0.0,0.0
tepmek,tep,V;IMP;2;SG,0.0,0.0
tepmek,tepken,V;V.PTCP,0.0,0.0
tepmek,tepmek,V;NFIN,0.0,0.0
tepmek,tepti,V;PST;3;SG,0.0,0.0
aruv bolmaq,aruv bolmaq,V;NFIN,0.0,0.0
aruv bolmaq,aruv bola,V;PRS;3;SG,0.0,0.0
aruv bolmaq,aruv boldı,V;PST;3;SG,0.0,0.0
aruv bolmaq,aruv bolğan,V;V.PTCP,0.0,0.0
aruv bolmaq,aruv bol,V;IMP;2;SG,0.0,0.0
