lemma,form,paradigm_slot,form_freq,lemma_freq
liban,liban,"V;NFIN
",0.0,4.761904761904762e-06
liban,lumiban,"V;PFV;AGFOC
",3.3333333333333335e-05,4.761904761904762e-06
liban,lumiliban,"V;IPFV;AGFOC
",0.0,4.761904761904762e-06
liban,liliban,"V;AGFOC;LGSPEC1
",0.0,4.761904761904762e-06
liban,nilibanan,"V;PFV;PFOC
",0.0,4.761904761904762e-06
liban,nililibanan,"V;IPFV;PFOC
",0.0,4.761904761904762e-06
liban,lilibanan,"V;PFOC;LGSPEC1
",0.0,4.761904761904762e-06
abuso,abuso,"V;NFIN
",0.0,2.3809523809523814e-05
abuso,umabuso,"V;PFV;AGFOC
",0.0,2.3809523809523814e-05
abuso,umaabuso,"V;IPFV;AGFOC
",0.0,2.3809523809523814e-05
abuso,aabuso,"V;AGFOC;LGSPEC1
",0.0,2.3809523809523814e-05
abuso,inabuso,"V;PFV;PFOC
",6.666666666666667e-05,2.3809523809523814e-05
abuso,inaabuso,"V;IPFV;PFOC
",6.666666666666667e-05,2.3809523809523814e-05
abuso,aabusuhin,"V;PFOC;LGSPEC1
",3.3333333333333335e-05,2.3809523809523814e-05
tanggap,tanggap,"V;NFIN
",0.00023333333333333333,0.0006571428571428571
tanggap,tumanggap,"V;PFV;AGFOC
",0.0014666666666666667,0.0006571428571428571
tanggap,tumatanggap,"V;IPFV;AGFOC
",0.00046666666666666666,0.0006571428571428571
tanggap,tatanggap,"V;AGFOC;LGSPEC1
",0.0004333333333333333,0.0006571428571428571
tanggap,tinanggap,"V;PFV;PFOC
",0.0012,0.0006571428571428571
tanggap,tinatanggap,"V;IPFV;PFOC
",0.0002666666666666667,0.0006571428571428571
tanggap,tatanggapin,"V;PFOC;LGSPEC1
",0.0005333333333333334,0.0006571428571428571
akusa,akusa,"V;NFIN
",0.0,4.761904761904763e-05
akusa,nag-akusa,"V;PFV;AGFOC
",0.0,4.761904761904763e-05
akusa,nang-aakusa,"V;IPFV;AGFOC
",0.0,4.761904761904763e-05
akusa,mang-aakusa,"V;AGFOC;LGSPEC1
",0.0,4.761904761904763e-05
akusa,inakusahan,"V;PFV;PFOC
",0.0002,4.761904761904763e-05
akusa,inaakusahan,"V;IPFV;PFOC
",0.00013333333333333334,4.761904761904763e-05
akusa,aakusahan,"V;PFOC;LGSPEC1
",0.0,4.761904761904763e-05
kuha,kuha,"V;NFIN
",0.00046666666666666666,0.0004547619047619048
kuha,kumuha,"V;PFV;AGFOC
",0.001,0.0004547619047619048
kuha,kumukuha,"V;IPFV;AGFOC
",0.00023333333333333333,0.0004547619047619048
kuha,kukuha,"V;AGFOC;LGSPEC1
",0.0004333333333333333,0.0004547619047619048
kuha,kinuha,"V;PFV;PFOC
",0.0006666666666666666,0.0004547619047619048
kuha,kinukuha,"V;IPFV;PFOC
",0.00016666666666666666,0.0004547619047619048
kuha,kukuhain,"V;PFOC;LGSPEC1
",0.0,0.0004547619047619048
arte,arte,"V;NFIN
",6.666666666666667e-05,8.571428571428573e-05
arte,umarte,"V;PFV;AGFOC
",0.0004,8.571428571428573e-05
arte,umaarte,"V;IPFV;AGFOC
",0.0001,8.571428571428573e-05
