lemma,form,paradigm_slot,form_freq,lemma_freq
achmaq,échiwatattuq,"V;PROG;PL;1;PST
",0.0,0.0
achmaq,échiwatattim,"V;PROG;SG;1;PST
",0.0,0.0
achmaq,échiwatattinglar,"V;PROG;PL;2;PST
",0.0,0.0
achmaq,échiwatatting,"V;PROG;SG;2;INFM;PST
",0.0,0.0
achmaq,échiwatattingiz,"V;PROG;FRML;SG;2;PST
",0.0,0.0
achmaq,échiwatatti,"V;PROG;PL;3;PST
",0.0,0.0
achmaq,échiwatatti,"V;PROG;SG;3;PST
",0.0,0.0
achmaq,achtuq,"V;PL;1;PST
",0.0,0.0
achmaq,achmiduq,"V;PL;1;NEG;PST
",0.0,0.0
achmaq,achtim,"V;SG;1;PST
",0.0,0.0
achmaq,achmidim,"V;SG;1;NEG;PST
",0.0,0.0
achmaq,achtinglar,"V;PL;2;PST
",0.0,0.0
achmaq,achmidinglar,"V;PL;2;NEG;PST
",0.0,0.0
achmaq,achting,"V;SG;2;INFM;PST
",0.0,0.0
achmaq,achtingiz,"V;FRML;SG;2;PST
",0.0,0.0
achmaq,achmidingiz,"V;FRML;SG;2;NEG;PST
",0.0,0.0
achmaq,achmiding,"V;SG;2;NEG;INFM;PST
",0.0,0.0
achmaq,achti,"V;PL;3;PST
",0.0,0.0
achmaq,achmidi,"V;PL;3;NEG;PST
",0.0,0.0
achmaq,achti,"V;SG;3;PST
",0.0,0.0
achmaq,achmidi,"V;SG;3;NEG;PST
",0.0,0.0
achmaq,achattuq,"V;IPFV;PL;1;PST
",0.0,0.0
achmaq,achattim,"V;IPFV;SG;1;PST
",0.0,0.0
achmaq,achattinglar,"V;IPFV;PL;2;PST
",0.0,0.0
achmaq,achatting,"V;IPFV;SG;2;INFM;PST
",0.0,0.0
achmaq,achattingiz,"V;IPFV;FRML;SG;2;PST
",0.0,0.0
achmaq,achatti,"V;IPFV;PL;3;PST
",0.0,0.0
achmaq,achatti,"V;IPFV;SG;3;PST
",0.0,0.0
achmaq,achmaqchiduq,"V;INTEN;PL;1;PST
",0.0,0.0
achmaq,achmaqchidim,"V;INTEN;SG;1;PST
",0.0,0.0
achmaq,achmaqchidinglar,"V;INTEN;PL;2;PST
",0.0,0.0
achmaq,achmaqchiding,"V;INTEN;SG;2;INFM;PST
",0.0,0.0
achmaq,achmaqchidingiz,"V;FRML;INTEN;SG;2;PST
",0.0,0.0
achmaq,achmaqchidi,"V;INTEN;PL;3;PST
",0.0,0.0
achmaq,achmaqchidi,"V;INTEN;SG;3;PST
",0.0,0.0
achmaq,achqaniduq,"V;PRF;PL;1;PST
",0.0,0.0
achmaq,achmighaniduq,"V;PRF;PL;1;NEG;PST
",0.0,0.0
achmaq,achqanidim,"V;PRF;SG;1;PST
",0.0,0.0
achmaq,achmighanidim,"V;PRF;SG;1;NEG;PST
",0.0,0.0
achmaq,achqanidinglar,"V;PRF;PL;2;PST
",0.0,0.0
achmaq,achmighanidinglar,"V;PRF;PL;2;NEG;PST
",0.0,0.0
achmaq,achqaniding,"V;PRF;SG;2;INFM;PST
",0.0,0.0
achmaq,achqanidingiz,"V;PRF;FRML;SG;2;PST
",0.0,0.0
achmaq,achmighanidingiz,"V;PRF;FRML;SG;2;NEG;PST
",0.0,0.0
achmaq,achmighaniding,"V;PRF;SG;2;NEG;INFM;PST
",0.0,0.0
achmaq,achqanidi,"V;PRF;PL;3;PST
",0.0,0.0
achmaq,achmighanidi,"V;PRF;PL;3;NEG;PST
",0.0,0.0
achmaq,achqanidi,"V;PRF;SG;3;PST
",0.0,0.0
achmaq,achmighanidi,"V;PRF;SG;3;NEG;PST
",0.0,0.0
achmaq,achimiz,"V;IPFV;PL;1;PRS
",0.0,0.0
achmaq,achimen,"V;IPFV;SG;1;PRS
",0.0,0.0
achmaq,achisiler,"V;IPFV;PL;2;PRS
",0.0,0.0
achmaq,achisen,"V;IPFV;SG;2;INFM;PRS
",0.0,0.0
achmaq,achisiz,"V;IPFV;FRML;SG;2;PRS
",0.0,0.0
achmaq,achidu,"V;IPFV;PL;3;PRS
",0.0,0.0
achmaq,achidu,"V;IPFV;SG;3;PRS
",0.0,0.0
achmaq,achmaqchimiz,"V;INTEN;PL;1;PRS
",0.0,0.0
achmaq,achmaqchimen,"V;INTEN;SG;1;PRS
",0.0,0.0
achmaq,achmaqchisiler,"V;INTEN;PL;2;PRS
",0.0,0.0
achmaq,achmaqchisen,"V;INTEN;SG;2;INFM;PRS
",0.0,0.0
achmaq,achmaqchisiz,"V;FRML;INTEN;SG;2;PRS
",0.0,0.0
achmaq,achmaqchi,"V;INTEN;PL;3;PRS
",0.0,0.0
achmaq,achmaqchi,"V;INTEN;SG;3;PRS
",0.0,0.0
achmaq,achqanmiz,"V;PRF;PL;1;PRS
",0.0,0.0
achmaq,acmighanmiz,"V;PRF;PL;1;NEG;PRS
",0.0,0.0
achmaq,achqanmen,"V;PRF;SG;1;PRS
",0.0,0.0
achmaq,acmighanmen,"V;PRF;SG;1;NEG;PRS
",0.0,0.0
achmaq,achqansiler,"V;PRF;PL;2;PRS
",0.0,0.0
achmaq,acmighansiler,"V;PRF;PL;2;NEG;PRS
",0.0,0.0
achmaq,achqansen,"V;PRF;SG;2;INFM;PRS
",0.0,0.0
achmaq,achqansiz,"V;PRF;FRML;SG;2;PRS
",0.0,0.0
achmaq,acmighansiz,"V;PRF;FRML;SG;2;NEG;PRS
",0.0,0.0
achmaq,acmighansen,"V;PRF;SG;2;NEG;INFM;PRS
",0.0,0.0
achmaq,achqan,"V;PRF;PL;3;PRS
",0.0,0.0
achmaq,acmighan,"V;PRF;PL;3;NEG;PRS
",0.0,0.0
achmaq,achqan,"V;PRF;SG;3;PRS
",0.0,0.0
achmaq,acmighan,"V;PRF;SG;3;NEG;PRS
",0.0,0.0
achmaq,échiwatimiz,"V;PROG;PL;1;PRS
",0.0,0.0
achmaq,échiwatimen,"V;PROG;SG;1;PRS
",0.0,0.0
achmaq,échiwatisiler,"V;PROG;PL;2;PRS
",0.0,0.0
achmaq,échiwatisen,"V;PROG;SG;2;INFM;PRS
",0.0,0.0
achmaq,échiwatisiz,"V;PROG;FRML;SG;2;PRS
",0.0,0.0
achmaq,échiwatidu,"V;PROG;PL;3;PRS
",0.0,0.0
achmaq,échiwatidu,"V;PROG;SG;3;PRS
",0.0,0.0
agahlandurmaq,agahlanduruwatattuq,"V;PROG;PL;1;PST
",0.0,0.0
agahlandurmaq,agahlanduruwatattim,"V;PROG;SG;1;PST
",0.0,0.0
agahlandurmaq,agahlanduruwatattinglar,"V;PROG;PL;2;PST
",0.0,0.0
agahlandurmaq,agahlanduruwatatting,"V;PROG;SG;2;INFM;PST
",0.0,0.0
agahlandurmaq,agahlanduruwatattingiz,"V;PROG;FRML;SG;2;PST
",0.0,0.0
agahlandurmaq,agahlanduruwatatti,"V;PROG;PL;3;PST
",0.0,0.0
agahlandurmaq,agahlanduruwatatti,"V;PROG;SG;3;PST
",0.0,0.0
agahlandurmaq,agahlandurduq,"V;PL;1;PST
",0.0,0.0
agahlandurmaq,agahlandurmiduq,"V;PL;1;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurdim,"V;SG;1;PST
",0.0,0.0
agahlandurmaq,agahlandurmidim,"V;SG;1;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurdinglar,"V;PL;2;PST
",0.0,0.0
agahlandurmaq,agahlandurmidinglar,"V;PL;2;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurding,"V;SG;2;INFM;PST
",0.0,0.0
agahlandurmaq,agahlandurdingiz,"V;FRML;SG;2;PST
",0.0,0.0
agahlandurmaq,agahlandurmidingiz,"V;FRML;SG;2;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurmiding,"V;SG;2;NEG;INFM;PST
",0.0,0.0
agahlandurmaq,agahlandurdi,"V;PL;3;PST
",0.0,0.0
agahlandurmaq,agahlandurmidi,"V;PL;3;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurdi,"V;SG;3;PST
",0.0,0.0
agahlandurmaq,agahlandurmidi,"V;SG;3;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurattuq,"V;IPFV;PL;1;PST
",0.0,0.0
agahlandurmaq,agahlandurattim,"V;IPFV;SG;1;PST
",0.0,0.0
agahlandurmaq,agahlandurattinglar,"V;IPFV;PL;2;PST
",0.0,0.0
agahlandurmaq,agahlanduratting,"V;IPFV;SG;2;INFM;PST
",0.0,0.0
agahlandurmaq,agahlandurattingiz,"V;IPFV;FRML;SG;2;PST
",0.0,0.0
agahlandurmaq,agahlanduratti,"V;IPFV;PL;3;PST
",0.0,0.0
agahlandurmaq,agahlanduratti,"V;IPFV;SG;3;PST
",0.0,0.0
agahlandurmaq,agahlandurmaqchiduq,"V;INTEN;PL;1;PST
",0.0,0.0
agahlandurmaq,agahlandurmaqchidim,"V;INTEN;SG;1;PST
",0.0,0.0
agahlandurmaq,agahlandurmaqchidinglar,"V;INTEN;PL;2;PST
",0.0,0.0
agahlandurmaq,agahlandurmaqchiding,"V;INTEN;SG;2;INFM;PST
",0.0,0.0
agahlandurmaq,agahlandurmaqchidingiz,"V;FRML;INTEN;SG;2;PST
",0.0,0.0
agahlandurmaq,agahlandurmaqchidi,"V;INTEN;PL;3;PST
",0.0,0.0
agahlandurmaq,agahlandurmaqchidi,"V;INTEN;SG;3;PST
",0.0,0.0
agahlandurmaq,agahlandurghaniduq,"V;PRF;PL;1;PST
",0.0,0.0
agahlandurmaq,agahlandurmighaniduq,"V;PRF;PL;1;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurghanidim,"V;PRF;SG;1;PST
",0.0,0.0
agahlandurmaq,agahlandurmighanidim,"V;PRF;SG;1;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurghanidinglar,"V;PRF;PL;2;PST
",0.0,0.0
agahlandurmaq,agahlandurmighanidinglar,"V;PRF;PL;2;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurghaniding,"V;PRF;SG;2;INFM;PST
",0.0,0.0
agahlandurmaq,agahlandurghanidingiz,"V;PRF;FRML;SG;2;PST
",0.0,0.0
agahlandurmaq,agahlandurmighanidingiz,"V;PRF;FRML;SG;2;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurmighaniding,"V;PRF;SG;2;NEG;INFM;PST
",0.0,0.0
agahlandurmaq,agahlandurghanidi,"V;PRF;PL;3;PST
",0.0,0.0
agahlandurmaq,agahlandurmighanidi,"V;PRF;PL;3;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurghanidi,"V;PRF;SG;3;PST
",0.0,0.0
agahlandurmaq,agahlandurmighanidi,"V;PRF;SG;3;NEG;PST
",0.0,0.0
agahlandurmaq,agahlandurimiz,"V;IPFV;PL;1;PRS
",0.0,0.0
agahlandurmaq,agahlandurimen,"V;IPFV;SG;1;PRS
",0.0,0.0
agahlandurmaq,agahlandurisiler,"V;IPFV;PL;2;PRS
",0.0,0.0
agahlandurmaq,agahlandurisen,"V;IPFV;SG;2;INFM;PRS
",0.0,0.0
agahlandurmaq,agahlandurisiz,"V;IPFV;FRML;SG;2;PRS
",0.0,0.0
agahlandurmaq,agahlanduridu,"V;IPFV;PL;3;PRS
",0.0,0.0
agahlandurmaq,agahlanduridu,"V;IPFV;SG;3;PRS
",0.0,0.0
agahlandurmaq,agahlandurmaqchimiz,"V;INTEN;PL;1;PRS
",0.0,0.0
agahlandurmaq,agahlandurmaqchimen,"V;INTEN;SG;1;PRS
",0.0,0.0
agahlandurmaq,agahlandurmaqchisiler,"V;INTEN;PL;2;PRS
",0.0,0.0
agahlandurmaq,agahlandurmaqchisen,"V;INTEN;SG;2;INFM;PRS
",0.0,0.0
agahlandurmaq,agahlandurmaqchisiz,"V;FRML;INTEN;SG;2;PRS
",0.0,0.0
agahlandurmaq,agahlandurmaqchi,"V;INTEN;PL;3;PRS
",0.0,0.0
agahlandurmaq,agahlandurmaqchi,"V;INTEN;SG;3;PRS
",0.0,0.0
agahlandurmaq,agahlandurghanmiz,"V;PRF;PL;1;PRS
",0.0,0.0
agahlandurmaq,agahlandurmighanmiz,"V;PRF;PL;1;NEG;PRS
",0.0,0.0
agahlandurmaq,agahlandurghanmen,"V;PRF;SG;1;PRS
",0.0,0.0
agahlandurmaq,agahlandurmighanmen,"V;PRF;SG;1;NEG;PRS
",0.0,0.0
agahlandurmaq,agahlandurghansiler,"V;PRF;PL;2;PRS
",0.0,0.0
agahlandurmaq,agahlandurmighansiler,"V;PRF;PL;2;NEG;PRS
",0.0,0.0
agahlandurmaq,agahlandurghansen,"V;PRF;SG;2;INFM;PRS
",0.0,0.0
agahlandurmaq,agahlandurghansiz,"V;PRF;FRML;SG;2;PRS
",0.0,0.0
agahlandurmaq,agahlandurmighansiz,"V;PRF;FRML;SG;2;NEG;PRS
",0.0,0.0
agahlandurmaq,agahlandurmighansen,"V;PRF;SG;2;NEG;INFM;PRS
",0.0,0.0
agahlandurmaq,agahlandurghan,"V;PRF;PL;3;PRS
",0.0,0.0
agahlandurmaq,agahlandurmighan,"V;PRF;PL;3;NEG;PRS
",0.0,0.0
agahlandurmaq,agahlandurghan,"V;PRF;SG;3;PRS
",0.0,0.0
agahlandurmaq,agahlandurmighan,"V;PRF;SG;3;NEG;PRS
",0.0,0.0
agahlandurmaq,agahlanruwatimiz,"V;PROG;PL;1;PRS
",0.0,0.0
agahlandurmaq,agahlanruwatimen,"V;PROG;SG;1;PRS
",0.0,0.0
agahlandurmaq,agahlanruwatisiler,"V;PROG;PL;2;PRS
",0.0,0.0
agahlandurmaq,agahlanruwatisen,"V;PROG;SG;2;INFM;PRS
",0.0,0.0
agahlandurmaq,agahlanruwatisiz,"V;PROG;FRML;SG;2;PRS
",0.0,0.0
agahlandurmaq,agahlanduruwatidu,"V;PROG;PL;3;PRS
",0.0,0.0
