lemma,form,paradigm_slot,form_freq,lemma_freq
бажати,бажав,V;PST;MASC;SG,0.00011,5.71e-05
бажати,бажає,V;PRS;3;SG,0.00031,5.71e-05
бажати,бажаємо,V;PRS;1;PL,7.7e-05,5.71e-05
бажати,бажаєте,V;PRS;2;PL,8.1e-05,5.71e-05
бажати,бажаєш,V;PRS;2;SG,2.3e-05,5.71e-05
бажати,бажай,V;IMP;2;SG,7e-06,5.71e-05
бажати,бажаймо,V;IMP;1;PL,0.0,5.71e-05
бажати,бажайте,V;IMP;2;PL,1e-06,5.71e-05
бажати,бажала,V;PST;FEM;SG,5.1e-05,5.71e-05
бажати,бажали,V;PST;PL,8.7e-05,5.71e-05
бажати,бажало,V;PST;NEUT;SG,9e-06,5.71e-05
бажати,бажати,V;NFIN,6.2e-05,5.71e-05
бажати,бажаю,V;PRS;1;SG,0.000136,5.71e-05
бажати,бажають,V;PRS;3;PL,0.000188,5.71e-05
бажати,буде бажати,V;FUT;3;SG,0.0,5.71e-05
бажати,будемо бажати,V;FUT;1;PL,0.0,5.71e-05
бажати,будете бажати,V;FUT;2;PL,0.0,5.71e-05
бажати,будеш бажати,V;FUT;2;SG,0.0,5.71e-05
бажати,буду бажати,V;FUT;1;SG,0.0,5.71e-05
бажати,будуть бажати,V;FUT;3;PL,0.0,5.71e-05
бачити,бач,V;IMP;2;SG,4.1e-05,0.0003315
бачити,бачать,V;PRS;3;PL,0.000349,0.0003315
бачити,бачеш,V;PRS;2;SG,0.0,0.0003315
бачити,бачив,V;PST;MASC;SG,0.001336,0.0003315
бачити,бачила,V;PST;FEM;SG,0.000484,0.0003315
бачити,бачили,V;PST;PL,0.000699,0.0003315
бачити,бачило,V;PST;NEUT;SG,1.3e-05,0.0003315
бачити,бачимо,V;PRS;1;PL,0.000899,0.0003315
бачити,бачите,V;PRS;2;PL,0.000304,0.0003315
бачити,бачити,V;NFIN,0.001073,0.0003315
бачити,бачить,V;PRS;3;SG,0.000769,0.0003315
