lemma,form,paradigm_slot,form_freq,lemma_freq
אַבאָנירן,אַבאָנירן,V;NFIN,0.0,0.0
אַבאָנירן,אַבאָניר,V;FIN;IMP;2;SG,0.0,0.0
אַבאָנירן,אַבאָנירן,V;FIN;PRES;3;PL,0.0,0.0
אַבאָנירן,אַבאָנירט,V;FIN;IMP;2;PL,0.0,0.0
אַבאָנירן,אַבאָנירט,V;FIN;PRES;2;PL,0.0,0.0
אַבאָנירן,אַבאָניר,V;FIN;PRES;1;SG,0.0,0.0
אַבאָנירן,אַבאָנירן,V;FIN;PRES;1;PL,0.0,0.0
אַדאַפּטירן,אַדאַפּטירן,V;NFIN,0.0,9.523809523809525e-06
אַדאַפּטירן,אַדאַפּטיר,V;FIN;IMP;2;SG,0.0,9.523809523809525e-06
אַדאַפּטירן,אַדאַפּטירן,V;FIN;PRES;3;PL,0.0,9.523809523809525e-06
אַדאַפּטירן,אַדאַפּטירט,V;FIN;IMP;2;PL,3.3333333333333335e-05,9.523809523809525e-06
אַדאַפּטירן,אַדאַפּטירט,V;FIN;PRES;2;PL,3.3333333333333335e-05,9.523809523809525e-06
אַדאַפּטירן,אַדאַפּטיר,V;FIN;PRES;1;SG,0.0,9.523809523809525e-06
אַדאַפּטירן,אַדאַפּטירן,V;FIN;PRES;1;PL,0.0,9.523809523809525e-06
אַנולירן,אַנולירן,V;NFIN,0.0,0.0
אַנולירן,אַנוליר,V;FIN;IMP;2;SG,0.0,0.0
אַנולירן,אַנולירן,V;FIN;PRES;3;PL,0.0,0.0
אַנולירן,אַנולירט,V;FIN;IMP;2;PL,0.0,0.0
אַנולירן,אַנולירט,V;FIN;PRES;2;PL,0.0,0.0
אַנולירן,אַנוליר,V;FIN;PRES;1;SG,0.0,0.0
אַנולירן,אַנולירן,V;FIN;PRES;1;PL,0.0,0.0
אַנטלויפֿן,אַנטלויפֿן,V;NFIN,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויף,V;FIN;IMP;2;SG,6.666666666666667e-05,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿן,V;FIN;PRES;3;PL,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿט,V;FIN;IMP;2;PL,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿט,V;FIN;PRES;2;PL,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויף,V;FIN;PRES;1;SG,6.666666666666667e-05,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿן,V;FIN;PRES;1;PL,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿן,V;NFIN,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויף,V;FIN;IMP;2;SG,6.666666666666667e-05,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿן,V;FIN;PRES;3;PL,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿט,V;FIN;IMP;2;PL,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿט,V;FIN;PRES;2;PL,0.0,1.904761904761905e-05
אַנטלויפֿן,אַנטלויף,V;FIN;PRES;1;SG,6.666666666666667e-05,1.904761904761905e-05
אַנטלויפֿן,אַנטלויפֿן,V;FIN;PRES;1;PL,0.0,1.904761904761905e-05
אַנטשלאָפֿן,אַנטשלאָפֿן,V;NFIN,0.0,0.0
אַנטשלאָפֿן,אַנטשלאָף,V;FIN;IMP;2;SG,0.0,0.0
אַנטשלאָפֿן,אַנטשלאָפֿן,V;FIN;PRES;3;PL,0.0,0.0
אַנטשלאָפֿן,אַנטשלאָפֿט,V;FIN;IMP;2;PL,0.0,0.0
אַנטשלאָפֿן,אַנטשלאָפֿט,V;FIN;PRES;2;PL,0.0,0.0
אַנטשלאָפֿן,אַנטשלאָף,V;FIN;PRES;1;SG,0.0,0.0
אַנטשלאָפֿן,אַנטשלאָפֿן,V;FIN;PRES;1;PL,0.0,0.0
אַקערן,אַקן,V;NFIN,0.0,3.80952380952381e-05
אַקערן,אַק,V;FIN;IMP;2;SG,0.0,3.80952380952381e-05
אַקערן,אַקן,V;FIN;PRES;3;PL,0.0,3.80952380952381e-05
אַקערן,אַקט,V;FIN;IMP;2;PL,0.00013333333333333334,3.80952380952381e-05
אַקערן,אַקט,V;FIN;PRES;2;PL,0.00013333333333333334,3.80952380952381e-05
אַקערן,אַק,V;FIN;PRES;1;SG,0.0,3.80952380952381e-05
אַקערן,אַקן,V;FIN;PRES;1;PL,0.0,3.80952380952381e-05
אַרבעטן,אַרבעטן,V;NFIN,0.0002666666666666667,0.0004571428571428571
אַרבעטן,אַרבעט,V;FIN;IMP;2;SG,0.0006,0.0004571428571428571
אַרבעטן,אַרבעטן,V;FIN;PRES;3;PL,0.0002666666666666667,0.0004571428571428571
